benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,pass,order,protocol,skip_vars,strategy,reduction_backend,word_bits,f2z_t,f2z_s,f2z_chunks,exponent,multiplications,sample,prove_ms,spartan_prove_ms,spartan_outer_ms,spartan_bind_ms,spartan_inner_ms,bitify_prove_ms,f2z_prove_ms,f2z_prepare_prove_ms,verify_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,f2z_prepare_verify_ms,verified,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,spartan_proof_payload_bytes,f2z_proof_bytes,shape_seed,peak_heap_mib,live_before_prove_mib,memory_order
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,7,1,15,32768,0,41.958792000,4.576625000,0.905292000,1.145041000,2.488167000,0.006250000,37.282834000,0.084458000,6.791667000,2.841792000,0.006667000,3.882834000,0.083292000,true,32768,1,131072,98304,131072,4194304,524288,1744,117560,0x107313b30031455f,29.504528,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,7,1,15,32768,1,39.819458000,4.503417000,0.892583000,1.169500000,2.401459000,0.005916000,35.192750000,0.100042000,7.223000000,3.008500000,0.006541000,4.142500000,0.083208000,true,32768,1,131072,98304,131072,4194304,524288,1744,117560,0x107313b30031455f,29.504528,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,7,1,15,32768,2,41.293583000,4.367917000,0.819583000,1.101292000,2.407833000,0.006083000,36.783208000,0.085750000,7.418250000,2.832292000,0.005417000,4.519917000,0.082667000,true,32768,1,131072,98304,131072,4194304,524288,1744,117560,0x107313b30031455f,29.504528,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,7,1,15,32768,3,41.482375000,4.223875000,0.789250000,1.107542000,2.290917000,0.005292000,37.148333000,0.081333000,7.094833000,2.820000000,0.006750000,4.208708000,0.090958000,true,32768,1,131072,98304,131072,4194304,524288,1744,117560,0x107313b30031455f,29.504528,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,7,1,15,32768,4,40.950042000,4.483334000,0.796625000,1.152750000,2.497583000,0.006209000,36.358083000,0.110958000,6.861917000,2.959083000,0.005833000,3.830208000,0.083750000,true,32768,1,131072,98304,131072,4194304,524288,1744,117560,0x107313b30031455f,29.504528,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,8,1,16,65536,0,69.954916000,9.396875000,2.461584000,2.320333000,4.553042000,0.006542000,60.353875000,0.084000000,10.194542000,5.610375000,0.009625000,4.508417000,0.093500000,true,65536,1,262144,196608,262144,8388608,1048576,1856,137100,0xb644a9fa81cbc134,58.913792,16.901691,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,8,1,16,65536,1,61.137833000,8.557458000,1.508667000,2.230416000,4.753167000,0.005500000,52.427167000,0.081708000,11.406875000,5.579583000,0.008584000,5.750958000,0.084917000,true,65536,1,262144,196608,262144,8388608,1048576,1856,137100,0xb644a9fa81cbc134,58.913792,16.901691,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,8,1,16,65536,2,68.127834000,8.700917000,1.229542000,2.406583000,5.002959000,0.005459000,59.269375000,0.082083000,9.938875000,6.528542000,0.007833000,3.308667000,0.085583000,true,65536,1,262144,196608,262144,8388608,1048576,1856,137100,0xb644a9fa81cbc134,58.913792,16.901691,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,8,1,16,65536,3,81.080083000,11.421250000,2.411292000,2.349458000,6.362084000,0.005875000,69.354084000,0.095042000,11.855416000,5.712334000,0.009042000,6.065209000,0.088208000,true,65536,1,262144,196608,262144,8388608,1048576,1856,137100,0xb644a9fa81cbc134,58.913792,16.901691,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,8,1,16,65536,4,65.989917000,9.141667000,1.421584000,2.381167000,5.278125000,0.006125000,56.694875000,0.132334000,9.295959000,5.678042000,0.009459000,3.542208000,0.084875000,true,65536,1,262144,196608,262144,8388608,1048576,1856,137100,0xb644a9fa81cbc134,58.913792,16.901691,1
