benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,pass,order,protocol,skip_vars,strategy,reduction_backend,word_bits,f2z_t,f2z_s,f2z_chunks,exponent,multiplications,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,prove_ms,spartan_prove_ms,historical_spartan_prove_ms,historical_15pct_target_ms,spartan_outer_ms,spartan_bind_ms,spartan_inner_ms,bitify_prove_ms,f2z_prove_ms,f2z_prepare_prove_ms,verify_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,f2z_prepare_verify_ms,spartan_proof_payload_bytes,f2z_proof_bytes,peak_heap_mib,live_before_prove_mib,memory_order,shape_seed,verified_samples,all_samples_passed
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,7,1,15,32768,32768,1,131072,98304,131072,4194304,524288,41.293583000,4.483334000,12.815000,10.892750,0.819583000,1.145041000,2.407833000,0.006083000,36.783208000,0.085750000,7.094833000,2.841792000,0.006541000,4.142500000,0.083292000,1744,117560,29.504528,8.493244,1,0x107313b30031455f,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,15,8,1,16,65536,65536,1,262144,196608,262144,8388608,1048576,68.127834000,9.141667000,24.775300,21.059005,1.508667000,2.349458000,5.002959000,0.005875000,59.269375000,0.084000000,10.194542000,5.678042000,0.009042000,4.508417000,0.085583000,1856,137100,58.913792,16.901691,1,0xb644a9fa81cbc134,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,8,1,17,131072,131072,1,524288,393216,524288,16777216,2097152,85.786041000,12.468250000,49.267200,41.877120,1.775250000,4.355041000,6.232542000,0.006125000,71.707417000,3.154375000,17.944125000,10.901709000,0.007208000,6.989083000,2.785834000,1968,149768,117.727299,33.714436,1,0xd49c273c069e3d01,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,16,9,1,18,262144,262144,1,1048576,786432,1048576,33554432,4194304,136.774500000,24.758833000,91.394200,77.685070,2.676791000,9.053667000,12.498917000,0.006917000,111.562791000,3.242542000,30.738791000,22.461375000,0.009709000,8.099500000,3.032875000,2080,164944,235.359501,67.345875,1,0x4ad5bd678650b91e,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,17,9,1,19,524288,524288,1,2097152,1572864,2097152,67108864,8388608,219.386250000,43.841458000,179.260000,152.371000,3.732916000,17.650417000,21.558083000,0.007042000,175.445750000,4.002375000,52.876709000,43.315958000,0.009500000,9.492375000,4.360542000,2192,185028,470.609585,134.595142,1,0xeb2d3aa907eb35eb,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,17,10,1,20,1048576,1048576,1,4194304,3145728,4194304,134217728,16777216,469.626542000,104.881542000,403.957800,343.364130,7.360791000,36.336000000,58.271083000,0.007083000,364.589292000,3.964541000,100.008709000,91.121709000,0.010166000,9.296792000,3.844209000,2304,207792,941.122494,269.107288,1,0x0966b01084bdb1c0,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,18,10,1,21,2097152,2097152,1,8388608,6291456,8388608,268435456,33554432,884.660625000,188.467792000,802.512500,682.135625,12.905500000,71.691209000,96.172292000,0.007583000,654.583166000,4.653875000,187.356000000,175.286750000,0.010083000,12.687667000,5.613625000,2416,223604,1882.123745,538.107777,1,0xafbfce5a04702ddd,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,18,11,1,22,4194304,4194304,1,16777216,12582912,16777216,536870912,67108864,1718.035458000,372.325625000,1719.153500,1461.280475,23.235750000,143.431709000,184.696875000,0.007416000,1363.180542000,5.124583000,366.167875000,353.371667000,0.010167000,13.457833000,5.928500000,2528,259540,3764.147633,1076.130848,1,0xcdf7479d850aa9aa,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,19,11,1,23,8388608,8388608,1,33554432,25165824,33554432,1073741824,134217728,3844.623375000,663.887417000,3547.512100,3015.385285,45.067416000,286.521292000,329.450542000,0.007500000,3073.752167000,5.432125000,721.162084000,704.643375000,0.010792000,16.716125000,6.426083000,2640,277792,7528.148640,2152.131092,1,0x63c8ddc71add2587,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-28,2026-08-28T06:11:09Z,953825e0612cd78c28bbef47d25176f95a326d8e,true,7b89576a7a0477e51a7004b072444e810a982fd08f9950b9a8e68b00d18c25f0,4d857f49d8deaea513593cc4f9d75e52a2f16aab14a3162260602806e7a64366,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,skip-k3,3,delayed-barrett,barrett,1,19,12,1,24,16777216,16777216,1,67108864,50331648,67108864,2147483648,268435456,10152.527458000,2770.714500000,9870.229900,8389.695415,147.960833000,1053.446000000,1592.911458000,0.007708000,7057.491208000,7.009666000,3542.504917000,3510.025166000,0.021750000,21.399375000,8.016125000,2752,321900,15056.197498,4304.179188,1,0x80005b0e9b97a19c,5,true
