benchmark_date,hardware,threads,repetitions,warmups,root_seed,exponent,multiplications,integer_witness_values,compact_witness_bytes,standard_prove_ms,standard_verify_ms,standard_outer_ms,k1_prove_ms,k1_verify_ms,k1_outer_ms,k2_prove_ms,k2_verify_ms,k2_outer_ms,k3_prove_ms,k3_verify_ms,k3_outer_ms,k4_prove_ms,k4_verify_ms,k4_outer_ms,standard_proof_bytes,k1_proof_bytes,k2_proof_bytes,k3_proof_bytes,k4_proof_bytes,observed_best_k,observed_best_prove_ms
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,15,32768,131072,524288,5.665875,3.315958,1.741500,5.615958,3.419125,1.436375,4.985792,3.271291,1.126791,4.592083,3.280750,0.797042,6.396584,3.277000,1.189500,1824,1776,1744,1744,1808,3,4.592083
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,16,65536,262144,1048576,8.948167,6.505500,2.424833,9.159167,6.681542,2.102250,9.309708,6.326709,1.840209,7.745500,6.375666,1.178792,7.875042,6.191875,1.079333,1936,1888,1856,1856,1920,3,7.745500
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,17,131072,524288,2097152,15.105292,12.785500,3.230541,15.258417,12.893625,3.216625,14.945209,12.725375,2.051042,14.525542,12.608625,1.639667,12.714875,12.487750,1.608208,2048,2000,1968,1968,2032,4,12.714875
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,18,262144,1048576,4194304,29.033000,25.788708,5.578917,28.796750,26.255000,5.198834,26.822500,25.269458,3.650583,23.926667,24.797708,2.403667,24.196417,24.548875,2.756417,2160,2112,2080,2080,2144,3,23.926667
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,19,524288,2097152,8388608,53.269041,49.929292,9.922500,52.017250,51.173292,8.608708,47.511500,49.957167,5.100292,45.622416,49.006250,4.094042,45.638584,48.036375,3.902958,2272,2224,2192,2192,2256,3,45.622416
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,20,1048576,4194304,16777216,102.351292,101.514791,18.258167,105.946875,104.214917,16.247500,93.506458,99.454625,9.688292,91.857000,98.097459,7.242791,90.827375,96.980541,6.265750,2384,2336,2304,2304,2368,4,90.827375
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,21,2097152,8388608,33554432,206.566541,202.608042,32.741625,208.511458,207.689167,33.072458,191.559167,199.624583,17.704667,172.516792,196.115833,11.906375,170.765125,194.947958,11.729959,2496,2448,2416,2416,2480,4,170.765125
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,22,4194304,16777216,67108864,429.338708,416.521291,67.169167,417.824375,420.067167,58.621292,365.952042,402.433708,37.901208,344.416750,396.017291,24.515917,341.226625,393.038500,21.972125,2608,2560,2528,2528,2592,4,341.226625
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,23,8388608,33554432,134217728,814.301667,811.200292,123.467750,784.556084,829.598459,111.419375,720.124125,803.519333,70.050333,673.887917,784.667208,41.719083,663.144875,776.316417,39.086542,2720,2672,2640,2640,2704,4,663.144875
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,24,16777216,67108864,268435456,2017.891500,2145.396417,248.363875,2041.166458,2155.359750,234.805875,1872.680000,2095.622375,131.910000,1804.520541,2084.340084,86.182292,1821.136083,2078.234708,83.433542,2832,2784,2752,2752,2816,3,1804.520541
2026-08-27,Apple M1 Max,10,5,1,0x5533326d756c0064,25,33554432,134217728,536870912,11194.678834,5033.506167,1011.058125,12316.756875,5450.473917,1338.242333,10823.237792,5197.303083,477.061125,9530.085500,4983.874875,277.994708,10727.484208,5098.162791,223.564958,2944,2896,2864,2864,2928,3,9530.085500
