benchmark_date,hardware,threads,repetitions,warmups,root_seed,features,exponent,multiplications,standard_prove_ms,standard_verify_ms,best_k,best_prove_ms,best_verify_ms,prover_reduction_pct,verifier_reduction_pct,best_prove_speedup_vs_pr2_pct,best_prove_speedup_vs_reference_pct,verified_samples
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,15,32768,5.709292,3.330958,3,4.225792,2.803292,25.984,15.841,1.796,-2.319,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,16,65536,9.191625,6.546500,4,6.820792,5.525375,25.793,15.598,2.496,-2.108,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,17,131072,16.647666,13.056750,3,12.483375,11.172375,25.014,14.432,1.401,-1.326,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,18,262144,29.852417,25.913625,3,22.798333,22.354167,23.630,13.736,0.953,0.313,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,19,524288,55.772041,51.710250,4,44.102667,44.045000,20.923,14.823,-0.318,-5.006,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,20,1048576,106.188041,103.191708,4,80.381667,89.063917,24.303,13.691,4.040,5.110,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,21,2097152,219.711833,208.243125,3,167.504417,181.180333,23.762,12.996,-1.555,-5.782,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,22,4194304,408.771250,413.618500,4,325.046500,350.032000,20.482,15.373,-0.235,-3.373,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,23,8388608,832.829250,831.059500,4,644.319166,709.578084,22.635,14.618,0.716,-2.079,5
2026-08-28,Apple M1 Max,10,5,1,0x5533326d756c0064,unchecked,24,16777216,2114.073417,2128.108625,4,1704.245250,1894.587208,19.386,10.973,3.469,2.418,5
