benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,scope,exponent,multiplications,baseline_strategy,baseline_order,optimized_strategy,optimized_order,reduction_backend,historical_spartan_ms,historical_15pct_target_ms,baseline_spartan_ms,optimized_spartan_ms,delta_ms,latency_reduction_pct,speedup,individual_pass,primary_gate,sizes_passing,sizes_total,geomean_latency_reduction_pct,overall_pass
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,15,32768,immediate,1,delayed-barrett,2,barrett,12.815000,10.892750,11.412666,5.882833,-5.529833,48.453473,1.939995,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,15,32768,immediate,1,delayed-crypto-bigint,3,crypto-bigint,12.815000,10.892750,11.412666,7.513791,-3.898875,34.162701,1.518896,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,16,65536,immediate,2,delayed-barrett,1,barrett,24.775300,21.059005,19.663500,8.722166,-10.941334,55.642861,2.254429,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,16,65536,immediate,2,delayed-crypto-bigint,3,crypto-bigint,24.775300,21.059005,19.663500,12.241166,-7.422334,37.746759,1.606342,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,17,131072,immediate,1,delayed-barrett,2,barrett,49.267200,41.877120,40.298041,16.108792,-24.189249,60.025868,2.501618,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,17,131072,immediate,1,delayed-crypto-bigint,3,crypto-bigint,49.267200,41.877120,40.298041,21.542958,-18.755083,46.540930,1.870590,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,18,262144,immediate,2,delayed-barrett,1,barrett,91.394200,77.685070,75.259041,33.846375,-41.412666,55.026832,2.223548,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,18,262144,immediate,2,delayed-crypto-bigint,3,crypto-bigint,91.394200,77.685070,75.259041,46.176875,-29.082166,38.642754,1.629799,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,19,524288,immediate,1,delayed-barrett,2,barrett,179.260000,152.371000,160.977750,74.955500,-86.022250,53.437354,2.147644,true,true,,,,
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,size,19,524288,immediate,1,delayed-crypto-bigint,3,crypto-bigint,179.260000,152.371000,160.977750,88.505375,-72.472375,45.020119,1.818847,true,true,,,,
