benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,pass,order,strategy,reduction_backend,exponent,multiplications,sample,prove_ms,spartan_prove_ms,spartan_outer_ms,spartan_bind_ms,spartan_inner_ms,bitify_prove_ms,f2z_prove_ms,verify_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,verified,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,spartan_proof_payload_bytes,f2z_proof_bytes,shape_seed,peak_heap_mib,live_before_prove_mib,memory_order
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,15,32768,0,62.502292000,12.302125000,2.548833000,1.467500000,2.262041000,10.782083000,32.298666000,18.617375000,3.203125000,10.577542000,4.781875000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,38.505700,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,15,32768,1,63.566792000,11.727750000,2.096125000,1.462666000,2.208292000,10.652292000,34.144667000,19.044791000,3.310916000,11.013667000,4.648875000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,38.505700,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,15,32768,2,63.679375000,10.300041000,1.881292000,1.521584000,1.836500000,10.774042000,35.396792000,19.329000000,3.279125000,10.790875000,5.179417000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,38.505700,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,15,32768,3,60.777209000,11.207167000,1.935875000,1.533209000,1.792875000,10.762541000,31.822250000,18.694625000,3.287250000,10.653250000,4.685042000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,38.505700,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,15,32768,4,61.573292000,11.412666000,1.853416000,1.488417000,2.103333000,10.790917000,32.352667000,18.924667000,3.199875000,10.724750000,4.931791000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,38.505700,8.493244,1
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,15,32768,0,51.315334000,6.269750000,1.918084000,1.451541000,2.857583000,10.954125000,33.970542000,19.007541000,3.241709000,10.726958000,4.964708000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,29.505444,8.493244,2
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,15,32768,1,49.724333000,5.923166000,2.110834000,1.499042000,2.267958000,10.805125000,32.868416000,18.985333000,3.409292000,10.952166000,4.546125000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,29.505444,8.493244,2
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,15,32768,2,49.953958000,5.882833000,2.176084000,1.432708000,2.232375000,11.010959000,32.960500000,19.039375000,3.204917000,10.970084000,4.803792000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,29.505444,8.493244,2
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,15,32768,3,48.767625000,5.829042000,1.903333000,1.484542000,2.400292000,10.918750000,31.925000000,19.655084000,3.240959000,11.167750000,5.189875000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,29.505444,8.493244,2
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,15,32768,4,48.301500000,5.871166000,1.994875000,1.454417000,2.377792000,10.836042000,31.464708000,19.199000000,3.221875000,10.849750000,5.064416000,true,32768,1,131072,98304,131072,4194304,524288,1824,117560,0x107313b30031455f,29.505444,8.493244,2
