benchmark_algorithm,benchmark_date,run_timestamp_utc,commit,git_dirty,binary_sha256,memory_binary_sha256,hardware,operating_system,cargo_profile,cargo_features,threads,measured_runs,warmup_runs,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,allocator_instrumentation,root_seed,pass,order,strategy,reduction_backend,exponent,multiplications,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,prove_ms,spartan_prove_ms,historical_spartan_prove_ms,historical_15pct_target_ms,spartan_outer_ms,spartan_bind_ms,spartan_inner_ms,bitify_prove_ms,f2z_prove_ms,verify_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,spartan_proof_payload_bytes,f2z_proof_bytes,peak_heap_mib,live_before_prove_mib,memory_order,shape_seed,verified_samples,all_samples_passed
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,15,32768,32768,1,131072,98304,131072,4194304,524288,62.502292000,11.412666000,12.815000,10.892750,1.935875000,1.488417000,2.103333000,10.774042000,32.352667000,18.924667000,3.279125000,10.724750000,4.781875000,1824,117560,38.505700,8.493244,1,0x107313b30031455f,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,15,32768,32768,1,131072,98304,131072,4194304,524288,49.724333000,5.882833000,12.815000,10.892750,1.994875000,1.454417000,2.377792000,10.918750000,32.868416000,19.039375000,3.240959000,10.952166000,4.964708000,1824,117560,29.505444,8.493244,2,0x107313b30031455f,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,3,delayed-crypto-bigint,crypto-bigint,15,32768,32768,1,131072,98304,131072,4194304,524288,50.623584000,7.513791000,12.815000,10.892750,2.812250000,1.459000000,2.940375000,10.783208000,32.381333000,18.760083000,3.222083000,10.700625000,4.787708000,1824,117560,29.505444,8.493244,3,0x107313b30031455f,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,immediate,immediate,16,65536,65536,1,262144,196608,262144,8388608,1048576,111.910083000,19.663500000,24.775300,21.059005,2.674250000,2.943458000,3.182500000,10.874042000,67.503416000,21.551541000,6.332916000,10.804041000,4.245500000,1936,136908,76.914964,16.901691,1,0xb644a9fa81cbc134,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,delayed-barrett,barrett,16,65536,65536,1,262144,196608,262144,8388608,1048576,87.772250000,8.722166000,24.775300,21.059005,2.546042000,2.869667000,3.194458000,10.803167000,68.098000000,21.696750000,6.411708000,10.805375000,4.493667000,1936,136908,58.914707,16.901691,2,0xb644a9fa81cbc134,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,3,delayed-crypto-bigint,crypto-bigint,16,65536,65536,1,262144,196608,262144,8388608,1048576,91.965542000,12.241166000,24.775300,21.059005,4.054167000,2.901750000,5.210125000,10.852125000,67.971583000,21.821417000,6.405875000,10.851333000,4.501459000,1936,136908,58.914707,16.901691,3,0xb644a9fa81cbc134,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,1,immediate,immediate,17,131072,131072,1,524288,393216,524288,16777216,2097152,161.429292000,40.298041000,49.267200,41.877120,4.761458000,5.900208000,6.432708000,21.592875000,70.431916000,40.571625000,12.890291000,21.742542000,5.938792000,2048,148968,153.728471,33.714436,1,0xd49c273c069e3d01,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,delayed-barrett,barrett,17,131072,131072,1,524288,393216,524288,16777216,2097152,111.562584000,16.108792000,49.267200,41.877120,3.968958000,5.780500000,6.248583000,21.583416000,72.821625000,40.661958000,12.826584000,21.750458000,5.978917000,2048,148968,117.728214,33.714436,2,0xd49c273c069e3d01,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,3,delayed-crypto-bigint,crypto-bigint,17,131072,131072,1,524288,393216,524288,16777216,2097152,116.724375000,21.542958000,49.267200,41.877120,6.350834000,5.758792000,9.385042000,21.611083000,73.607458000,40.521750000,12.808750000,21.562458000,5.950333000,2048,148968,117.728214,33.714436,3,0xd49c273c069e3d01,5,true
u32 x u32 -> u64 Spartan PIOP + F2Z,2026-08-27,2026-08-27T14:40:42Z,669fed1731d7f1dcb7ecabd71735b7cdbb4e1636,true,9c66b368c5597d5ec38f1dede7ecdbf0e7c271fd549bddb5cb4e8b0b2c3b80a6,36d0b1f57d820b26ea77464355395b726eba7cdb58bfcaeaa021e8e687fd331e,Apple M1 Max,Darwin 25.5.0 arm64,bench,unchecked,10,5,1,2^100-15,SHA-256,1/2,4,absent_in_latency_binary;shared_atomic_peak_allocator_in_memory_binary,0x5533326d756c0064,latency,2,immediate,immediate,18,262144,262144,1,1048576,786432,1048576,33554432,4194304,258.215083000,75.259041000,91.394200,77.685070,10.061667000,11.811083000,11.618542000,21.973333000,95.377417000,53.996292000,25.579583000,21.838958000,6.725583000,2160,166320,307.360673,67.345875,1,0x4ad5bd678650b91e,5,true
