benchmark_date,run_timestamp_utc,exponent,multiplications,r1cs_rows,multiplications_per_row,r1cs_columns,r1cs_nnz,integer_witness_values,compact_witness_bits,compact_witness_bytes,spartan_prove_ms,bitify_prove_ms,f2z_prove_ms,combined_prove_ms,spartan_verify_ms,bitify_verify_ms,f2z_verify_ms,combined_verify_ms,spartan_proof_payload_bytes,f2z_proof_bytes,peak_heap_mib,measured_runs,warmup_runs,threads,field_modulus,ligerito_hash,ligerito_inverse_rate,ligerito_initial_k,shape_seed,notes
2026-08-25,,15,32768,32768,1,131072,98304,131072,4194304,524288,12.815,10.7308,35.2644,58.8675,4.7361,10.654,4.8644,20.5566,1824,117560,44.2616,5,1,10,2^100-15,SHA-256,1/2,4,0x107313b30031455f,
2026-08-25,,16,65536,65536,1,262144,196608,262144,8388608,1048576,24.7753,10.8354,73.2295,109.4479,9.4617,10.7618,4.4166,24.7158,1936,136908,88.4176,5,1,10,2^100-15,SHA-256,1/2,4,0xb644a9fa81cbc134,
2026-08-25,,17,131072,131072,1,524288,393216,524288,16777216,2097152,49.2672,21.3234,82.7752,153.4383,18.8601,21.3022,6.309,46.6057,2048,148968,176.7335,5,1,10,2^100-15,SHA-256,1/2,4,0xd49c273c069e3d01,
2026-08-25,,18,262144,262144,1,1048576,786432,1048576,33554432,4194304,91.3942,21.7855,98.4417,214.3487,38.033,21.6491,6.6022,66.5304,2160,166320,353.367,5,1,10,2^100-15,SHA-256,1/2,4,0x4ad5bd678650b91e,
2026-08-25,,19,524288,524288,1,2097152,1572864,2097152,67108864,8388608,179.26,42.5833,182.0439,403.8354,75.2794,42.6173,8.651,126.6065,2272,187908,706.6147,5,1,10,2^100-15,SHA-256,1/2,4,0xeb2d3aa907eb35eb,
2026-08-25,,20,1048576,1048576,1,4194304,3145728,4194304,134217728,16777216,403.9578,43.3223,392.6605,839.442,154.2142,43.6645,9.5059,206.9257,2384,206864,1413.1276,5,1,10,2^100-15,SHA-256,1/2,4,0x0966b01084bdb1c0,
2026-08-25,,21,2097152,2097152,1,8388608,6291456,8388608,268435456,33554432,802.5125,84.6257,632.594,1542.531,312.4085,84.1372,14.411,412.2193,2496,222292,2826.1309,5,1,10,2^100-15,SHA-256,1/2,4,0xafbfce5a04702ddd,
2026-08-25,,22,4194304,4194304,1,16777216,12582912,16777216,536870912,67108864,1719.1535,86.2175,1281.3356,3110.6478,633.1015,84.9409,14.1757,732.489,2608,260308,5652.1515,5,1,10,2^100-15,SHA-256,1/2,4,0xcdf7479d850aa9aa,
2026-08-25,,23,8388608,8388608,1,33554432,25165824,33554432,1073741824,134217728,3547.5121,172.4712,3729.874,7525.7628,1641.8241,171.3679,24.7025,1837.4841,2720,275296,11304.1538,5,1,10,2^100-15,SHA-256,1/2,4,0x63c8ddc71add2587,
2026-08-25,,24,16777216,16777216,1,67108864,50331648,67108864,2147483648,268435456,9870.2299,176.7192,5973.1495,16017.6073,4617.7243,174.9492,27.6056,4818.8677,2832,321900,22608.2047,5,1,10,2^100-15,SHA-256,1/2,4,0x80005b0e9b97a19c,
2026-08-25,,25,33554432,33554432,1,134217728,100663296,134217728,4294967296,536870912,36562.7829,344.0101,15092.0532,50602.5611,13410.5273,350.1498,48.8051,13809.6078,2944,346072,45216.2012,5,1,10,2^100-15,SHA-256,1/2,4,0x2659d1701b2a1e69,64 GiB machine entered macOS memory compression
