mode,mul_log,sha_log,multiplications,sha_compressions,iteration,setup_ms,witness_commit_ms,continuation_ms,total_prover_ms,verify_ms,proof_bytes,proof_payload_bytes_estimate,peak_rss_kib
hybrid,15,7,32768,128,0,160.833,1.565,33.109,34.700,8.703,273312,,189436
hybrid,15,7,32768,128,1,160.833,1.363,28.025,29.422,7.655,273312,,192896
hybrid,15,7,32768,128,2,160.833,1.289,27.140,28.464,7.578,273312,,192988
hybrid,16,8,65536,256,0,363.580,2.909,50.057,53.027,14.949,310592,,324412
hybrid,16,8,65536,256,1,363.580,3.121,46.857,50.020,13.082,310592,,326556
hybrid,16,8,65536,256,2,363.580,3.227,41.834,45.095,12.545,310592,,332520
hybrid,17,9,131072,512,0,796.498,5.519,82.704,88.277,26.777,339592,,599520
hybrid,17,9,131072,512,1,796.498,5.490,73.901,79.436,25.822,339592,,601644
hybrid,17,9,131072,512,2,796.498,5.144,71.938,77.125,25.349,339592,,611800
hybrid,18,10,262144,1024,0,1723.310,10.171,139.808,150.033,45.348,379016,,1146680
hybrid,18,10,262144,1024,1,1723.310,9.457,127.512,137.024,45.758,379016,,1148556
hybrid,18,10,262144,1024,2,1723.310,9.586,134.609,144.251,46.159,379016,,1148556
hybrid,19,11,524288,2048,0,3575.098,20.841,259.016,279.920,90.142,423240,,2270216
hybrid,19,11,524288,2048,1,3575.098,20.451,251.936,272.445,89.921,423240,,2282568
hybrid,19,11,524288,2048,2,3575.098,19.185,244.886,264.127,89.216,423240,,2282860
hybrid,20,12,1048576,4096,0,7306.943,39.648,526.700,566.491,171.164,467640,,4094808
hybrid,20,12,1048576,4096,1,7306.943,41.601,511.025,552.688,166.579,467640,,4096072
hybrid,20,12,1048576,4096,2,7306.943,40.007,523.162,563.265,168.903,467640,,4096508
