mode,multiplication_relation,mul_log,sha_log,multiplications,sha_compressions,iteration,setup_ms,witness_commit_ms,continuation_ms,total_prover_ms,verify_ms,proof_bytes,proof_payload_bytes_estimate,peak_rss_kib
hybrid,u32_mod_2_32,15,7,32768,128,0,195.477,2.002,35.341,37.379,8.665,272416,,183852
hybrid,u32_mod_2_32,15,7,32768,128,1,195.477,1.528,28.013,29.573,7.518,272416,,193412
hybrid,u32_mod_2_32,15,7,32768,128,2,195.477,1.375,28.558,29.966,8.017,272416,,193700
hybrid,u32_mod_2_32,16,8,65536,256,0,293.261,2.803,50.519,53.364,14.921,312032,,312912
hybrid,u32_mod_2_32,16,8,65536,256,1,293.261,2.977,49.834,52.850,12.123,312032,,324488
hybrid,u32_mod_2_32,16,8,65536,256,2,293.261,2.915,48.099,51.049,12.126,312032,,325576
hybrid,u32_mod_2_32,17,9,131072,512,0,804.567,5.392,83.934,89.382,27.591,339752,,604160
hybrid,u32_mod_2_32,17,9,131072,512,1,804.567,5.812,76.917,82.771,27.780,339752,,605632
hybrid,u32_mod_2_32,17,9,131072,512,2,804.567,5.601,77.033,82.683,27.494,339752,,608508
hybrid,u32_mod_2_32,18,10,262144,1024,0,1719.352,10.681,144.464,155.191,49.168,381608,,1150696
hybrid,u32_mod_2_32,18,10,262144,1024,1,1719.352,10.405,125.689,136.143,47.836,381608,,1152924
hybrid,u32_mod_2_32,18,10,262144,1024,2,1719.352,9.624,130.882,140.552,49.178,381608,,1154012
hybrid,u32_mod_2_32,19,11,524288,2048,0,3650.538,21.263,257.538,278.851,91.252,423432,,2260944
hybrid,u32_mod_2_32,19,11,524288,2048,1,3650.538,19.564,252.929,272.565,92.442,423432,,2266380
hybrid,u32_mod_2_32,19,11,524288,2048,2,3650.538,20.374,251.191,271.621,90.807,423432,,2277544
hybrid,u32_mod_2_32,20,12,1048576,4096,0,7474.325,42.076,519.179,561.315,169.332,467000,,4095704
hybrid,u32_mod_2_32,20,12,1048576,4096,1,7474.325,41.691,504.463,546.224,168.167,467000,,4098784
hybrid,u32_mod_2_32,20,12,1048576,4096,2,7474.325,45.765,517.822,563.695,170.187,467000,,4110812
