family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
products,16,shared_unroll8,0,262144,17.534,768,0,0,1
products,16,karatsuba_barrett,0,262144,28.681,768,0,0,1
products,16,scalar_lanes,0,262144,16.227,768,0,0,1
products,16,shared,0,262144,16.579,768,0,0,1
products,16,flock,0,262144,16.336,768,0,0,1
products,16,shared_unroll2,0,262144,17.199,768,0,0,1
products,16,schoolbook,0,262144,43.381,768,0,0,1
products,16,karatsuba,0,262144,50.377,768,0,0,1
products,16,shared_unroll4,0,262144,17.215,768,0,0,1
products,16,shared_unroll8,1,262144,17.498,768,0,0,1
products,16,shared_unroll2,1,262144,17.121,768,0,0,1
products,16,shared,1,262144,16.546,768,0,0,1
products,16,schoolbook,1,262144,43.339,768,0,0,1
products,16,karatsuba_barrett,1,262144,28.735,768,0,0,1
products,16,flock,1,262144,16.200,768,0,0,1
products,16,scalar_lanes,1,262144,16.261,768,0,0,1
products,16,karatsuba,1,262144,50.910,768,0,0,1
products,16,shared_unroll4,1,262144,17.347,768,0,0,1
products,16,flock,2,262144,16.254,768,0,0,1
products,16,karatsuba_barrett,2,262144,28.783,768,0,0,1
products,16,scalar_lanes,2,262144,16.226,768,0,0,1
products,16,karatsuba,2,262144,50.918,768,0,0,1
products,16,shared_unroll4,2,262144,17.315,768,0,0,1
products,16,shared_unroll2,2,262144,17.019,768,0,0,1
products,16,shared_unroll8,2,262144,17.498,768,0,0,1
products,16,shared,2,262144,16.511,768,0,0,1
products,16,schoolbook,2,262144,43.256,768,0,0,1
products,16,scalar_lanes,3,262144,16.219,768,0,0,1
products,16,flock,3,262144,16.142,768,0,0,1
products,16,karatsuba_barrett,3,262144,28.680,768,0,0,1
products,16,shared_unroll8,3,262144,17.472,768,0,0,1
products,16,karatsuba,3,262144,50.560,768,0,0,1
products,16,shared_unroll2,3,262144,16.957,768,0,0,1
products,16,shared,3,262144,16.472,768,0,0,1
products,16,schoolbook,3,262144,43.224,768,0,0,1
products,16,shared_unroll4,3,262144,17.329,768,0,0,1
products,16,shared,4,262144,16.516,768,0,0,1
products,16,schoolbook,4,262144,43.180,768,0,0,1
