family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
products,16,shared,0,262144,16.494,768,0,0,1
products,16,scalar_lanes,0,262144,16.113,768,0,0,1
products,16,karatsuba_barrett,0,262144,27.842,768,0,0,1
products,16,shared_unroll8,0,262144,17.398,768,0,0,1
products,16,karatsuba,0,262144,50.484,768,0,0,1
products,16,shared_unroll4,0,262144,17.245,768,0,0,1
products,16,schoolbook,0,262144,42.967,768,0,0,1
products,16,shared_unroll2,0,262144,16.970,768,0,0,1
products,16,flock,0,262144,16.116,768,0,0,1
products,16,scalar_lanes,1,262144,16.125,768,0,0,1
products,16,shared_unroll4,1,262144,17.216,768,0,0,1
products,16,flock,1,262144,16.150,768,0,0,1
products,16,shared_unroll2,1,262144,16.978,768,0,0,1
products,16,shared_unroll8,1,262144,17.387,768,0,0,1
products,16,karatsuba,1,262144,50.483,768,0,0,1
products,16,schoolbook,1,262144,42.955,768,0,0,1
products,16,shared,1,262144,16.434,768,0,0,1
products,16,karatsuba_barrett,1,262144,27.761,768,0,0,1
products,16,shared_unroll2,2,262144,17.401,768,0,0,1
products,16,karatsuba_barrett,2,262144,27.390,768,0,0,1
products,16,karatsuba,2,262144,49.699,768,0,0,1
products,16,scalar_lanes,2,262144,15.906,768,0,0,1
products,16,shared,2,262144,16.448,768,0,0,1
products,16,shared_unroll4,2,262144,17.248,768,0,0,1
products,16,schoolbook,2,262144,42.752,768,0,0,1
products,16,shared_unroll8,2,262144,17.153,768,0,0,1
products,16,flock,2,262144,15.845,768,0,0,1
products,16,karatsuba,3,262144,49.709,768,0,0,1
products,16,shared_unroll2,3,262144,16.741,768,0,0,1
products,16,shared_unroll8,3,262144,17.400,768,0,0,1
products,16,schoolbook,3,262144,43.013,768,0,0,1
products,16,shared,3,262144,16.458,768,0,0,1
products,16,scalar_lanes,3,262144,16.125,768,0,0,1
products,16,shared_unroll4,3,262144,17.242,768,0,0,1
products,16,flock,3,262144,16.122,768,0,0,1
products,16,karatsuba_barrett,3,262144,27.789,768,0,0,1
products,16,shared,4,262144,16.454,768,0,0,1
products,16,flock,4,262144,16.139,768,0,0,1
products,16,shared_unroll8,4,262144,17.440,768,0,0,1
products,16,schoolbook,4,262144,42.978,768,0,0,1
products,16,shared_unroll2,4,262144,16.992,768,0,0,1
products,16,scalar_lanes,4,262144,16.119,768,0,0,1
products,16,karatsuba_barrett,4,262144,27.800,768,0,0,1
products,16,shared_unroll4,4,262144,17.228,768,0,0,1
products,16,karatsuba,4,262144,50.603,768,0,0,1
products,16,shared_unroll2,5,262144,16.998,768,0,0,1
products,16,karatsuba_barrett,5,262144,27.814,768,0,0,1
products,16,schoolbook,5,262144,43.015,768,0,0,1
products,16,shared_unroll4,5,262144,17.231,768,0,0,1
products,16,shared_unroll8,5,262144,17.377,768,0,0,1
products,16,shared,5,262144,16.452,768,0,0,1
products,16,karatsuba,5,262144,50.496,768,0,0,1
products,16,scalar_lanes,5,262144,16.119,768,0,0,1
products,16,flock,5,262144,16.100,768,0,0,1
