family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
gf_dot,16,shared_wide4,0,262144,14.409,512,0,0,1
gf_dot,16,flock_eager,0,262144,15.800,512,0,0,1
gf_dot,16,shared_wide1,0,262144,13.777,512,0,0,1
gf_dot,16,shared_wide2,0,262144,14.181,512,0,0,1
gf_dot,16,f2z_wide,0,262144,13.597,512,0,0,1
gf_dot,16,shared_wide8,0,262144,15.544,512,0,0,1
gf_dot,16,shared_wide4,1,262144,14.361,512,0,0,1
gf_dot,16,shared_wide2,1,262144,14.194,512,0,0,1
gf_dot,16,flock_eager,1,262144,15.792,512,0,0,1
gf_dot,16,f2z_wide,1,262144,14.726,512,0,0,1
gf_dot,16,shared_wide8,1,262144,18.081,512,0,0,1
gf_dot,16,shared_wide1,1,262144,14.451,512,0,0,1
prime_mul,q100_n16,branded,0,65536,83.345,768,0,0,1
prime_mul,q100_n16,raw_ctx,0,65536,81.497,768,0,0,1
prime_mul,q100_n16,checked_per_term,0,65536,91.921,768,0,0,1
prime_mul,q100_n16,configured_field,0,65536,131.575,3840,0,0,1
prime_mul,q100_n16,checked_per_term,1,65536,90.869,768,0,0,1
prime_mul,q100_n16,branded,1,65536,82.249,768,0,0,1
prime_mul,q100_n16,raw_ctx,1,65536,76.670,768,0,0,1
prime_mul,q100_n16,configured_field,1,65536,128.787,3840,0,0,1
prime_dot,q100_n16,existing_delayed,0,65536,61.350,512,0,0,1
prime_dot,q100_n16,convert_then_delayed,0,65536,126.842,1024,2,512,1
prime_dot,q100_n16,acc4,0,65536,64.142,512,0,0,1
prime_dot,q100_n16,eager_raw,0,65536,107.103,512,0,0,1
prime_dot,q100_n16,crypto_bigint_reduce,0,65536,158.822,512,0,0,1
prime_dot,q100_n16,acc2,0,65536,62.898,512,0,0,1
prime_dot,q100_n16,checked_per_term,0,65536,70.819,512,0,0,1
prime_dot,q100_n16,acc8,0,65536,67.275,512,0,0,1
prime_dot,q100_n16,acc2,1,65536,61.994,512,0,0,1
prime_dot,q100_n16,convert_then_delayed,1,65536,126.526,1024,2,512,1
prime_dot,q100_n16,existing_delayed,1,65536,61.323,512,0,0,1
prime_dot,q100_n16,acc8,1,65536,67.154,512,0,0,1
prime_dot,q100_n16,eager_raw,1,65536,107.057,512,0,0,1
prime_dot,q100_n16,crypto_bigint_reduce,1,65536,159.086,512,0,0,1
prime_dot,q100_n16,checked_per_term,1,65536,70.869,512,0,0,1
prime_dot,q100_n16,acc4,1,65536,64.046,512,0,0,1
prime_linear,q100_n16,existing_delayed,0,131072,42.222,384,0,0,1
prime_linear,q100_n16,acc4,0,131072,41.833,384,0,0,1
prime_linear,q100_n16,acc2,0,131072,39.539,384,0,0,1
prime_linear,q100_n16,acc8,0,131072,44.090,384,0,0,1
prime_linear,q100_n16,crypto_bigint_reduce,0,131072,137.126,384,0,0,1
prime_linear,q100_n16,acc8,1,131072,44.876,384,0,0,1
prime_linear,q100_n16,acc4,1,131072,42.067,384,0,0,1
prime_linear,q100_n16,acc2,1,131072,42.040,384,0,0,1
prime_linear,q100_n16,existing_delayed,1,131072,42.262,384,0,0,1
prime_linear,q100_n16,crypto_bigint_reduce,1,131072,133.933,384,0,0,1
prime_reduce_product,128,crypto_bigint,0,262144,108.869,40,0,0,1
prime_reduce_product,128,existing_optimized,0,262144,16.983,40,0,0,1
prime_reduce_product,128,existing_optimized,1,262144,16.990,40,0,0,1
prime_reduce_product,128,crypto_bigint,1,262144,112.153,40,0,0,1
prime_mul,q128_n16,raw_ctx,0,65536,79.568,768,0,0,1
prime_mul,q128_n16,branded,0,65536,84.481,768,0,0,1
prime_mul,q128_n16,configured_field,0,65536,131.364,3840,0,0,1
prime_mul,q128_n16,checked_per_term,0,65536,92.466,768,0,0,1
prime_mul,q128_n16,configured_field,1,65536,125.210,3840,0,0,1
prime_mul,q128_n16,checked_per_term,1,65536,88.301,768,0,0,1
prime_mul,q128_n16,raw_ctx,1,65536,81.659,768,0,0,1
prime_mul,q128_n16,branded,1,65536,85.073,768,0,0,1
prime_dot,q128_n16,crypto_bigint_reduce,0,65536,161.058,512,0,0,1
prime_dot,q128_n16,acc4,0,65536,65.547,512,0,0,1
prime_dot,q128_n16,checked_per_term,0,65536,74.287,512,0,0,1
prime_dot,q128_n16,eager_raw,0,65536,108.960,512,0,0,1
prime_dot,q128_n16,acc8,0,65536,67.866,512,0,0,1
prime_dot,q128_n16,acc2,0,65536,62.731,512,0,0,1
prime_dot,q128_n16,existing_delayed,0,65536,62.312,512,0,0,1
prime_dot,q128_n16,convert_then_delayed,0,65536,131.682,1024,2,512,1
prime_dot,q128_n16,acc2,1,65536,62.377,512,0,0,1
prime_dot,q128_n16,acc4,1,65536,63.637,512,0,0,1
prime_dot,q128_n16,eager_raw,1,65536,107.541,512,0,0,1
prime_dot,q128_n16,convert_then_delayed,1,65536,124.765,1024,2,512,1
prime_dot,q128_n16,checked_per_term,1,65536,70.755,512,0,0,1
prime_dot,q128_n16,acc8,1,65536,69.701,512,0,0,1
prime_dot,q128_n16,crypto_bigint_reduce,1,65536,156.374,512,0,0,1
prime_dot,q128_n16,existing_delayed,1,65536,59.412,512,0,0,1
prime_linear,q128_n16,acc4,0,131072,41.452,384,0,0,1
prime_linear,q128_n16,acc2,0,131072,41.891,384,0,0,1
prime_linear,q128_n16,crypto_bigint_reduce,0,131072,135.838,384,0,0,1
prime_linear,q128_n16,existing_delayed,0,131072,42.233,384,0,0,1
prime_linear,q128_n16,acc8,0,131072,43.548,384,0,0,1
prime_linear,q128_n16,existing_delayed,1,131072,42.025,384,0,0,1
prime_linear,q128_n16,acc8,1,131072,43.444,384,0,0,1
prime_linear,q128_n16,crypto_bigint_reduce,1,131072,135.402,384,0,0,1
prime_linear,q128_n16,acc2,1,131072,41.906,384,0,0,1
prime_linear,q128_n16,acc4,1,131072,42.140,384,0,0,1
integer_mac,l9_n16,checked_per_term,0,16384,336.088,2304,0,0,1
integer_mac,l9_n16,fused,0,16384,273.237,2304,0,0,1
integer_mac,l9_n16,circuit_z,0,16384,352.684,2304,0,0,1
integer_mac,l9_n16,checked_per_term,1,16384,336.416,2304,0,0,1
integer_mac,l9_n16,fused,1,16384,287.738,2304,0,0,1
integer_mac,l9_n16,circuit_z,1,16384,352.409,2304,0,0,1
