family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
dot,16,vec2,0,262144,28.748,512,0,0,1
dot,16,wide4,0,262144,14.021,512,0,0,1
dot,16,scalar_lanes,0,262144,15.338,512,0,0,1
dot,16,shared,0,262144,15.301,512,0,0,1
dot,16,flock,0,262144,15.532,512,0,0,1
dot,16,wide8,0,262144,15.261,512,0,0,1
dot,16,wide1,0,262144,13.208,512,0,0,1
dot,16,wide2,0,262144,13.616,512,0,0,1
dot,16,wide16,0,262144,31.380,512,0,0,1
dot,16,vec2,1,262144,28.319,512,0,0,1
dot,16,wide8,1,262144,15.218,512,0,0,1
dot,16,shared,1,262144,15.150,512,0,0,1
dot,16,wide1,1,262144,13.222,512,0,0,1
dot,16,wide4,1,262144,13.896,512,0,0,1
dot,16,flock,1,262144,15.146,512,0,0,1
dot,16,scalar_lanes,1,262144,15.178,512,0,0,1
dot,16,wide2,1,262144,13.710,512,0,0,1
dot,16,wide16,1,262144,31.475,512,0,0,1
dot,16,flock,2,262144,15.141,512,0,0,1
dot,16,wide4,2,262144,13.896,512,0,0,1
dot,16,scalar_lanes,2,262144,15.160,512,0,0,1
dot,16,wide2,2,262144,13.594,512,0,0,1
dot,16,wide16,2,262144,31.354,512,0,0,1
dot,16,wide8,2,262144,15.187,512,0,0,1
dot,16,vec2,2,262144,28.316,512,0,0,1
dot,16,shared,2,262144,15.184,512,0,0,1
dot,16,wide1,2,262144,13.326,512,0,0,1
dot,16,scalar_lanes,3,262144,15.146,512,0,0,1
dot,16,flock,3,262144,15.099,512,0,0,1
dot,16,wide4,3,262144,14.100,512,0,0,1
dot,16,vec2,3,262144,28.138,512,0,0,1
dot,16,wide2,3,262144,13.995,512,0,0,1
dot,16,wide8,3,262144,15.321,512,0,0,1
dot,16,shared,3,262144,15.166,512,0,0,1
dot,16,wide1,3,262144,13.162,512,0,0,1
dot,16,wide16,3,262144,31.203,512,0,0,1
dot,16,shared,4,262144,15.131,512,0,0,1
dot,16,wide1,4,262144,13.188,512,0,0,1
dot,16,wide8,4,262144,15.231,512,0,0,1
dot,16,wide4,4,262144,13.822,512,0,0,1
dot,16,flock,4,262144,15.129,512,0,0,1
dot,16,scalar_lanes,4,262144,15.148,512,0,0,1
dot,16,wide16,4,262144,31.390,512,0,0,1
dot,16,vec2,4,262144,28.235,512,0,0,1
dot,16,wide2,4,262144,13.640,512,0,0,1
dot,16,flock,5,262144,15.179,512,0,0,1
dot,16,vec2,5,262144,28.307,512,0,0,1
dot,16,wide2,5,262144,13.608,512,0,0,1
dot,16,scalar_lanes,5,262144,15.128,512,0,0,1
dot,16,wide1,5,262144,13.219,512,0,0,1
dot,16,wide16,5,262144,31.521,512,0,0,1
dot,16,wide8,5,262144,15.181,512,0,0,1
dot,16,wide4,5,262144,13.865,512,0,0,1
dot,16,shared,5,262144,15.143,512,0,0,1
dot,16,scalar_lanes,6,262144,15.166,512,0,0,1
dot,16,flock,6,262144,15.108,512,0,0,1
dot,16,wide16,6,262144,31.569,512,0,0,1
dot,16,wide4,6,262144,13.838,512,0,0,1
dot,16,wide8,6,262144,15.205,512,0,0,1
dot,16,shared,6,262144,15.149,512,0,0,1
dot,16,wide1,6,262144,13.180,512,0,0,1
dot,16,wide2,6,262144,13.618,512,0,0,1
dot,16,vec2,6,262144,28.245,512,0,0,1
dot,16,flock,7,262144,15.206,512,0,0,1
dot,16,shared,7,262144,15.106,512,0,0,1
dot,16,vec2,7,262144,28.211,512,0,0,1
dot,16,wide2,7,262144,13.638,512,0,0,1
dot,16,wide4,7,262144,13.808,512,0,0,1
dot,16,wide1,7,262144,13.217,512,0,0,1
dot,16,wide16,7,262144,31.217,512,0,0,1
dot,16,wide8,7,262144,15.156,512,0,0,1
dot,16,scalar_lanes,7,262144,15.116,512,0,0,1
dot,16,shared,8,262144,15.101,512,0,0,1
dot,16,flock,8,262144,15.159,512,0,0,1
dot,16,scalar_lanes,8,262144,15.144,512,0,0,1
dot,16,wide2,8,262144,13.624,512,0,0,1
dot,16,wide1,8,262144,13.182,512,0,0,1
dot,16,wide16,8,262144,31.293,512,0,0,1
dot,16,wide4,8,262144,13.916,512,0,0,1
dot,16,wide8,8,262144,15.424,512,0,0,1
dot,16,vec2,8,262144,28.617,512,0,0,1
dot,16,flock,9,262144,15.283,512,0,0,1
dot,16,vec2,9,262144,28.439,512,0,0,1
dot,16,wide16,9,262144,31.534,512,0,0,1
dot,16,scalar_lanes,9,262144,15.156,512,0,0,1
dot,16,wide1,9,262144,13.196,512,0,0,1
dot,16,wide8,9,262144,15.237,512,0,0,1
dot,16,wide4,9,262144,13.810,512,0,0,1
dot,16,wide2,9,262144,13.704,512,0,0,1
dot,16,shared,9,262144,15.846,512,0,0,1
dot,16,vec2,10,262144,28.413,512,0,0,1
dot,16,shared,10,262144,15.153,512,0,0,1
dot,16,wide4,10,262144,13.888,512,0,0,1
dot,16,scalar_lanes,10,262144,15.525,512,0,0,1
dot,16,wide1,10,262144,13.181,512,0,0,1
dot,16,flock,10,262144,15.124,512,0,0,1
dot,16,wide2,10,262144,13.666,512,0,0,1
dot,16,wide16,10,262144,32.073,512,0,0,1
dot,16,wide8,10,262144,15.028,512,0,0,1
dot,16,flock,11,262144,15.191,512,0,0,1
dot,16,scalar_lanes,11,262144,15.206,512,0,0,1
dot,16,vec2,11,262144,28.345,512,0,0,1
dot,16,wide8,11,262144,15.196,512,0,0,1
dot,16,wide1,11,262144,13.224,512,0,0,1
dot,16,wide2,11,262144,13.635,512,0,0,1
dot,16,wide4,11,262144,13.830,512,0,0,1
