family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
products,16,shared_unroll8,0,262144,17.820,768,0,0,1
products,16,scalar_lanes,0,262144,16.342,768,0,0,1
products,16,shared_unroll2,0,262144,17.470,768,0,0,1
products,16,karatsuba_barrett,0,262144,28.850,768,0,0,1
products,16,shared,0,262144,17.087,768,0,0,1
products,16,shared_unroll4,0,262144,17.312,768,0,0,1
products,16,schoolbook,0,262144,44.714,768,0,0,1
products,16,karatsuba,0,262144,51.236,768,0,0,1
products,16,flock,0,262144,16.368,768,0,0,1
products,16,karatsuba_barrett,1,262144,28.766,768,0,0,1
products,16,schoolbook,1,262144,43.358,768,0,0,1
products,16,flock,1,262144,16.427,768,0,0,1
products,16,karatsuba,1,262144,50.654,768,0,0,1
products,16,shared_unroll2,1,262144,16.991,768,0,0,1
products,16,shared_unroll8,1,262144,17.451,768,0,0,1
products,16,shared,1,262144,16.610,768,0,0,1
products,16,shared_unroll4,1,262144,17.290,768,0,0,1
products,16,scalar_lanes,1,262144,16.806,768,0,0,1
products,16,scalar_lanes,2,262144,16.088,768,0,0,1
products,16,flock,2,262144,16.298,768,0,0,1
products,16,shared,2,262144,16.593,768,0,0,1
products,16,karatsuba,2,262144,52.424,768,0,0,1
products,16,shared_unroll4,2,262144,17.796,768,0,0,1
products,16,shared_unroll8,2,262144,17.592,768,0,0,1
products,16,karatsuba_barrett,2,262144,28.744,768,0,0,1
products,16,shared_unroll2,2,262144,17.075,768,0,0,1
products,16,schoolbook,2,262144,43.436,768,0,0,1
products,16,shared,3,262144,16.612,768,0,0,1
products,16,flock,3,262144,16.508,768,0,0,1
products,16,shared_unroll8,3,262144,17.557,768,0,0,1
products,16,schoolbook,3,262144,43.354,768,0,0,1
products,16,shared_unroll4,3,262144,17.473,768,0,0,1
products,16,scalar_lanes,3,262144,16.466,768,0,0,1
products,16,karatsuba_barrett,3,262144,29.257,768,0,0,1
products,16,shared_unroll2,3,262144,17.165,768,0,0,1
products,16,karatsuba,3,262144,52.290,768,0,0,1
products,16,karatsuba,4,262144,51.593,768,0,0,1
products,16,shared_unroll4,4,262144,18.312,768,0,0,1
products,16,shared_unroll8,4,262144,18.320,768,0,0,1
products,16,schoolbook,4,262144,45.675,768,0,0,1
products,16,shared_unroll2,4,262144,21.519,768,0,0,1
products,16,karatsuba_barrett,4,262144,28.918,768,0,0,1
products,16,scalar_lanes,4,262144,16.153,768,0,0,1
products,16,flock,4,262144,16.383,768,0,0,1
products,16,shared,4,262144,16.911,768,0,0,1
products,16,karatsuba_barrett,5,262144,30.674,768,0,0,1
products,16,shared_unroll4,5,262144,19.725,768,0,0,1
products,16,schoolbook,5,262144,47.858,768,0,0,1
products,16,shared_unroll2,5,262144,17.656,768,0,0,1
products,16,scalar_lanes,5,262144,16.230,768,0,0,1
products,16,karatsuba,5,262144,51.626,768,0,0,1
products,16,shared,5,262144,16.982,768,0,0,1
products,16,shared_unroll8,5,262144,17.813,768,0,0,1
products,16,flock,5,262144,16.165,768,0,0,1
products,16,shared_unroll4,6,262144,17.436,768,0,0,1
products,16,shared_unroll8,6,262144,18.068,768,0,0,1
products,16,scalar_lanes,6,262144,16.156,768,0,0,1
products,16,schoolbook,6,262144,43.573,768,0,0,1
products,16,karatsuba_barrett,6,262144,29.226,768,0,0,1
products,16,karatsuba,6,262144,50.905,768,0,0,1
products,16,shared_unroll2,6,262144,17.373,768,0,0,1
products,16,flock,6,262144,16.389,768,0,0,1
products,16,shared,6,262144,16.812,768,0,0,1
products,16,shared_unroll8,7,262144,17.444,768,0,0,1
products,16,scalar_lanes,7,262144,16.638,768,0,0,1
products,16,shared_unroll2,7,262144,17.235,768,0,0,1
products,16,karatsuba_barrett,7,262144,29.134,768,0,0,1
products,16,schoolbook,7,262144,43.925,768,0,0,1
products,16,shared,7,262144,16.769,768,0,0,1
products,16,flock,7,262144,16.932,768,0,0,1
products,16,shared_unroll4,7,262144,17.212,768,0,0,1
products,16,karatsuba,7,262144,51.456,768,0,0,1
products,16,schoolbook,8,262144,43.346,768,0,0,1
products,16,shared_unroll8,8,262144,17.880,768,0,0,1
products,16,shared_unroll2,8,262144,17.498,768,0,0,1
products,16,karatsuba,8,262144,51.188,768,0,0,1
