family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_ood,log10,vector_1024,0,1024,2230.632,16384,2,16400,1
opt_ood,log10,tiled_256,0,1024,1173.137,16384,2,4160,1
opt_ood,log10,production_blocked,0,1024,2987.631,16384,13,32832,1
opt_ood,log10,vector_2048,0,1024,2286.539,16384,2,16400,1
opt_ood,log10,tiled_collect,0,1024,2167.521,16384,2,16400,1
opt_ood,log10,tiled_grouped,0,1024,2158.691,16384,2,16400,1
opt_ood,log10,reuse_products,0,1024,2263.428,16384,2,16400,1
opt_ood,log10,prepared_products,0,1024,2260.092,16384,3,16464,1
opt_ood,log10,collect_products,0,1024,2265.747,16384,3,16464,1
opt_ood,log10,indexed_products,0,1024,2321.492,16384,2,16400,1
opt_ood,log10,tiled_1024,0,1024,2193.888,16384,2,16400,1
opt_ood,log10,vector_products,0,1024,2286.581,16384,3,16464,1
opt_ood,log10,vector_2048,1,1024,2321.208,16384,2,16400,1
opt_ood,log10,tiled_collect,1,1024,2211.670,16384,2,16400,1
opt_ood,log10,reuse_products,1,1024,2142.416,16384,2,16400,1
opt_ood,log10,collect_products,1,1024,2255.981,16384,3,16464,1
opt_ood,log10,vector_1024,1,1024,2233.398,16384,2,16400,1
opt_ood,log10,tiled_1024,1,1024,2173.462,16384,2,16400,1
opt_ood,log10,tiled_grouped,1,1024,2142.578,16384,2,16400,1
opt_ood,log10,tiled_256,1,1024,1172.363,16384,2,4160,1
opt_ood,log10,prepared_products,1,1024,2281.941,16384,3,16464,1
opt_ood,log10,vector_products,1,1024,2367.880,16384,3,16464,1
opt_ood,log10,indexed_products,1,1024,2240.967,16384,2,16400,1
opt_ood,log10,production_blocked,1,1024,3002.522,16384,13,32832,1
opt_ood,log10,tiled_collect,2,1024,2231.934,16384,2,16400,1
opt_ood,log10,vector_products,2,1024,2277.222,16384,3,16464,1
opt_ood,log10,tiled_grouped,2,1024,2165.608,16384,2,16400,1
opt_ood,log10,reuse_products,2,1024,2321.696,16384,2,16400,1
opt_ood,log10,indexed_products,2,1024,2262.126,16384,2,16400,1
opt_ood,log10,tiled_256,2,1024,1205.282,16384,2,4160,1
opt_ood,log10,collect_products,2,1024,2402.547,16384,3,16464,1
opt_ood,log10,production_blocked,2,1024,3242.920,16384,13,32832,1
opt_ood,log10,prepared_products,2,1024,2388.306,16384,3,16464,1
opt_ood,log10,tiled_1024,2,1024,2280.843,16384,2,16400,1
opt_ood,log10,vector_2048,2,1024,2429.810,16384,2,16400,1
opt_ood,log10,vector_1024,2,1024,2601.115,16384,2,16400,1
opt_ood,log10,indexed_products,3,1024,2244.711,16384,2,16400,1
opt_ood,log10,prepared_products,3,1024,2291.748,16384,3,16464,1
opt_ood,log10,tiled_256,3,1024,1209.351,16384,2,4160,1
opt_ood,log10,vector_products,3,1024,2359.090,16384,3,16464,1
opt_ood,log10,tiled_grouped,3,1024,2178.101,16384,2,16400,1
opt_ood,log10,vector_2048,3,1024,2289.389,16384,2,16400,1
opt_ood,log10,tiled_collect,3,1024,2288.046,16384,2,16400,1
opt_ood,log10,tiled_1024,3,1024,2175.049,16384,2,16400,1
opt_ood,log10,production_blocked,3,1024,3044.353,16384,13,32832,1
opt_ood,log10,collect_products,3,1024,2349.609,16384,3,16464,1
opt_ood,log10,reuse_products,3,1024,2197.103,16384,2,16400,1
opt_ood,log10,vector_1024,3,1024,2269.083,16384,2,16400,1
opt_ood,log10,production_blocked,4,1024,3116.170,16384,13,32832,1
opt_ood,log10,tiled_grouped,4,1024,2134.766,16384,2,16400,1
opt_ood,log10,indexed_products,4,1024,2234.497,16384,2,16400,1
opt_ood,log10,prepared_products,4,1024,2238.607,16384,3,16464,1
opt_ood,log10,vector_products,4,1024,2315.755,16384,3,16464,1
opt_ood,log10,vector_2048,4,1024,2245.076,16384,2,16400,1
opt_ood,log10,vector_1024,4,1024,2483.357,16384,2,16400,1
opt_ood,log10,tiled_256,4,1024,1285.971,16384,2,4160,1
opt_ood,log10,tiled_collect,4,1024,2342.529,16384,2,16400,1
opt_ood,log10,collect_products,4,1024,2304.077,16384,3,16464,1
opt_ood,log10,reuse_products,4,1024,2183.023,16384,2,16400,1
opt_ood,log10,tiled_1024,4,1024,2189.819,16384,2,16400,1
opt_ood,log10,production_blocked,5,1024,3086.711,16384,13,32832,1
opt_ood,log10,collect_products,5,1024,2296.184,16384,3,16464,1
opt_ood,log10,indexed_products,5,1024,2304.199,16384,2,16400,1
opt_ood,log10,tiled_1024,5,1024,2236.166,16384,2,16400,1
opt_ood,log10,tiled_collect,5,1024,2162.557,16384,2,16400,1
opt_ood,log10,prepared_products,5,1024,2235.637,16384,3,16464,1
opt_ood,log10,vector_1024,5,1024,2233.968,16384,2,16400,1
opt_ood,log10,reuse_products,5,1024,2312.622,16384,2,16400,1
opt_ood,log10,tiled_grouped,5,1024,2231.364,16384,2,16400,1
opt_ood,log10,tiled_256,5,1024,1174.683,16384,2,4160,1
opt_ood,log10,vector_2048,5,1024,2233.846,16384,2,16400,1
opt_ood,log10,vector_products,5,1024,2271.973,16384,3,16464,1
opt_ood,log10,indexed_products,6,1024,2461.914,16384,2,16400,1
opt_ood,log10,prepared_products,6,1024,2238.566,16384,3,16464,1
opt_ood,log10,production_blocked,6,1024,3010.091,16384,13,32832,1
opt_ood,log10,tiled_1024,6,1024,2172.485,16384,2,16400,1
opt_ood,log10,tiled_collect,6,1024,2187.825,16384,2,16400,1
opt_ood,log10,vector_1024,6,1024,2373.942,16384,2,16400,1
opt_ood,log10,tiled_256,6,1024,1190.878,16384,2,4160,1
opt_ood,log10,collect_products,6,1024,2301.636,16384,3,16464,1
opt_ood,log10,vector_2048,6,1024,2334.555,16384,2,16400,1
opt_ood,log10,tiled_grouped,6,1024,2299.846,16384,2,16400,1
opt_ood,log10,reuse_products,6,1024,2193.767,16384,2,16400,1
opt_ood,log10,vector_products,6,1024,2275.309,16384,3,16464,1
opt_ood,log10,tiled_1024,7,1024,2156.494,16384,2,16400,1
opt_ood,log10,reuse_products,7,1024,2292.480,16384,2,16400,1
opt_ood,log10,vector_1024,7,1024,2233.968,16384,2,16400,1
opt_ood,log10,tiled_256,7,1024,1171.834,16384,2,4160,1
opt_ood,log10,vector_products,7,1024,2326.985,16384,3,16464,1
opt_ood,log10,production_blocked,7,1024,3085.897,16384,13,32832,1
opt_ood,log10,vector_2048,7,1024,2283.285,16384,2,16400,1
opt_ood,log10,collect_products,7,1024,2318.115,16384,3,16464,1
opt_ood,log10,prepared_products,7,1024,2377.930,16384,3,16464,1
opt_ood,log10,tiled_collect,7,1024,2161.621,16384,2,16400,1
opt_ood,log10,indexed_products,7,1024,2237.345,16384,2,16400,1
opt_ood,log10,tiled_grouped,7,1024,2134.685,16384,2,16400,1
opt_ood,log10,production_blocked,8,1024,3041.626,16384,13,32832,1
opt_ood,log10,tiled_collect,8,1024,2180.542,16384,2,16400,1
opt_ood,log10,vector_products,8,1024,2315.512,16384,3,16464,1
opt_ood,log10,prepared_products,8,1024,2468.668,16384,3,16464,1
opt_ood,log10,reuse_products,8,1024,2184.530,16384,2,16400,1
opt_ood,log10,tiled_grouped,8,1024,2179.402,16384,2,16400,1
opt_ood,log10,tiled_1024,8,1024,2210.652,16384,2,16400,1
opt_ood,log10,collect_products,8,1024,2337.973,16384,3,16464,1
opt_ood,log10,vector_1024,8,1024,2278.157,16384,2,16400,1
opt_ood,log10,vector_2048,8,1024,2288.086,16384,2,16400,1
opt_ood,log10,tiled_256,8,1024,1259.685,16384,2,4160,1
opt_ood,log10,indexed_products,8,1024,2287.190,16384,2,16400,1
opt_ood,log10,tiled_256,9,1024,1186.361,16384,2,4160,1
opt_ood,log10,tiled_collect,9,1024,2166.179,16384,2,16400,1
opt_ood,log10,production_blocked,9,1024,3067.301,16384,13,32832,1
opt_ood,log10,tiled_grouped,9,1024,2169.393,16384,2,16400,1
opt_ood,log10,vector_2048,9,1024,2244.141,16384,2,16400,1
opt_ood,log10,indexed_products,9,1024,2393.880,16384,2,16400,1
opt_ood,log10,vector_products,9,1024,2268.880,16384,3,16464,1
opt_ood,log10,vector_1024,9,1024,2235.229,16384,2,16400,1
