family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
square,16,flock,0,131072,40.562,512,0,0,1
square,16,shared,0,131072,12.930,512,0,0,1
square,16,shared,1,131072,12.283,512,0,0,1
square,16,flock,1,131072,40.796,512,0,0,1
inverse,1,flock,0,4096,1080.200,32,0,0,1
inverse,1,shared,0,4096,438.741,32,0,0,1
inverse,1,flock,1,4096,1063.690,32,0,0,1
inverse,1,shared,1,4096,441.986,32,0,0,1
fixed,full_n16,flock,0,262144,15.291,512,0,0,1
fixed,full_n16,shared,0,262144,15.085,512,0,0,1
fixed,full_n16,specialized,0,262144,14.629,512,0,0,1
fixed,full_n16,scalar_lanes,0,262144,16.014,512,0,0,1
fixed,full_n16,prepared,0,262144,14.143,512,0,0,1
fixed,full_n16,prepared,1,262144,14.385,512,0,0,1
fixed,full_n16,scalar_lanes,1,262144,16.095,512,0,0,1
fixed,full_n16,specialized,1,262144,14.612,512,0,0,1
fixed,full_n16,flock,1,262144,15.255,512,0,0,1
fixed,full_n16,shared,1,262144,15.211,512,0,0,1
butterfly,full_n16,flock,0,262144,21.281,1024,0,0,1
butterfly,full_n16,prepared,0,262144,21.071,1024,0,0,1
butterfly,full_n16,shared,0,262144,21.819,1024,0,0,1
butterfly,full_n16,scalar_lanes,0,262144,21.220,1024,0,0,1
butterfly,full_n16,specialized,0,262144,21.413,1024,0,0,1
butterfly,full_n16,shared,1,262144,20.993,1024,0,0,1
butterfly,full_n16,flock,1,262144,21.545,1024,0,0,1
butterfly,full_n16,scalar_lanes,1,262144,20.729,1024,0,0,1
butterfly,full_n16,prepared,1,262144,21.101,1024,0,0,1
butterfly,full_n16,specialized,1,262144,21.448,1024,0,0,1
ntt,log8_lanes1,shared_twiddle,0,2048,2422.058,8192,0,0,1
ntt,log8_lanes1,prepared_twiddle,0,2048,2521.932,8192,0,0,1
ntt,log8_lanes1,preserved_schedule,0,2048,3018.982,8192,0,0,1
ntt,log8_lanes1,flock,0,2048,2635.803,8192,0,0,1
ntt,log8_lanes1,shared_generic,0,2048,2478.414,8192,0,0,1
ntt,log8_lanes1,reset_only,0,2048,52.653,8192,0,0,0
ntt,log8_lanes1,flock,1,2048,2855.875,8192,0,0,1
ntt,log8_lanes1,shared_generic,1,2048,2579.020,8192,0,0,1
ntt,log8_lanes1,reset_only,1,2048,53.203,8192,0,0,0
ntt,log8_lanes1,prepared_twiddle,1,2048,2538.472,8192,0,0,1
ntt,log8_lanes1,shared_twiddle,1,2048,2385.661,8192,0,0,1
ntt,log8_lanes1,preserved_schedule,1,2048,3162.292,8192,0,0,1
