family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
two_limb_mac,signed16_n1,split2,0,1048576,2.876,32,0,0,1
two_limb_mac,signed16_n1,product1,0,1048576,2.486,32,0,0,1
two_limb_mac,signed16_n1,product4,0,1048576,2.810,32,0,0,1
two_limb_mac,signed16_n1,split4,0,1048576,3.345,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,0,1048576,2.639,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,0,1048576,2.616,32,0,0,1
two_limb_mac,signed16_n1,split1,0,1048576,2.642,32,0,0,1
two_limb_mac,signed16_n1,selected,0,1048576,2.491,32,0,0,1
two_limb_mac,signed16_n1,product2,0,1048576,2.600,32,0,0,1
two_limb_mac,signed16_n1,product2,1,1048576,2.663,32,0,0,1
two_limb_mac,signed16_n1,split2,1,1048576,2.818,32,0,0,1
two_limb_mac,signed16_n1,split4,1,1048576,3.234,32,0,0,1
two_limb_mac,signed16_n1,selected,1,1048576,2.595,32,0,0,1
two_limb_mac,signed16_n1,product4,1,1048576,2.829,32,0,0,1
two_limb_mac,signed16_n1,product1,1,1048576,2.487,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,1,1048576,2.722,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,1,1048576,2.613,32,0,0,1
two_limb_mac,signed16_n1,split1,1,1048576,2.646,32,0,0,1
two_limb_mac,signed16_n1,split1,2,1048576,2.615,32,0,0,1
two_limb_mac,signed16_n1,product2,2,1048576,2.575,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,2,1048576,2.616,32,0,0,1
two_limb_mac,signed16_n1,split2,2,1048576,2.863,32,0,0,1
two_limb_mac,signed16_n1,product1,2,1048576,2.495,32,0,0,1
two_limb_mac,signed16_n1,product4,2,1048576,2.851,32,0,0,1
two_limb_mac,signed16_n1,selected,2,1048576,2.590,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,2,1048576,2.619,32,0,0,1
two_limb_mac,signed16_n1,split4,2,1048576,3.423,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,3,1048576,2.579,32,0,0,1
two_limb_mac,signed16_n1,product2,3,1048576,2.561,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,3,1048576,2.582,32,0,0,1
two_limb_mac,signed16_n1,split4,3,1048576,3.274,32,0,0,1
two_limb_mac,signed16_n1,product4,3,1048576,2.828,32,0,0,1
two_limb_mac,signed16_n1,split2,3,1048576,2.963,32,0,0,1
two_limb_mac,signed16_n1,split1,3,1048576,2.581,32,0,0,1
two_limb_mac,signed16_n1,selected,3,1048576,2.494,32,0,0,1
two_limb_mac,signed16_n1,product1,3,1048576,2.560,32,0,0,1
two_limb_mac,signed16_n1,split4,4,1048576,3.252,32,0,0,1
two_limb_mac,signed16_n1,product4,4,1048576,2.839,32,0,0,1
two_limb_mac,signed16_n1,split2,4,1048576,2.884,32,0,0,1
two_limb_mac,signed16_n1,split1,4,1048576,2.597,32,0,0,1
two_limb_mac,signed16_n1,product2,4,1048576,2.607,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,4,1048576,2.668,32,0,0,1
two_limb_mac,signed16_n1,selected,4,1048576,2.502,32,0,0,1
two_limb_mac,signed16_n1,product1,4,1048576,2.511,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,4,1048576,2.575,32,0,0,1
two_limb_mac,signed16_n1,split4,5,1048576,3.268,32,0,0,1
two_limb_mac,signed16_n1,split1,5,1048576,2.584,32,0,0,1
two_limb_mac,signed16_n1,product1,5,1048576,2.542,32,0,0,1
two_limb_mac,signed16_n1,product4,5,1048576,2.819,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,5,1048576,2.585,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,5,1048576,2.628,32,0,0,1
two_limb_mac,signed16_n1,split2,5,1048576,2.935,32,0,0,1
two_limb_mac,signed16_n1,selected,5,1048576,2.500,32,0,0,1
two_limb_mac,signed16_n1,product2,5,1048576,2.601,32,0,0,1
two_limb_mac,signed16_n1,product2,6,1048576,2.568,32,0,0,1
two_limb_mac,signed16_n1,split4,6,1048576,3.330,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,6,1048576,2.597,32,0,0,1
two_limb_mac,signed16_n1,split2,6,1048576,2.805,32,0,0,1
two_limb_mac,signed16_n1,product4,6,1048576,2.870,32,0,0,1
two_limb_mac,signed16_n1,product1,6,1048576,2.566,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,6,1048576,2.611,32,0,0,1
two_limb_mac,signed16_n1,split1,6,1048576,2.591,32,0,0,1
two_limb_mac,signed16_n1,selected,6,1048576,2.513,32,0,0,1
two_limb_mac,signed16_n1,split4,7,1048576,3.239,32,0,0,1
two_limb_mac,signed16_n1,product4,7,1048576,2.885,32,0,0,1
two_limb_mac,signed16_n1,split1,7,1048576,2.584,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,7,1048576,2.562,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,7,1048576,2.634,32,0,0,1
two_limb_mac,signed16_n1,product2,7,1048576,2.555,32,0,0,1
two_limb_mac,signed16_n1,product1,7,1048576,2.484,32,0,0,1
two_limb_mac,signed16_n1,split2,7,1048576,2.908,32,0,0,1
two_limb_mac,signed16_n1,selected,7,1048576,2.482,32,0,0,1
two_limb_mac,signed16_n1,split1,8,1048576,2.562,32,0,0,1
two_limb_mac,signed16_n1,product2,8,1048576,2.569,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,8,1048576,2.610,32,0,0,1
two_limb_mac,signed16_n1,selected,8,1048576,2.498,32,0,0,1
two_limb_mac,signed16_n1,product4,8,1048576,2.895,32,0,0,1
two_limb_mac,signed16_n1,split2,8,1048576,2.880,32,0,0,1
two_limb_mac,signed16_n1,split4,8,1048576,3.305,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,8,1048576,2.723,32,0,0,1
two_limb_mac,signed16_n1,product1,8,1048576,2.489,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,9,1048576,2.571,32,0,0,1
two_limb_mac,signed16_n1,selected,9,1048576,2.528,32,0,0,1
two_limb_mac,signed16_n1,split1,9,1048576,2.589,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,9,1048576,2.574,32,0,0,1
two_limb_mac,signed16_n1,product1,9,1048576,2.614,32,0,0,1
two_limb_mac,signed16_n1,product4,9,1048576,2.836,32,0,0,1
two_limb_mac,signed16_n1,split4,9,1048576,3.275,32,0,0,1
two_limb_mac,signed16_n1,product2,9,1048576,2.709,32,0,0,1
two_limb_mac,signed16_n1,split2,9,1048576,2.859,32,0,0,1
two_limb_mac,signed16_n1,split1,10,1048576,2.632,32,0,0,1
two_limb_mac,signed16_n1,split4,10,1048576,3.399,32,0,0,1
two_limb_mac,signed16_n1,product2,10,1048576,2.608,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,10,1048576,2.679,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,10,1048576,2.634,32,0,0,1
two_limb_mac,signed16_n1,selected,10,1048576,2.526,32,0,0,1
two_limb_mac,signed16_n1,product4,10,1048576,2.951,32,0,0,1
two_limb_mac,signed16_n1,product1,10,1048576,2.495,32,0,0,1
two_limb_mac,signed16_n1,split2,10,1048576,2.795,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,11,1048576,2.601,32,0,0,1
two_limb_mac,signed16_n1,split1,11,1048576,2.603,32,0,0,1
two_limb_mac,signed16_n1,split2,11,1048576,2.815,32,0,0,1
two_limb_mac,signed16_n1,selected,11,1048576,2.552,32,0,0,1
two_limb_mac,signed16_n1,product4,11,1048576,2.818,32,0,0,1
two_limb_mac,signed16_n1,product1,11,1048576,2.535,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,11,1048576,2.654,32,0,0,1
two_limb_mac,signed16_n1,split4,11,1048576,3.290,32,0,0,1
two_limb_mac,signed16_n1,product2,11,1048576,2.559,32,0,0,1
two_limb_mac,signed16_n1,split1,12,1048576,2.656,32,0,0,1
two_limb_mac,signed16_n1,product4,12,1048576,2.815,32,0,0,1
two_limb_mac,signed16_n1,product2,12,1048576,2.600,32,0,0,1
two_limb_mac,signed16_n1,product1,12,1048576,2.633,32,0,0,1
two_limb_mac,signed16_n1,selected,12,1048576,2.483,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,12,1048576,2.565,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,12,1048576,2.604,32,0,0,1
two_limb_mac,signed16_n1,split4,12,1048576,3.255,32,0,0,1
two_limb_mac,signed16_n1,split2,12,1048576,2.794,32,0,0,1
two_limb_mac,signed16_n1,split1,13,1048576,2.671,32,0,0,1
two_limb_mac,signed16_n1,product1,13,1048576,2.501,32,0,0,1
two_limb_mac,signed16_n1,product4,13,1048576,2.802,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,13,1048576,2.625,32,0,0,1
two_limb_mac,signed16_n1,split2,13,1048576,2.812,32,0,0,1
two_limb_mac,signed16_n1,product2,13,1048576,2.564,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,13,1048576,2.653,32,0,0,1
two_limb_mac,signed16_n1,selected,13,1048576,2.510,32,0,0,1
two_limb_mac,signed16_n1,split4,13,1048576,3.329,32,0,0,1
two_limb_mac,signed16_n1,product4,14,1048576,2.931,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,14,1048576,2.605,32,0,0,1
two_limb_mac,signed16_n1,selected,14,1048576,2.580,32,0,0,1
two_limb_mac,signed16_n1,split2,14,1048576,2.839,32,0,0,1
two_limb_mac,signed16_n1,product2,14,1048576,2.600,32,0,0,1
two_limb_mac,signed16_n1,split4,14,1048576,3.406,32,0,0,1
two_limb_mac,signed16_n1,split1,14,1048576,2.629,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,14,1048576,2.609,32,0,0,1
two_limb_mac,signed16_n1,product1,14,1048576,2.633,32,0,0,1
two_limb_mac,signed16_n1,split2,15,1048576,2.854,32,0,0,1
two_limb_mac,signed16_n1,product1,15,1048576,2.534,32,0,0,1
two_limb_mac,signed16_n1,split1,15,1048576,2.691,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,15,1048576,2.627,32,0,0,1
two_limb_mac,signed16_n1,product2,15,1048576,2.573,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,15,1048576,2.664,32,0,0,1
two_limb_mac,signed16_n1,product4,15,1048576,2.851,32,0,0,1
two_limb_mac,signed16_n1,split4,15,1048576,3.302,32,0,0,1
two_limb_mac,signed16_n1,selected,15,1048576,2.588,32,0,0,1
two_limb_mac,signed16_n1,split2,16,1048576,2.852,32,0,0,1
two_limb_mac,signed16_n1,selected,16,1048576,2.534,32,0,0,1
two_limb_mac,signed16_n1,legacy_fused,16,1048576,2.676,32,0,0,1
two_limb_mac,signed16_n1,product2,16,1048576,2.577,32,0,0,1
two_limb_mac,signed16_n1,split1,16,1048576,2.569,32,0,0,1
two_limb_mac,signed16_n1,product1,16,1048576,2.606,32,0,0,1
two_limb_mac,signed16_n1,circuit_z,16,1048576,2.570,32,0,0,1
