family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
two_limb_mac,signed16_n3,selected,0,1048576,3.749,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,0,1048576,3.835,96,0,0,1
two_limb_mac,signed16_n3,split4,0,1048576,4.117,96,0,0,1
two_limb_mac,signed16_n3,product4,0,1048576,3.752,96,0,0,1
two_limb_mac,signed16_n3,product1,0,1048576,4.074,96,0,0,1
two_limb_mac,signed16_n3,product2,0,1048576,3.844,96,0,0,1
two_limb_mac,signed16_n3,split2,0,1048576,4.285,96,0,0,1
two_limb_mac,signed16_n3,split1,0,1048576,4.139,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,0,1048576,3.744,96,0,0,1
two_limb_mac,signed16_n3,split4,1,1048576,4.210,96,0,0,1
two_limb_mac,signed16_n3,product1,1,1048576,4.042,96,0,0,1
two_limb_mac,signed16_n3,selected,1,1048576,3.881,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,1,1048576,3.733,96,0,0,1
two_limb_mac,signed16_n3,split2,1,1048576,4.329,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,1,1048576,3.775,96,0,0,1
two_limb_mac,signed16_n3,product2,1,1048576,3.850,96,0,0,1
two_limb_mac,signed16_n3,split1,1,1048576,4.070,96,0,0,1
two_limb_mac,signed16_n3,product4,1,1048576,3.853,96,0,0,1
two_limb_mac,signed16_n3,product2,2,1048576,3.774,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,2,1048576,3.886,96,0,0,1
two_limb_mac,signed16_n3,split2,2,1048576,4.266,96,0,0,1
two_limb_mac,signed16_n3,split1,2,1048576,4.173,96,0,0,1
two_limb_mac,signed16_n3,selected,2,1048576,3.747,96,0,0,1
two_limb_mac,signed16_n3,product4,2,1048576,3.796,96,0,0,1
two_limb_mac,signed16_n3,product1,2,1048576,4.125,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,2,1048576,3.997,96,0,0,1
two_limb_mac,signed16_n3,split4,2,1048576,4.213,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,3,1048576,3.925,96,0,0,1
two_limb_mac,signed16_n3,selected,3,1048576,3.789,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,3,1048576,3.980,96,0,0,1
two_limb_mac,signed16_n3,split4,3,1048576,4.245,96,0,0,1
two_limb_mac,signed16_n3,split2,3,1048576,4.490,96,0,0,1
two_limb_mac,signed16_n3,product4,3,1048576,3.658,96,0,0,1
two_limb_mac,signed16_n3,product2,3,1048576,3.837,96,0,0,1
two_limb_mac,signed16_n3,split1,3,1048576,4.076,96,0,0,1
two_limb_mac,signed16_n3,product1,3,1048576,4.110,96,0,0,1
two_limb_mac,signed16_n3,split4,4,1048576,4.179,96,0,0,1
two_limb_mac,signed16_n3,product1,4,1048576,4.228,96,0,0,1
two_limb_mac,signed16_n3,split1,4,1048576,4.151,96,0,0,1
two_limb_mac,signed16_n3,product4,4,1048576,3.784,96,0,0,1
two_limb_mac,signed16_n3,split2,4,1048576,4.259,96,0,0,1
two_limb_mac,signed16_n3,product2,4,1048576,3.821,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,4,1048576,3.836,96,0,0,1
two_limb_mac,signed16_n3,selected,4,1048576,3.834,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,4,1048576,3.826,96,0,0,1
two_limb_mac,signed16_n3,product1,5,1048576,4.064,96,0,0,1
two_limb_mac,signed16_n3,split2,5,1048576,4.318,96,0,0,1
two_limb_mac,signed16_n3,selected,5,1048576,3.824,96,0,0,1
two_limb_mac,signed16_n3,split4,5,1048576,4.179,96,0,0,1
two_limb_mac,signed16_n3,split1,5,1048576,4.203,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,5,1048576,3.761,96,0,0,1
two_limb_mac,signed16_n3,product4,5,1048576,3.863,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,5,1048576,3.880,96,0,0,1
two_limb_mac,signed16_n3,product2,5,1048576,3.913,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,6,1048576,3.863,96,0,0,1
two_limb_mac,signed16_n3,product1,6,1048576,4.139,96,0,0,1
two_limb_mac,signed16_n3,split4,6,1048576,4.174,96,0,0,1
two_limb_mac,signed16_n3,split1,6,1048576,4.199,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,6,1048576,3.802,96,0,0,1
two_limb_mac,signed16_n3,product2,6,1048576,3.855,96,0,0,1
two_limb_mac,signed16_n3,selected,6,1048576,3.749,96,0,0,1
two_limb_mac,signed16_n3,product4,6,1048576,3.699,96,0,0,1
two_limb_mac,signed16_n3,split2,6,1048576,4.334,96,0,0,1
two_limb_mac,signed16_n3,selected,7,1048576,3.837,96,0,0,1
two_limb_mac,signed16_n3,split1,7,1048576,4.048,96,0,0,1
two_limb_mac,signed16_n3,product4,7,1048576,3.813,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,7,1048576,3.799,96,0,0,1
two_limb_mac,signed16_n3,product2,7,1048576,3.794,96,0,0,1
two_limb_mac,signed16_n3,circuit_z,7,1048576,3.725,96,0,0,1
two_limb_mac,signed16_n3,split4,7,1048576,4.203,96,0,0,1
two_limb_mac,signed16_n3,split2,7,1048576,4.272,96,0,0,1
two_limb_mac,signed16_n3,product1,7,1048576,4.207,96,0,0,1
two_limb_mac,signed16_n3,split2,8,1048576,4.353,96,0,0,1
two_limb_mac,signed16_n3,split1,8,1048576,4.111,96,0,0,1
two_limb_mac,signed16_n3,split4,8,1048576,4.191,96,0,0,1
two_limb_mac,signed16_n3,legacy_fused,8,1048576,3.819,96,0,0,1
two_limb_mac,signed16_n3,selected,8,1048576,3.795,96,0,0,1
two_limb_mac,signed16_n3,product1,8,1048576,4.125,96,0,0,1
two_limb_mac,signed16_n3,product2,8,1048576,3.815,96,0,0,1
