family,size,variant,rep,iterations,ns,bytes
dot,16,wide4,0,262144,13.610,512
dot,16,wide2,0,262144,13.950,512
dot,16,vec2,0,262144,28.710,512
dot,16,wide8,0,262144,15.041,512
dot,16,wide16,0,262144,32.432,512
dot,16,wide1,0,262144,13.171,512
dot,16,shared,0,262144,15.484,512
dot,16,flock,0,262144,15.247,512
dot,16,wide2,1,262144,13.757,512
dot,16,wide1,1,262144,13.176,512
dot,16,wide4,1,262144,14.092,512
dot,16,shared,1,262144,15.192,512
dot,16,wide16,1,262144,31.821,512
dot,16,flock,1,262144,15.303,512
dot,16,vec2,1,262144,28.437,512
dot,16,wide8,1,262144,15.173,512
dot,16,wide2,2,262144,13.669,512
dot,16,wide4,2,262144,13.999,512
dot,16,flock,2,262144,15.156,512
dot,16,wide16,2,262144,31.849,512
dot,16,vec2,2,262144,28.561,512
dot,16,wide8,2,262144,15.469,512
dot,16,wide1,2,262144,13.513,512
dot,16,shared,2,262144,15.093,512
dot,16,vec2,3,262144,28.756,512
dot,16,wide4,3,262144,13.889,512
dot,16,shared,3,262144,15.146,512
dot,16,wide2,3,262144,13.776,512
dot,16,wide8,3,262144,15.593,512
dot,16,flock,3,262144,15.180,512
dot,16,wide16,3,262144,31.768,512
dot,16,wide1,3,262144,13.484,512
dot,16,vec2,4,262144,28.451,512
dot,16,wide4,4,262144,13.953,512
dot,16,wide1,4,262144,13.175,512
dot,16,wide16,4,262144,31.813,512
dot,16,wide2,4,262144,13.594,512
dot,16,wide8,4,262144,15.544,512
dot,16,shared,4,262144,15.112,512
dot,16,flock,4,262144,15.300,512
dot,16,wide16,5,262144,31.771,512
dot,16,wide2,5,262144,14.023,512
dot,16,flock,5,262144,15.205,512
dot,16,wide8,5,262144,15.188,512
dot,16,wide4,5,262144,14.035,512
dot,16,wide1,5,262144,13.169,512
dot,16,vec2,5,262144,28.184,512
dot,16,shared,5,262144,15.387,512
dot,16,shared,6,262144,15.186,512
dot,16,wide2,6,262144,13.954,512
dot,16,wide8,6,262144,15.059,512
dot,16,wide16,6,262144,31.318,512
dot,16,wide1,6,262144,13.623,512
dot,16,vec2,6,262144,28.170,512
dot,16,wide4,6,262144,13.959,512
dot,16,flock,6,262144,15.219,512
dot,16,wide16,7,262144,31.606,512
dot,16,shared,7,262144,15.345,512
dot,16,vec2,7,262144,28.361,512
dot,16,flock,7,262144,15.102,512
dot,16,wide4,7,262144,13.807,512
dot,16,wide2,7,262144,13.544,512
dot,16,wide1,7,262144,13.171,512
dot,16,wide8,7,262144,15.622,512
dot,16,wide16,8,262144,32.027,512
dot,16,wide2,8,262144,13.597,512
dot,16,wide1,8,262144,13.908,512
dot,16,shared,8,262144,15.141,512
dot,16,vec2,8,262144,28.761,512
dot,16,wide8,8,262144,15.225,512
dot,16,wide4,8,262144,13.835,512
dot,16,flock,8,262144,15.255,512
dot,16,wide8,9,262144,15.172,512
dot,16,wide2,9,262144,13.832,512
dot,16,wide16,9,262144,31.701,512
dot,16,flock,9,262144,15.126,512
dot,16,vec2,9,262144,28.248,512
dot,16,wide4,9,262144,13.789,512
dot,16,shared,9,262144,15.539,512
dot,16,wide1,9,262144,13.184,512
dot,16,wide16,10,262144,31.638,512
dot,16,wide4,10,262144,14.273,512
dot,16,wide8,10,262144,15.171,512
dot,16,wide2,10,262144,14.033,512
dot,16,shared,10,262144,15.045,512
dot,16,flock,10,262144,15.107,512
dot,16,vec2,10,262144,28.364,512
dot,16,wide1,10,262144,13.763,512
dot,16,wide4,11,262144,13.978,512
dot,16,vec2,11,262144,28.300,512
dot,16,wide2,11,262144,13.737,512
dot,16,shared,11,262144,15.108,512
dot,16,wide1,11,262144,13.364,512
dot,16,wide16,11,262144,31.692,512
dot,16,flock,11,262144,15.190,512
dot,16,wide8,11,262144,15.244,512
dot,16,wide16,12,262144,31.697,512
dot,16,vec2,12,262144,28.265,512
dot,16,wide4,12,262144,14.262,512
dot,16,shared,12,262144,15.110,512
dot,16,flock,12,262144,15.571,512
dot,16,wide2,12,262144,13.591,512
dot,16,wide8,12,262144,15.432,512
dot,16,wide1,12,262144,13.091,512
dot,16,wide8,13,262144,15.195,512
dot,16,vec2,13,262144,28.814,512
dot,16,wide1,13,262144,13.176,512
dot,16,flock,13,262144,15.113,512
dot,16,shared,13,262144,15.396,512
dot,16,wide2,13,262144,13.583,512
dot,16,wide4,13,262144,13.881,512
dot,16,wide16,13,262144,31.881,512
dot,16,wide8,14,262144,15.188,512
dot,16,wide4,14,262144,14.305,512
dot,16,flock,14,262144,15.103,512
dot,16,shared,14,262144,15.507,512
dot,16,wide2,14,262144,13.594,512
dot,16,vec2,14,262144,28.180,512
