family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
metrics_gf_add,16,flock,0,524288,9.944,768,0,0,1
metrics_gf_add,16,shared,0,524288,10.038,768,0,0,1
metrics_gf_add,16,f2z,0,524288,9.941,768,0,0,1
metrics_gf_add,16,flock,1,524288,10.144,768,0,0,1
metrics_gf_add,16,shared,1,524288,10.137,768,0,0,1
metrics_gf_add,16,f2z,1,524288,9.987,768,0,0,1
metrics_gf_add,16,flock,2,524288,10.120,768,0,0,1
metrics_gf_add,16,f2z,2,524288,9.947,768,0,0,1
metrics_gf_add,16,shared,2,524288,10.147,768,0,0,1
metrics_gf_add,16,flock,3,524288,10.166,768,0,0,1
metrics_gf_add,16,f2z,3,524288,9.846,768,0,0,1
metrics_gf_add,16,shared,3,524288,10.143,768,0,0,1
metrics_gf_add,16,f2z,4,524288,10.072,768,0,0,1
metrics_gf_add,16,flock,4,524288,9.870,768,0,0,1
metrics_gf_add,16,shared,4,524288,10.149,768,0,0,1
metrics_gf_add,16,flock,5,524288,10.134,768,0,0,1
metrics_gf_add,16,shared,5,524288,10.176,768,0,0,1
metrics_gf_add,16,f2z,5,524288,9.863,768,0,0,1
metrics_gf_add,16,f2z,6,524288,9.972,768,0,0,1
metrics_gf_add,16,shared,6,524288,10.047,768,0,0,1
metrics_gf_add,16,flock,6,524288,10.264,768,0,0,1
metrics_gf_add,16,f2z,7,524288,10.040,768,0,0,1
metrics_gf_add,16,shared,7,524288,10.504,768,0,0,1
metrics_gf_add,16,flock,7,524288,10.422,768,0,0,1
metrics_gf_add,16,shared,8,524288,10.192,768,0,0,1
metrics_gf_add,16,f2z,8,524288,9.953,768,0,0,1
metrics_gf_add,16,flock,8,524288,10.232,768,0,0,1
metrics_gf_add,16,f2z,9,524288,10.053,768,0,0,1
metrics_gf_add,16,flock,9,524288,10.219,768,0,0,1
metrics_gf_add,16,shared,9,524288,10.245,768,0,0,1
metrics_gf_add,16,shared,10,524288,9.951,768,0,0,1
metrics_gf_add,16,flock,10,524288,10.360,768,0,0,1
metrics_gf_add,16,f2z,10,524288,10.080,768,0,0,1
metrics_gf_add,16,f2z,11,524288,9.865,768,0,0,1
metrics_gf_add,16,shared,11,524288,10.334,768,0,0,1
metrics_gf_add,16,flock,11,524288,10.244,768,0,0,1
metrics_gf_add,16,f2z,12,524288,10.147,768,0,0,1
metrics_gf_add,16,shared,12,524288,10.137,768,0,0,1
metrics_gf_add,16,flock,12,524288,10.124,768,0,0,1
metrics_gf_add,16,f2z,13,524288,9.936,768,0,0,1
metrics_gf_add,16,flock,13,524288,10.227,768,0,0,1
metrics_gf_add,16,shared,13,524288,9.847,768,0,0,1
metrics_gf_add,16,flock,14,524288,9.983,768,0,0,1
metrics_gf_add,16,shared,14,524288,10.208,768,0,0,1
metrics_gf_add,16,f2z,14,524288,9.877,768,0,0,1
metrics_gf_add,16,f2z,15,524288,10.077,768,0,0,1
metrics_gf_add,16,flock,15,524288,10.169,768,0,0,1
metrics_gf_add,16,shared,15,524288,10.193,768,0,0,1
metrics_gf_add,16,f2z,16,524288,9.802,768,0,0,1
metrics_gf_add,16,shared,16,524288,9.940,768,0,0,1
metrics_gf_add,16,flock,16,524288,10.337,768,0,0,1
metrics_gf_add,16,f2z,17,524288,10.180,768,0,0,1
metrics_gf_add,16,shared,17,524288,10.206,768,0,0,1
metrics_gf_add,16,flock,17,524288,10.186,768,0,0,1
metrics_gf_add,16,flock,18,524288,10.084,768,0,0,1
metrics_gf_add,16,f2z,18,524288,9.748,768,0,0,1
metrics_gf_add,16,shared,18,524288,10.242,768,0,0,1
metrics_gf_add,16,flock,19,524288,10.020,768,0,0,1
metrics_gf_add,16,shared,19,524288,10.055,768,0,0,1
metrics_gf_add,16,f2z,19,524288,10.065,768,0,0,1
metrics_gf_add,16,shared,20,524288,10.049,768,0,0,1
metrics_gf_add,16,f2z,20,524288,10.043,768,0,0,1
metrics_gf_add,16,flock,20,524288,10.302,768,0,0,1
metrics_gf_add,16,shared,21,524288,9.854,768,0,0,1
metrics_gf_add,16,f2z,21,524288,9.964,768,0,0,1
metrics_gf_add,16,flock,21,524288,10.226,768,0,0,1
metrics_gf_add,16,flock,22,524288,10.011,768,0,0,1
metrics_gf_add,16,f2z,22,524288,10.040,768,0,0,1
metrics_gf_add,16,shared,22,524288,10.257,768,0,0,1
metrics_gf_add,16,f2z,23,524288,9.625,768,0,0,1
metrics_gf_add,16,flock,23,524288,10.194,768,0,0,1
metrics_gf_add,16,shared,23,524288,9.936,768,0,0,1
metrics_gf_add,16,f2z,24,524288,10.006,768,0,0,1
metrics_gf_add,16,flock,24,524288,10.056,768,0,0,1
metrics_gf_add,16,shared,24,524288,10.034,768,0,0,1
