family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
metrics_gf_mul,16,flock,0,131072,24.656,768,0,0,1
metrics_gf_mul,16,scalar_lanes,0,131072,20.574,768,0,0,1
metrics_gf_mul,16,shared,0,131072,18.906,768,0,0,1
metrics_gf_mul,16,f2z,0,131072,21.132,768,0,0,1
metrics_gf_add,16,f2z,0,262144,12.775,768,0,0,1
metrics_gf_add,16,shared,0,262144,12.147,768,0,0,1
metrics_gf_add,16,flock,0,262144,12.383,768,0,0,1
metrics_gf_square,16,f2z,0,262144,12.442,512,0,0,1
metrics_gf_square,16,flock,0,262144,40.663,512,0,0,1
metrics_gf_square,16,shared,0,262144,12.032,512,0,0,1
metrics_gf_inverse,16,f2z,0,512,7128.418,512,0,0,1
metrics_gf_inverse,16,shared,0,512,7101.480,512,0,0,1
metrics_gf_inverse,16,flock,0,512,17227.213,512,0,0,1
metrics_gf_mul,1024,flock,0,4096,869.710,49152,0,0,1
metrics_gf_mul,1024,scalar_lanes,0,4096,845.693,49152,0,0,1
metrics_gf_mul,1024,shared,0,4096,913.940,49152,0,0,1
metrics_gf_mul,1024,f2z,0,4096,907.806,49152,0,0,1
metrics_gf_add,1024,shared,0,16384,276.548,49152,0,0,1
metrics_gf_add,1024,f2z,0,16384,276.029,49152,0,0,1
metrics_gf_add,1024,flock,0,16384,276.644,49152,0,0,1
metrics_gf_square,1024,flock,0,8192,2537.806,32768,0,0,1
metrics_gf_square,1024,shared,0,8192,648.743,32768,0,0,1
metrics_gf_square,1024,f2z,0,8192,667.908,32768,0,0,1
metrics_gf_inverse,1024,flock,0,8,1138296.875,32768,0,0,1
metrics_gf_inverse,1024,shared,0,8,476250.000,32768,0,0,1
metrics_gf_inverse,1024,f2z,0,8,458302.000,32768,0,0,1
gf8_add,16,flock,0,1048576,3.457,48,0,0,1
gf8_mul,16,flock,0,131072,25.503,48,0,0,1
gf8_inverse,16,flock,0,8192,607.234,32,0,0,1
b127_add,16,f2z,0,524288,10.614,768,0,0,1
b127_mul,16,f2z,0,262144,20.479,768,0,0,1
b127_square,16,f2z,0,262144,11.786,512,0,0,1
b127_inverse,16,f2z,0,512,6982.910,512,0,0,1
gf8_add,1024,flock,0,262144,21.444,3072,0,0,1
gf8_mul,1024,flock,0,2048,1458.374,3072,0,0,1
gf8_inverse,1024,flock,0,128,37023.438,2048,0,0,1
b127_add,1024,f2z,0,16384,267.370,49152,0,0,1
b127_mul,1024,f2z,0,4096,1219.299,49152,0,0,1
b127_square,1024,f2z,0,8192,661.921,32768,0,0,1
b127_inverse,1024,f2z,0,8,444223.875,32768,0,0,1
gf128_round,16,f2z_single_pair,0,32768,94.158,1280,0,0,1
gf128_round,1024,f2z_single_pair,0,1024,5550.537,81920,0,0,1
metrics_integer_add,l2_n16,circuit_z,0,262144,12.124,768,0,0,1
metrics_integer_sub,l2_n16,circuit_z,0,262144,12.545,768,0,0,1
metrics_uint_checked_add,l2_n16,existing,0,262144,21.019,896,0,0,1
metrics_int_checked_add,l2_n16,existing,0,262144,19.501,896,0,0,1
metrics_uint_checked_sub,l2_n16,existing,0,262144,20.985,896,0,0,1
metrics_int_checked_sub,l2_n16,existing,0,262144,19.289,896,0,0,1
metrics_uint_checked_mul,l2_n16,existing,0,131072,33.072,896,0,0,1
metrics_int_checked_mul,l2_n16,existing,0,65536,64.642,896,0,0,1
metrics_uint_compare,l2_n16,existing,0,262144,15.038,528,0,0,1
metrics_uint_wide_mul,l2_n16,existing,0,131072,23.476,1024,0,0,1
metrics_uint_divrem,l2_d64_n16,existing_prevalidated_divisor,0,8192,716.954,784,0,0,1
metrics_uint_divrem,l2_dfull_n16,existing_prevalidated_divisor,0,8192,712.601,784,0,0,1
metrics_integer_add,l2_n1024,circuit_z,0,8192,638.931,49152,0,0,1
metrics_integer_sub,l2_n1024,circuit_z,0,8192,644.547,49152,0,0,1
metrics_uint_checked_add,l2_n1024,existing,0,4096,1215.220,57344,0,0,1
metrics_int_checked_add,l2_n1024,existing,0,2048,1468.343,57344,0,0,1
metrics_uint_checked_sub,l2_n1024,existing,0,4096,1224.060,57344,0,0,1
metrics_int_checked_sub,l2_n1024,existing,0,4096,1188.019,57344,0,0,1
metrics_uint_checked_mul,l2_n1024,existing,0,2048,1985.026,57344,0,0,1
metrics_int_checked_mul,l2_n1024,existing,0,1024,3955.078,57344,0,0,1
metrics_uint_compare,l2_n1024,existing,0,4096,787.170,33792,0,0,1
metrics_uint_wide_mul,l2_n1024,existing,0,4096,1448.466,65536,0,0,1
metrics_uint_divrem,l2_d64_n1024,existing_prevalidated_divisor,0,128,45776.367,49168,0,0,1
metrics_uint_divrem,l2_dfull_n1024,existing_prevalidated_divisor,0,128,46057.297,49168,0,0,1
metrics_integer_add,l4_n16,circuit_z,0,131072,33.238,1536,0,0,1
metrics_integer_sub,l4_n16,circuit_z,0,131072,28.580,1536,0,0,1
metrics_uint_checked_add,l4_n16,existing,0,131072,25.311,1664,0,0,1
metrics_int_checked_add,l4_n16,existing,0,131072,25.224,1664,0,0,1
metrics_uint_checked_sub,l4_n16,existing,0,131072,28.325,1664,0,0,1
metrics_int_checked_sub,l4_n16,existing,0,131072,37.231,1664,0,0,1
metrics_uint_checked_mul,l4_n16,existing,0,32768,121.793,1664,0,0,1
metrics_int_checked_mul,l4_n16,existing,0,32768,156.246,1664,0,0,1
metrics_uint_compare,l4_n16,existing,0,131072,33.175,1040,0,0,1
metrics_uint_wide_mul,l4_n16,existing,0,32768,112.684,2048,0,0,1
metrics_uint_divrem,l4_d64_n16,existing_prevalidated_divisor,0,2048,1572.673,1568,0,0,1
metrics_uint_divrem,l4_dfull_n16,existing_prevalidated_divisor,0,2048,1556.213,1568,0,0,1
metrics_integer_add,l4_n1024,circuit_z,0,2048,1984.538,98304,0,0,1
metrics_integer_sub,l4_n1024,circuit_z,0,2048,2051.493,98304,0,0,1
metrics_uint_checked_add,l4_n1024,existing,0,2048,1637.024,106496,0,0,1
metrics_int_checked_add,l4_n1024,existing,0,2048,2170.980,106496,0,0,1
metrics_uint_checked_sub,l4_n1024,existing,0,2048,1749.369,106496,0,0,1
metrics_int_checked_sub,l4_n1024,existing,0,2048,2307.597,106496,0,0,1
