BLOCKED regression: aarch64/opt_integer_mac/l1_signed16_n16/incumbent: median upper=1.0637, P95 upper=1.0672, worst process=1.0618, allocations=OK
BLOCKED inconclusive: aarch64/opt_integer_mac/l1_signed16_n1024/incumbent: median upper=1.0104, P95 upper=1.0136, worst process=1.0106, allocations=OK
BLOCKED regression: aarch64/opt_integer_mac/l1_full_n16/incumbent: median upper=1.0548, P95 upper=1.0643, worst process=1.0538, allocations=OK
BLOCKED inconclusive: aarch64/opt_integer_mac/l1_full_n1024/incumbent: median upper=1.0116, P95 upper=1.0222, worst process=1.0144, allocations=OK
BLOCKED inconclusive: aarch64/opt_projection/q128_l2_n16/horner_one_shot: median upper=1.0697, P95 upper=1.0610, worst process=1.0730, allocations=OK
BLOCKED regression: aarch64/opt_uint_add/l1_n16/word_carry: median upper=1.0759, P95 upper=1.0755, worst process=1.0837, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_add/l1_n1024/word_carry: median upper=1.0051, P95 upper=1.0116, worst process=1.0027, allocations=OK
BLOCKED regression: aarch64/opt_uint_add/l2_n16/word_carry: median upper=1.0360, P95 upper=1.0423, worst process=1.0378, allocations=OK
BLOCKED regression: aarch64/opt_uint_sub/l1_n16/word_carry: median upper=1.0731, P95 upper=1.0677, worst process=1.0710, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_sub/l1_n1024/word_carry: median upper=1.0068, P95 upper=1.0130, worst process=1.0065, allocations=OK
BLOCKED regression: aarch64/opt_uint_sub/l2_n16/word_carry: median upper=1.0327, P95 upper=1.0328, worst process=1.0303, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_sub/l2_n1024/word_carry: median upper=1.0037, P95 upper=1.0823, worst process=1.0016, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_sub/l4_n16/word_carry: median upper=1.1582, P95 upper=1.1487, worst process=1.1603, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_sub/l4_n1024/word_carry: median upper=1.0112, P95 upper=1.0270, worst process=1.0115, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_sub/l9_n16/word_carry: median upper=1.0170, P95 upper=1.0242, worst process=1.0168, allocations=OK
BLOCKED inconclusive: aarch64/opt_uint_checked_add/l1_n1024/word_option: median upper=1.0114, P95 upper=1.0263, worst process=1.0084, allocations=OK
BLOCKED regression: aarch64/opt_uint_checked_add/l2_n16/word_option: median upper=1.6247, P95 upper=1.5888, worst process=1.6194, allocations=OK
BLOCKED regression: aarch64/opt_uint_checked_add/l2_n1024/word_option: median upper=1.7461, P95 upper=1.7417, worst process=1.7446, allocations=OK
BLOCKED regression: aarch64/opt_uint_checked_sub/l1_n1024/word_option: median upper=1.4446, P95 upper=1.4414, worst process=1.4415, allocations=OK
BLOCKED regression: aarch64/opt_uint_checked_sub/l2_n16/word_option: median upper=1.0412, P95 upper=1.0716, worst process=1.0410, allocations=OK
BLOCKED regression: aarch64/opt_uint_checked_sub/l2_n1024/word_option: median upper=1.0218, P95 upper=1.0390, worst process=1.0194, allocations=OK
BLOCKED regression: aarch64/opt_exact_unsigned_mac/l4_n16/fused_exact: median upper=1.0348, P95 upper=1.0348, worst process=1.0307, allocations=OK
BLOCKED regression: aarch64/opt_exact_unsigned_mac/l4_n1024/fused_exact: median upper=1.0381, P95 upper=1.0337, worst process=1.0365, allocations=OK
BLOCKED inconclusive: aarch64/opt_prime_dot/q100_n16/length_dispatch: median upper=1.0138, P95 upper=1.0254, worst process=1.0209, allocations=OK
BLOCKED inconclusive: aarch64/opt_prime_dot/q128_n16/length_dispatch: median upper=1.0077, P95 upper=1.0367, worst process=1.0081, allocations=OK
BLOCKED inconclusive: aarch64/opt_prime_linear/q100_n16/acc4: median upper=1.0110, P95 upper=1.0224, worst process=1.0107, allocations=OK
BLOCKED inconclusive: aarch64/opt_prime_linear/q128_n16/acc4: median upper=1.0025, P95 upper=1.0143, worst process=1.0026, allocations=OK
BLOCKED inconclusive: aarch64/opt_ood_reuse/log18/scratch: median upper=1.0038, P95 upper=1.0310, worst process=0.9997, allocations=OK
BLOCKED inconclusive: aarch64/opt_ntt/log16_lanes32/depth_first: median upper=0.9730, P95 upper=1.0682, worst process=0.9737, allocations=OK
BLOCKED regression: aarch64/opt_pack/logs18_18/single_write: median upper=1.1316, P95 upper=1.1301, worst process=1.1342, allocations=OK
BLOCKED regression: aarch64/opt_packed_ood/logs16_14/single_write_ood: median upper=1.1233, P95 upper=1.1048, worst process=1.1225, allocations=OK
BLOCKED regression: aarch64/opt_packed_ood/logs18_18/single_write_ood: median upper=1.2063, P95 upper=1.1913, worst process=1.2121, allocations=OK
BLOCKED regression: aarch64/opt_f2_poly_dot/a3_b7_sparse_n16/fixed_schedule: median upper=1.6127, P95 upper=1.6110, worst process=1.6129, allocations=OK
BLOCKED regression: aarch64/opt_f2_poly_dot/a3_b7_sparse_n1024/fixed_schedule: median upper=1.9369, P95 upper=1.9054, worst process=1.9384, allocations=OK
BLOCKED regression: aarch64/opt_f2_poly_dot/a9_b9_sparse_n16/fixed_schedule: median upper=4.0350, P95 upper=3.9665, worst process=4.0338, allocations=OK
BLOCKED regression: aarch64/opt_f2_poly_dot/a9_b9_sparse_n1024/fixed_schedule: median upper=3.6783, P95 upper=2.2812, worst process=3.7118, allocations=OK
BLOCKED: frozen selections, 1.0% margin, all required cases.
This applies only to the frozen manifest, measured host workloads and build; production behavior is unchanged.
