family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_integer_mac,l1_signed16_n16,products4,0,1048576,5.708,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,0,1048576,5.618,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,0,1048576,5.880,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,0,1048576,7.026,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,0,1048576,5.404,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,1,1048576,5.532,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,1,1048576,6.937,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,1,1048576,5.868,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,1,1048576,5.639,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,1,1048576,5.564,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,2,1048576,5.708,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,2,1048576,6.965,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,2,1048576,5.457,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,2,1048576,5.909,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,2,1048576,5.610,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,3,1048576,5.474,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,3,1048576,5.775,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,3,1048576,7.007,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,3,1048576,5.991,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,3,1048576,5.569,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,4,1048576,6.896,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,4,1048576,5.713,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,4,1048576,5.666,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,4,1048576,5.890,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,4,1048576,5.519,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,5,1048576,5.529,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,5,1048576,5.792,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,5,1048576,5.531,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,5,1048576,5.626,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,5,1048576,7.004,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,6,1048576,5.647,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,6,1048576,6.814,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,6,1048576,5.826,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,6,1048576,5.587,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,6,1048576,5.608,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,7,1048576,5.625,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,7,1048576,5.729,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,7,1048576,5.567,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,7,1048576,5.762,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,7,1048576,6.964,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,8,1048576,5.612,256,0,0,1
