family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_integer_mac,l1_signed16_n1024,deferred_columns,0,16384,331.963,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,0,16384,341.802,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,0,16384,338.033,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,0,16384,333.028,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,0,16384,327.357,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,1,16384,342.977,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,1,16384,351.519,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,1,16384,349.154,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,1,16384,348.582,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,1,16384,337.654,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,2,16384,340.586,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,2,16384,336.922,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,2,16384,330.241,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,2,16384,335.490,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,2,16384,335.724,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,3,16384,338.186,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,3,16384,333.931,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,3,16384,337.120,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,3,16384,337.440,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,3,16384,334.646,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,4,16384,332.708,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,4,16384,341.448,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,4,16384,346.352,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,4,16384,335.129,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,4,16384,327.652,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,5,16384,331.581,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,5,16384,333.730,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,5,16384,343.114,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,5,16384,333.885,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,5,16384,333.852,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,6,16384,327.977,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,6,16384,334.155,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,6,16384,336.576,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,6,16384,334.287,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,6,16384,343.252,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,7,16384,339.890,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,7,16384,327.708,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,7,16384,338.084,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,7,16384,342.476,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,7,16384,327.604,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,8,16384,339.373,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,8,16384,334.450,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,8,16384,331.879,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,8,16384,335.831,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,8,16384,331.772,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,9,16384,346.944,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,9,16384,333.183,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,9,16384,334.885,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,9,16384,328.814,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,9,16384,332.548,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,10,16384,330.076,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,10,16384,343.966,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,incumbent,10,16384,338.201,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products4,10,16384,335.576,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,10,16384,333.796,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,circuit_z,11,16384,335.820,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,products2,11,16384,334.345,16384,0,0,1
opt_integer_mac,l1_signed16_n1024,deferred_columns,11,16384,340.663,16384,0,0,1
