family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_ood,log10,production_blocked,0,1024,3430.949,16384,13,32832,1
opt_ood,log10,reuse_products,0,1024,2206.421,16384,2,16400,1
opt_ood,log10,reuse_products,1,1024,2211.507,16384,2,16400,1
opt_ood,log10,production_blocked,1,1024,3178.996,16384,13,32832,1
opt_ood,log10,production_blocked,2,1024,3042.725,16384,13,32832,1
opt_ood,log10,reuse_products,2,1024,2197.632,16384,2,16400,1
opt_ood,log10,production_blocked,3,1024,3100.505,16384,13,32832,1
opt_ood,log10,reuse_products,3,1024,2277.181,16384,2,16400,1
opt_ood,log10,production_blocked,4,1024,3171.794,16384,13,32832,1
opt_ood,log10,reuse_products,4,1024,2323.893,16384,2,16400,1
opt_ood,log10,production_blocked,5,1024,3198.079,16384,13,32832,1
opt_ood,log10,reuse_products,5,1024,2362.509,16384,2,16400,1
opt_ood,log10,reuse_products,6,1024,2193.074,16384,2,16400,1
opt_ood,log10,production_blocked,6,1024,3039.307,16384,13,32832,1
opt_ood,log10,production_blocked,7,1024,3035.522,16384,13,32832,1
opt_ood,log10,reuse_products,7,1024,2289.632,16384,2,16400,1
opt_ood,log10,production_blocked,8,1024,3082.886,16384,13,32832,1
opt_ood,log10,reuse_products,8,1024,2270.020,16384,2,16400,1
opt_ood,log10,reuse_products,9,1024,2208.780,16384,2,16400,1
opt_ood,log10,production_blocked,9,1024,3097.981,16384,13,32832,1
opt_ood,log10,reuse_products,10,1024,2255.778,16384,2,16400,1
opt_ood,log10,production_blocked,10,1024,3278.361,16384,13,32832,1
opt_ood,log10,reuse_products,11,1024,2216.350,16384,2,16400,1
opt_ood,log10,production_blocked,11,1024,3106.567,16384,13,32832,1
opt_ood,log10,reuse_products,12,1024,2222.534,16384,2,16400,1
opt_ood,log10,production_blocked,12,1024,3047.893,16384,13,32832,1
opt_ood,log10,reuse_products,13,1024,2254.599,16384,2,16400,1
opt_ood,log10,production_blocked,13,1024,3086.101,16384,13,32832,1
opt_ood,log10,reuse_products,14,1024,2199.341,16384,2,16400,1
opt_ood,log10,production_blocked,14,1024,3042.033,16384,13,32832,1
opt_ood,log10,production_blocked,15,1024,3128.622,16384,13,32832,1
opt_ood,log10,reuse_products,15,1024,2263.591,16384,2,16400,1
opt_ood,log10,reuse_products,16,1024,2293.010,16384,2,16400,1
opt_ood,log10,production_blocked,16,1024,3400.676,16384,13,32832,1
opt_ood,log10,reuse_products,17,1024,2315.186,16384,2,16400,1
opt_ood,log10,production_blocked,17,1024,3209.065,16384,13,32832,1
opt_ood,log10,reuse_products,18,1024,2283.162,16384,2,16400,1
