family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_ood_reuse,log16,scratch,0,32,87688.812,1048576,0,0,1
opt_ood_reuse,log16,allocate,0,32,111213.531,1048576,2,65792,1
opt_ood_reuse,log16,allocate,1,32,93569.031,1048576,2,65792,1
opt_ood_reuse,log16,scratch,1,32,103303.375,1048576,0,0,1
opt_ood_reuse,log16,allocate,2,32,104845.031,1048576,2,65792,1
opt_ood_reuse,log16,scratch,2,32,109515.625,1048576,0,0,1
opt_ood_reuse,log16,scratch,3,32,99729.188,1048576,0,0,1
opt_ood_reuse,log16,allocate,3,32,101289.062,1048576,2,65792,1
opt_ood_reuse,log16,scratch,4,32,96398.438,1048576,0,0,1
opt_ood_reuse,log16,allocate,4,32,101477.875,1048576,2,65792,1
opt_ood_reuse,log16,scratch,5,32,113363.281,1048576,0,0,1
opt_ood_reuse,log16,allocate,5,32,92244.781,1048576,2,65792,1
opt_ood_reuse,log16,allocate,6,32,101998.688,1048576,2,65792,1
opt_ood_reuse,log16,scratch,6,32,100210.938,1048576,0,0,1
opt_ood_reuse,log16,allocate,7,32,114884.125,1048576,2,65792,1
opt_ood_reuse,log16,scratch,7,32,112468.750,1048576,0,0,1
opt_ood_reuse,log16,allocate,8,32,102623.688,1048576,2,65792,1
opt_ood_reuse,log16,scratch,8,32,100097.656,1048576,0,0,1
opt_ood_reuse,log16,scratch,9,32,93075.531,1048576,0,0,1
opt_ood_reuse,log16,allocate,9,32,106302.094,1048576,2,65792,1
opt_ood_reuse,log16,allocate,10,32,97348.969,1048576,2,65792,1
opt_ood_reuse,log16,scratch,10,32,115462.250,1048576,0,0,1
opt_ood_reuse,log16,allocate,11,32,106652.344,1048576,2,65792,1
opt_ood_reuse,log16,scratch,11,32,103360.688,1048576,0,0,1
opt_ood_reuse,log16,allocate,12,32,99657.531,1048576,2,65792,1
opt_ood_reuse,log16,scratch,12,32,91875.000,1048576,0,0,1
opt_ood_reuse,log16,allocate,13,32,102147.125,1048576,2,65792,1
opt_ood_reuse,log16,scratch,13,32,97246.094,1048576,0,0,1
opt_ood_reuse,log16,scratch,14,32,94484.375,1048576,0,0,1
opt_ood_reuse,log16,allocate,14,32,99122.375,1048576,2,65792,1
opt_ood_reuse,log16,scratch,15,32,100937.500,1048576,0,0,1
opt_ood_reuse,log16,allocate,15,32,98459.625,1048576,2,65792,1
opt_ood_reuse,log16,allocate,16,32,106688.812,1048576,2,65792,1
opt_ood_reuse,log16,scratch,16,32,101701.812,1048576,0,0,1
opt_ood_reuse,log16,scratch,17,32,97912.750,1048576,0,0,1
opt_ood_reuse,log16,allocate,17,32,96434.875,1048576,2,65792,1
opt_ood_reuse,log16,allocate,18,32,109167.969,1048576,2,65792,1
opt_ood_reuse,log16,scratch,18,32,91723.969,1048576,0,0,1
opt_ood_reuse,log16,scratch,19,32,95658.844,1048576,0,0,1
opt_ood_reuse,log16,allocate,19,32,94145.844,1048576,2,65792,1
opt_ood_reuse,log16,scratch,20,32,102712.219,1048576,0,0,1
opt_ood_reuse,log16,allocate,20,32,104368.500,1048576,2,65792,1
opt_ood_reuse,log16,allocate,21,32,97450.531,1048576,2,65792,1
opt_ood_reuse,log16,scratch,21,32,100242.188,1048576,0,0,1
opt_ood_reuse,log16,scratch,22,32,98807.281,1048576,0,0,1
opt_ood_reuse,log16,allocate,22,32,112135.406,1048576,2,65792,1
opt_ood_reuse,log16,scratch,23,32,86268.219,1048576,0,0,1
opt_ood_reuse,log16,allocate,23,32,105721.344,1048576,2,65792,1
opt_ood_reuse,log16,allocate,24,32,93774.750,1048576,2,65792,1
opt_ood_reuse,log16,scratch,24,32,79933.594,1048576,0,0,1
opt_ood_reuse,log16,scratch,25,32,109856.750,1048576,0,0,1
opt_ood_reuse,log16,allocate,25,32,92765.625,1048576,2,65792,1
opt_ood_reuse,log16,allocate,26,32,107220.031,1048576,2,65792,1
opt_ood_reuse,log16,scratch,26,32,112959.656,1048576,0,0,1
opt_ood_reuse,log16,scratch,27,32,79917.969,1048576,0,0,1
opt_ood_reuse,log16,allocate,27,32,109562.500,1048576,2,65792,1
opt_ood_reuse,log16,scratch,28,32,96750.000,1048576,0,0,1
opt_ood_reuse,log16,allocate,28,32,95447.906,1048576,2,65792,1
opt_ood_reuse,log16,scratch,29,32,109661.438,1048576,0,0,1
opt_ood_reuse,log16,allocate,29,32,92167.969,1048576,2,65792,1
opt_ood_reuse,log16,scratch,30,32,119756.500,1048576,0,0,1
opt_ood_reuse,log16,allocate,30,32,97968.750,1048576,2,65792,1
opt_ood_reuse,log16,scratch,31,32,114783.844,1048576,0,0,1
opt_ood_reuse,log16,allocate,31,32,113431.000,1048576,2,65792,1
opt_ood_reuse,log16,scratch,32,32,85269.531,1048576,0,0,1
opt_ood_reuse,log16,allocate,32,32,107415.375,1048576,2,65792,1
opt_ood_reuse,log16,scratch,33,32,106682.312,1048576,0,0,1
opt_ood_reuse,log16,allocate,33,32,109339.844,1048576,2,65792,1
opt_ood_reuse,log16,allocate,34,32,100040.344,1048576,2,65792,1
opt_ood_reuse,log16,scratch,34,32,104304.688,1048576,0,0,1
opt_ood_reuse,log16,scratch,35,32,104658.844,1048576,0,0,1
opt_ood_reuse,log16,allocate,35,32,110803.406,1048576,2,65792,1
opt_ood_reuse,log16,scratch,36,32,104479.156,1048576,0,0,1
opt_ood_reuse,log16,allocate,36,32,93791.688,1048576,2,65792,1
opt_ood_reuse,log16,allocate,37,32,112066.406,1048576,2,65792,1
opt_ood_reuse,log16,scratch,37,32,110062.500,1048576,0,0,1
opt_ood_reuse,log16,scratch,38,32,107079.438,1048576,0,0,1
opt_ood_reuse,log16,allocate,38,32,107997.406,1048576,2,65792,1
opt_ood_reuse,log16,allocate,39,32,98682.312,1048576,2,65792,1
opt_ood_reuse,log16,scratch,39,32,105140.625,1048576,0,0,1
opt_ood_reuse,log16,allocate,40,32,115166.656,1048576,2,65792,1
opt_ood_reuse,log16,scratch,40,32,99994.781,1048576,0,0,1
opt_ood_reuse,log16,scratch,41,32,110798.188,1048576,0,0,1
opt_ood_reuse,log16,allocate,41,32,111653.656,1048576,2,65792,1
opt_ood_reuse,log16,scratch,42,32,541917.969,1048576,0,0,1
opt_ood_reuse,log16,allocate,42,32,116378.906,1048576,2,65792,1
opt_ood_reuse,log16,scratch,43,32,109264.312,1048576,0,0,1
opt_ood_reuse,log16,allocate,43,32,104075.500,1048576,2,65792,1
opt_ood_reuse,log16,scratch,44,32,113839.844,1048576,0,0,1
opt_ood_reuse,log16,allocate,44,32,96121.094,1048576,2,65792,1
opt_ood_reuse,log16,scratch,45,32,103365.875,1048576,0,0,1
opt_ood_reuse,log16,allocate,45,32,97466.156,1048576,2,65792,1
opt_ood_reuse,log16,allocate,46,32,108088.562,1048576,2,65792,1
opt_ood_reuse,log16,scratch,46,32,101699.219,1048576,0,0,1
opt_ood_reuse,log16,allocate,47,32,107674.469,1048576,2,65792,1
opt_ood_reuse,log16,scratch,47,32,110841.156,1048576,0,0,1
opt_ood_reuse,log16,scratch,48,32,113631.500,1048576,0,0,1
opt_ood_reuse,log16,allocate,48,32,113674.469,1048576,2,65792,1
opt_ood_reuse,log16,scratch,49,32,113963.562,1048576,0,0,1
opt_ood_reuse,log16,allocate,49,32,384638.000,1048576,2,65792,1
opt_ood_reuse,log16,allocate,50,32,105537.750,1048576,2,65792,1
opt_ood_reuse,log16,scratch,50,32,90112.000,1048576,0,0,1
opt_ood_reuse,log16,allocate,51,32,104673.156,1048576,2,65792,1
opt_ood_reuse,log16,scratch,51,32,104065.125,1048576,0,0,1
opt_ood_reuse,log16,allocate,52,32,107970.062,1048576,2,65792,1
opt_ood_reuse,log16,scratch,52,32,153062.500,1048576,0,0,1
opt_ood_reuse,log16,allocate,53,32,98294.281,1048576,2,65792,1
opt_ood_reuse,log16,scratch,53,32,104101.562,1048576,0,0,1
opt_ood_reuse,log16,allocate,54,32,102994.812,1048576,2,65792,1
opt_ood_reuse,log16,scratch,54,32,96278.625,1048576,0,0,1
opt_ood_reuse,log16,scratch,55,32,96739.594,1048576,0,0,1
opt_ood_reuse,log16,allocate,55,32,103714.844,1048576,2,65792,1
opt_ood_reuse,log16,scratch,56,32,103977.844,1048576,0,0,1
opt_ood_reuse,log16,allocate,56,32,110320.312,1048576,2,65792,1
opt_ood_reuse,log16,scratch,57,32,112050.781,1048576,0,0,1
opt_ood_reuse,log16,allocate,57,32,108069.031,1048576,2,65792,1
opt_ood_reuse,log16,allocate,58,32,88415.344,1048576,2,65792,1
opt_ood_reuse,log16,scratch,58,32,118454.438,1048576,0,0,1
opt_ood_reuse,log16,allocate,59,32,110020.812,1048576,2,65792,1
opt_ood_reuse,log16,scratch,59,32,89216.125,1048576,0,0,1
opt_ood_reuse,log16,scratch,60,32,93628.906,1048576,0,0,1
opt_ood_reuse,log16,allocate,60,32,102420.594,1048576,2,65792,1
opt_ood_reuse,log16,allocate,61,32,111722.656,1048576,2,65792,1
opt_ood_reuse,log16,scratch,61,32,113669.281,1048576,0,0,1
opt_ood_reuse,log16,allocate,62,32,103479.156,1048576,2,65792,1
opt_ood_reuse,log16,scratch,62,32,112218.750,1048576,0,0,1
opt_ood_reuse,log16,scratch,63,32,108085.938,1048576,0,0,1
opt_ood_reuse,log16,allocate,63,32,100518.219,1048576,2,65792,1
opt_ood_reuse,log18,allocate,0,32,144296.875,4194304,2,66560,1
opt_ood_reuse,log18,scratch,0,32,150868.500,4194304,0,0,1
opt_ood_reuse,log18,scratch,1,32,141708.344,4194304,0,0,1
opt_ood_reuse,log18,allocate,1,32,141071.594,4194304,2,66560,1
opt_ood_reuse,log18,scratch,2,32,144688.812,4194304,0,0,1
opt_ood_reuse,log18,allocate,2,32,137867.188,4194304,2,66560,1
opt_ood_reuse,log18,scratch,3,32,143738.281,4194304,0,0,1
opt_ood_reuse,log18,allocate,3,32,134281.250,4194304,2,66560,1
