family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_integer_mac,l1_signed16_n16,deferred_columns,0,524288,5.536,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,0,524288,5.643,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,0,524288,7.524,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,0,524288,5.840,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,0,524288,5.889,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,0,524288,13.852,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,1,524288,5.883,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,1,524288,8.760,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,1,524288,6.833,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,1,524288,7.485,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,1,524288,5.632,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,1,524288,5.835,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,2,524288,6.414,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,2,524288,7.276,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,2,524288,5.646,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,2,524288,5.652,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,2,524288,5.844,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,2,524288,5.676,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,3,524288,5.757,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,3,524288,5.660,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,3,524288,7.381,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,3,524288,6.012,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,3,524288,5.765,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,3,524288,6.478,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,4,524288,5.882,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,4,524288,6.724,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,4,524288,5.588,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,4,524288,5.682,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,4,524288,7.237,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,4,524288,5.566,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,5,524288,5.580,256,0,0,1
opt_integer_mac,l1_signed16_n16,products2,5,524288,7.324,256,0,0,1
opt_integer_mac,l1_signed16_n16,circuit_z,5,524288,5.591,256,0,0,1
opt_integer_mac,l1_signed16_n16,products4,5,524288,5.925,256,0,0,1
opt_integer_mac,l1_signed16_n16,deferred_columns,5,524288,5.635,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,5,524288,5.900,256,0,0,1
opt_integer_mac,l1_signed16_n16,incumbent,6,524288,5.871,256,0,0,1
opt_integer_mac,l1_signed16_n16,native_word,6,524288,5.711,256,0,0,1
