family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_integer_mac,l4_full_n16,deferred_columns,0,65536,68.354,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,0,65536,61.736,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,0,65536,49.627,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,0,65536,52.344,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,0,65536,48.519,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,0,65536,60.268,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,0,65536,57.174,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,1,65536,53.501,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,1,65536,67.583,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,1,65536,48.824,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,1,65536,49.117,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,1,65536,60.631,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,1,65536,59.452,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,1,65536,59.166,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,2,65536,61.514,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,2,65536,58.339,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,2,65536,50.485,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,2,65536,52.207,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,2,65536,58.659,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,2,65536,49.349,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,2,65536,66.563,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,3,65536,66.994,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,3,65536,49.427,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,3,65536,49.690,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,3,65536,59.281,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,3,65536,61.089,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,3,65536,58.808,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,3,65536,54.000,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,4,65536,56.356,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,4,65536,52.101,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,4,65536,68.956,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,4,65536,64.156,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,4,65536,78.833,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,4,65536,61.779,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,4,65536,48.855,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,5,65536,50.098,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,5,65536,67.071,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,5,65536,62.204,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,5,65536,58.207,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,5,65536,48.695,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,5,65536,53.544,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,5,65536,58.301,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,6,65536,59.572,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,6,65536,50.219,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,6,65536,50.706,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,6,65536,58.567,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,6,65536,59.310,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,6,65536,70.126,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,6,65536,53.186,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,7,65536,67.724,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,7,65536,59.805,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,7,65536,49.964,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,7,65536,58.015,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,7,65536,50.465,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,7,65536,59.455,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,7,65536,53.441,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,8,65536,61.070,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,8,65536,53.848,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,8,65536,67.190,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,8,65536,49.443,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,8,65536,51.503,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,8,65536,56.856,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,8,65536,57.686,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,9,65536,49.562,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2_acc2,9,65536,48.783,1024,0,0,1
opt_integer_mac,l4_full_n16,products4,9,65536,60.621,1024,0,0,1
opt_integer_mac,l4_full_n16,deferred_columns,9,65536,66.253,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,9,65536,58.883,1024,0,0,1
opt_integer_mac,l4_full_n16,circuit_z,9,65536,52.832,1024,0,0,1
opt_integer_mac,l4_full_n16,incumbent,9,65536,57.557,1024,0,0,1
opt_integer_mac,l4_full_n16,products2,10,65536,58.016,1024,0,0,1
opt_integer_mac,l4_full_n16,native128x2,10,65536,49.342,1024,0,0,1
