family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_ntt,log15_lanes32,tiled_half,0,1,3564958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,0,1,3119333.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,0,1,3662833.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,0,1,3576167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,1,1,5254416.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,1,1,3860042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,1,1,3695042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,1,1,3554792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,2,1,3236959.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,2,1,3485542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,2,1,4109041.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,2,1,3564500.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,3,1,2807625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,3,1,3797167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,3,1,3407000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,3,1,3655958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,4,1,4169708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,4,1,4386333.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,4,1,4268792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,4,1,3379042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,5,1,3460750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,5,1,3427833.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,5,1,2767542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,5,1,3658583.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,6,1,3532708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,6,1,4147792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,6,1,3861666.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,6,1,3220666.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,7,1,3965166.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,7,1,3246250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,7,1,2520708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,7,1,3159875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,8,1,2649625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,8,1,2941959.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,8,1,4079417.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,8,1,3199667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,9,1,3526375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,9,1,3755709.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,9,1,3610333.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,9,1,3102708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,10,1,4113208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,10,1,36366917.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,10,1,6928375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,10,1,11441458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,11,1,3228792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,11,1,4013500.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,11,1,3490750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,11,1,4270625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,12,1,3208583.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,12,1,4134209.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,12,1,4238542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,12,1,3663625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,13,1,2999542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,13,1,2777709.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,13,1,3700667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,13,1,3154250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,14,1,3599834.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,14,1,3812083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,14,1,4451000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,14,1,4171792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,15,1,3957958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,15,1,3931416.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,15,1,3193334.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,15,1,2873375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,16,1,3719125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,16,1,4054208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,16,1,3087041.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,16,1,3229416.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,17,1,3204750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,17,1,3416250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,17,1,3861458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,17,1,3054792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,18,1,3604417.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,18,1,3212875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,18,1,2789083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,18,1,3658583.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,19,1,2791791.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,19,1,3082208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,19,1,3497125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,19,1,2951042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,20,1,4403125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,20,1,4202459.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,20,1,3115417.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,20,1,2921417.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,21,1,2461000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,21,1,3315042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,21,1,2654709.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,21,1,3121083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,22,1,3574458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,22,1,2496834.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,22,1,2737875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,22,1,3209250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,23,1,3708542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,23,1,3109000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,23,1,4459208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,23,1,3075917.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,24,1,3317958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,24,1,4175291.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,24,1,4428958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,24,1,3134584.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,25,1,4129792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,25,1,4021208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,25,1,3210625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,25,1,4419833.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,26,1,3875375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,26,1,4213458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,26,1,5338292.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,26,1,3809208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,27,1,4978500.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,27,1,4194167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,27,1,3876458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,27,1,4173458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,28,1,3183250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,28,1,4809000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,28,1,3517667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,28,1,3366458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,29,1,2953334.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,29,1,4881541.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,29,1,4063792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,29,1,3300083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,30,1,3850667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,30,1,3508417.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,30,1,3198834.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,30,1,4276375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,31,1,3596041.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,31,1,3071625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,31,1,2919750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,31,1,3267458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,32,1,3458125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,32,1,2853167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,32,1,3390375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,32,1,2897334.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,33,1,4872166.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,33,1,3113416.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,33,1,2412125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,33,1,3784250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,34,1,3346750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,34,1,3398584.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,34,1,3779500.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,34,1,3010542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,35,1,3307667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,35,1,3661083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,35,1,2898750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,35,1,2344167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,36,1,2539125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,36,1,3755083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,36,1,3078292.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,36,1,3557666.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,37,1,3005958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,37,1,3374125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,37,1,3262042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,37,1,2933416.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,38,1,3123416.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,38,1,3873959.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,38,1,2862625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,38,1,3998209.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,39,1,3365750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,39,1,3276708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,39,1,3014667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,39,1,2630333.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,40,1,2716833.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,40,1,2565708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,40,1,3413959.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,40,1,3391666.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,41,1,3313958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,41,1,2734708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,41,1,42783792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,41,1,16193208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,42,1,2780125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,42,1,3398917.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,42,1,3259625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,42,1,3740125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,43,1,3477750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,43,1,6779208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,43,1,3092000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,43,1,2912667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,44,1,3799958.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,44,1,2696542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,44,1,2742333.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,44,1,3343667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,45,1,15649792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,45,1,2676334.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,45,1,3353375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,45,1,2879375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,46,1,3143125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,46,1,3065125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,46,1,3035791.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,46,1,3371250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,47,1,4231792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,47,1,3634666.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,47,1,2698833.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,47,1,2859666.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,48,1,40620541.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,48,1,7281208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,48,1,8398334.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,48,1,4547750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,49,1,3734875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,49,1,2639875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,49,1,4230042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,49,1,7471542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,50,1,3221208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,50,1,19811750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,50,1,4583167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,50,1,4925875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,51,1,3444375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,51,1,4198708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,51,1,3195042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,51,1,3977584.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,52,1,3194375.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,52,1,2967667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,52,1,3604542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,52,1,3436667.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,53,1,3351792.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,53,1,3638167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,53,1,2972916.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,53,1,3712750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,54,1,3590875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,54,1,4254167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,54,1,15104875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,54,1,3065167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,55,1,2923875.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,55,1,4736083.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,55,1,2700000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,55,1,4465208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,56,1,3481208.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,56,1,3550583.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,56,1,3584833.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,56,1,3071125.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,57,1,4289791.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,57,1,5196000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,57,1,3063625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,57,1,2667041.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,58,1,3209000.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,58,1,3401292.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,58,1,2958750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,58,1,4217292.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,59,1,3428708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,59,1,3558708.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,59,1,3095458.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,59,1,2947542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,60,1,4263333.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,60,1,2867042.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,60,1,3559791.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,60,1,5329250.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,61,1,3828583.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,61,1,3702834.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,61,1,3055959.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,61,1,3803625.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,62,1,3186459.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,62,1,3355542.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,62,1,4174167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,62,1,2733917.000,50331648,1,1520,1
opt_ntt,log15_lanes32,half_depth,63,1,3140750.000,50331648,1,1520,1
opt_ntt,log15_lanes32,production,63,1,3350500.000,50331648,1,1520,1
opt_ntt,log15_lanes32,tiled_half,63,1,3329167.000,50331648,1,1520,1
opt_ntt,log15_lanes32,depth_first,63,1,3371916.000,50331648,1,1520,1
opt_ntt,log16_lanes32,half_depth,0,1,5615916.000,100663296,1,1520,1
opt_ntt,log16_lanes32,production,0,1,5312709.000,100663296,1,1520,1
opt_ntt,log16_lanes32,depth_first,0,1,5710042.000,100663296,1,1520,1
opt_ntt,log16_lanes32,tiled_half,0,1,5911750.000,100663296,1,1520,1
opt_ntt,log16_lanes32,production,1,1,5622709.000,100663296,1,1520,1
opt_ntt,log16_lanes32,depth_first,1,1,5623500.000,100663296,1,1520,1
opt_ntt,log16_lanes32,tiled_half,1,1,6086417.000,100663296,1,1520,1
opt_ntt,log16_lanes32,half_depth,1,1,7107042.000,100663296,1,1520,1
opt_ntt,log16_lanes32,production,2,1,5701708.000,100663296,1,1520,1
opt_ntt,log16_lanes32,tiled_half,2,1,6030125.000,100663296,1,1520,1
opt_ntt,log16_lanes32,half_depth,2,1,5933250.000,100663296,1,1520,1
opt_ntt,log16_lanes32,depth_first,2,1,5449917.000,100663296,1,1520,1
opt_ntt,log16_lanes32,tiled_half,3,1,5908500.000,100663296,1,1520,1
opt_ntt,log16_lanes32,half_depth,3,1,4899417.000,100663296,1,1520,1
opt_ntt,log16_lanes32,production,3,1,5490542.000,100663296,1,1520,1
opt_ntt,log16_lanes32,depth_first,3,1,5040542.000,100663296,1,1520,1
opt_ntt,log16_lanes32,depth_first,4,1,6290417.000,100663296,1,1520,1
opt_ntt,log16_lanes32,half_depth,4,1,5157875.000,100663296,1,1520,1
opt_ntt,log16_lanes32,tiled_half,4,1,5167333.000,100663296,1,1520,1
opt_ntt,log16_lanes32,production,4,1,7083959.000,100663296,1,1520,1
opt_ntt,log16_lanes32,tiled_half,5,1,5907625.000,100663296,1,1520,1
opt_ntt,log16_lanes32,depth_first,5,1,5758209.000,100663296,1,1520,1
opt_ntt,log16_lanes32,production,5,1,5885500.000,100663296,1,1520,1
