family,size,variant,rep,iterations,ns,bytes,allocations,allocated_bytes,correctness
opt_ood,log10,indexed_products,0,1024,2300.537,16384,2,16400,1
opt_ood,log10,reuse_products,0,1024,2206.055,16384,2,16400,1
opt_ood,log10,collect_products,0,1024,2332.520,16384,3,16464,1
opt_ood,log10,prepared_products,0,1024,2261.394,16384,3,16464,1
opt_ood,log10,production_blocked,0,1024,3039.062,16384,13,32832,1
opt_ood,log10,vector_products,0,1024,2320.963,16384,3,16464,1
opt_ood,log10,collect_products,1,1024,2255.656,16384,3,16464,1
opt_ood,log10,reuse_products,1,1024,2161.418,16384,2,16400,1
opt_ood,log10,indexed_products,1,1024,2328.979,16384,2,16400,1
opt_ood,log10,vector_products,1,1024,2391.724,16384,3,16464,1
opt_ood,log10,production_blocked,1,1024,3103.149,16384,13,32832,1
opt_ood,log10,prepared_products,1,1024,2354.370,16384,3,16464,1
opt_ood,log10,vector_products,2,1024,2314.453,16384,3,16464,1
opt_ood,log10,indexed_products,2,1024,2254.231,16384,2,16400,1
opt_ood,log10,production_blocked,2,1024,3043.863,16384,13,32832,1
opt_ood,log10,collect_products,2,1024,2362.793,16384,3,16464,1
opt_ood,log10,prepared_products,2,1024,2312.256,16384,3,16464,1
opt_ood,log10,reuse_products,2,1024,2197.998,16384,2,16400,1
opt_ood,log10,reuse_products,3,1024,2245.402,16384,2,16400,1
opt_ood,log10,production_blocked,3,1024,3055.135,16384,13,32832,1
opt_ood,log10,indexed_products,3,1024,2295.003,16384,2,16400,1
opt_ood,log10,prepared_products,3,1024,2394.490,16384,3,16464,1
opt_ood,log10,vector_products,3,1024,2266.438,16384,3,16464,1
opt_ood,log10,collect_products,3,1024,2267.740,16384,3,16464,1
opt_ood,log10,prepared_products,4,1024,2261.719,16384,3,16464,1
opt_ood,log10,vector_products,4,1024,2362.061,16384,3,16464,1
opt_ood,log10,indexed_products,4,1024,2271.811,16384,2,16400,1
opt_ood,log10,reuse_products,4,1024,2208.496,16384,2,16400,1
opt_ood,log10,production_blocked,4,1024,3066.406,16384,13,32832,1
opt_ood,log10,collect_products,4,1024,2328.654,16384,3,16464,1
opt_ood,log10,production_blocked,5,1024,3077.921,16384,13,32832,1
opt_ood,log10,collect_products,5,1024,2358.276,16384,3,16464,1
opt_ood,log10,reuse_products,5,1024,2224.568,16384,2,16400,1
opt_ood,log10,vector_products,5,1024,2364.258,16384,3,16464,1
opt_ood,log10,prepared_products,5,1024,2334.961,16384,3,16464,1
opt_ood,log10,indexed_products,5,1024,2356.120,16384,2,16400,1
opt_ood,log10,prepared_products,6,1024,2265.706,16384,3,16464,1
opt_ood,log10,collect_products,6,1024,2262.085,16384,3,16464,1
opt_ood,log10,reuse_products,6,1024,2237.956,16384,2,16400,1
opt_ood,log10,indexed_products,6,1024,2286.702,16384,2,16400,1
opt_ood,log10,vector_products,6,1024,2276.408,16384,3,16464,1
opt_ood,log10,production_blocked,6,1024,3047.159,16384,13,32832,1
