session,input,protocol,rows,threads,samples,baseline_ms,candidate_ms,p10_ms,p90_ms,saved_percent
1,field,ordinary,4096,1,21,0.347917,0.347125,0.329583,0.400625,0.22764050046418793
1,field,ordinary,4096,4,21,0.316875,0.318709,0.316708,0.322375,-0.5787771203155767
1,field,ordinary,4096,10,21,0.323042,0.323458,0.317958,0.324125,-0.12877582481534144
1,field,ordinary,32768,1,21,2.495416,2.481709,2.418709,2.62525,0.5492871729603443
1,field,ordinary,32768,4,21,1.397667,1.094333,1.084709,1.113875,21.7028805860051
1,field,ordinary,32768,10,21,1.384959,1.058334,0.9435,1.342125,23.583730637513455
1,field,ordinary,131072,1,21,9.768666,9.8485,9.546833,10.1765,-0.8172456710056508
1,field,ordinary,131072,4,21,4.434541,3.075833,3.038333,3.128667,30.639202569104672
1,field,ordinary,131072,10,21,4.223792,2.645709,2.242667,3.309917,37.36175929117722
1,field,ordinary,524288,1,21,37.179792,37.077291,36.927959,37.473417,0.27569008454915167
1,field,ordinary,524288,4,21,16.756334,11.2785,10.74475,11.672375,32.69112444285247
1,field,ordinary,524288,10,21,12.804125,6.511958,6.333083,6.867542,49.14171800103482
1,field,skip-1,4096,1,21,0.497,0.487,0.470833,0.512375,2.012072434607648
1,field,skip-1,4096,4,21,0.459167,0.457291,0.456209,0.500541,0.4085659465945968
1,field,skip-1,4096,10,21,0.465625,0.466792,0.4575,0.4725,-0.25063087248322624
1,field,skip-1,32768,1,21,3.709416,3.705625,3.576416,3.889542,0.10219937585862482
1,field,skip-1,32768,4,21,3.171708,1.438583,1.378375,1.474833,54.64327107035074
1,field,skip-1,32768,10,21,3.263292,1.097333,1.033541,1.352292,66.37343516914821
1,field,skip-1,131072,1,21,14.545167,14.500833,14.1315,14.879083,0.30480227555998995
1,field,skip-1,131072,4,21,11.736459,4.347375,4.279542,4.5585,62.95837611668051
1,field,skip-1,131072,10,21,11.543209,2.826167,2.70625,3.30475,75.51662626917697
1,field,skip-1,524288,1,21,55.4615,55.27875,54.896417,56.025834,0.3295078568015697
1,field,skip-1,524288,4,21,47.554292,17.270292,16.602125,18.4495,63.68300047448925
1,field,skip-1,524288,10,21,43.977333,8.79725,8.553542,9.557167,79.99594472907214
1,field,skip-2,4096,1,21,0.539125,0.547792,0.515541,0.595333,-1.6076049153721295
1,field,skip-2,4096,4,21,0.500917,0.500625,0.500084,0.510292,0.05829309047207243
1,field,skip-2,4096,10,21,0.501375,0.501375,0.500083,0.512209,0.0
1,field,skip-2,32768,1,21,4.07975,4.0535,3.976667,4.227417,0.6434217782952389
1,field,skip-2,32768,4,21,3.819542,1.517458,1.449167,1.605833,60.27120529110559
1,field,skip-2,32768,10,21,3.9635,1.088625,1.02975,1.182916,72.53374542702159
1,field,skip-2,131072,1,21,15.529792,15.628083,15.506417,15.777792,-0.6329189727718232
1,field,skip-2,131072,4,21,14.408125,4.723166,4.571708,5.132208,67.2187324860105
1,field,skip-2,131072,10,21,15.095041,3.224708,2.913459,5.698125,78.63730214445923
1,field,skip-2,524288,1,21,61.161167,61.448208,60.955292,61.869542,-0.46931903702884803
1,field,skip-2,524288,4,21,58.647042,18.692916,17.675542,19.738792,68.12641292292287
1,field,skip-2,524288,10,21,56.319458,9.058875,8.897583,9.397,83.91519499353136
1,field,skip-3,4096,1,21,0.657083,0.648125,0.621834,0.687167,1.3632980917174797
1,field,skip-3,4096,4,21,0.605583,0.605834,0.605416,0.612666,-0.0414476628306959
1,field,skip-3,4096,10,21,0.61775,0.61775,0.616875,0.61875,0.0
1,field,skip-3,32768,1,21,4.9375,4.949875,4.798166,5.092125,-0.25063291139240107
1,field,skip-3,32768,4,21,4.724417,1.557833,1.529417,1.673125,67.02592087023648
1,field,skip-3,32768,10,21,4.812334,1.150458,1.074292,1.260125,76.09355460364971
1,field,skip-3,131072,1,21,19.160042,19.137959,19.048459,19.323666,0.11525548847961531
1,field,skip-3,131072,4,21,18.626666,5.654916,5.540916,5.835583,69.64075052400682
1,field,skip-3,131072,10,21,19.790542,3.79025,3.48525,4.248208,80.84817485039065
1,field,skip-3,524288,1,21,75.332917,75.03175,74.802625,75.583666,0.39978141295126113
1,field,skip-3,524288,4,21,76.33725,21.894791,21.158666,24.228083,71.31833934285031
1,field,skip-3,524288,10,21,74.616917,10.865375,10.464917,12.302833,85.43845626856977
1,field,skip-4,4096,1,21,0.848666,0.851291,0.847625,0.919333,-0.309308962536492
1,field,skip-4,4096,4,21,0.831375,0.831291,0.830959,0.836917,0.010103743797928999
1,field,skip-4,4096,10,21,0.834041,0.83275,0.831125,0.849958,0.1547885535603144
1,field,skip-4,32768,1,21,6.816542,6.777333,6.6555,7.004541,0.5752036736515365
1,field,skip-4,32768,4,21,6.529583,6.539292,6.458833,6.650458,-0.14869249690216968
1,field,skip-4,32768,10,21,6.665708,6.6795,6.455458,6.800042,-0.20690975362256392
1,field,skip-4,131072,1,21,27.64875,27.823542,27.01375,29.923084,-0.6321877119218833
1,field,skip-4,131072,4,21,26.067084,7.338333,7.311167,7.45275,71.84827808127676
