session,input,protocol,rows,threads,samples,original_ms,final_ms,original_p10_ms,original_p90_ms,final_p10_ms,final_p90_ms,saved_percent
1,field,ordinary,4096,1,21,0.343875,0.340959,0.336208,0.345583,0.339916,0.343125,0.8479825517993422
1,field,ordinary,131072,1,21,9.371167,9.648709,9.329,10.067292,9.532792,10.014667,-2.9616588841069547
1,field,zero,4096,1,21,0.304959,0.301584,0.303125,0.307584,0.300916,0.302584,1.1067061473837514
1,field,zero,131072,1,21,8.5185,8.549209,8.320375,8.617792,8.496458,8.834792,-0.36049774021247316
1,u128,ordinary,4096,1,21,0.760625,0.780625,0.755292,0.786542,0.778625,0.784,-2.629416598192269
1,u128,ordinary,131072,1,21,22.892125,23.110667,22.617167,23.399709,22.564291,23.382125,-0.9546601724392145
1,u128,zero,4096,1,21,0.579083,0.593125,0.574458,0.584458,0.590958,0.595125,-2.424868283130399
1,u128,zero,131072,1,21,17.0425,18.048292,17.009709,17.585792,17.459584,18.103875,-5.9016693560217215
1,u32,ordinary,4096,1,21,0.4265,0.413333,0.423958,0.429375,0.411083,0.423875,3.0872215709261464
1,u32,ordinary,131072,1,21,12.635625,12.259708,12.263,12.728917,12.22575,12.664125,2.975056635504769
1,u32,zero,4096,1,21,0.377542,0.373958,0.373083,0.388792,0.372625,0.376792,0.9492983562093715
1,u32,zero,131072,1,21,10.774584,10.852916,10.73325,11.194125,10.761833,11.157208,-0.7270071865419503
1,u64,ordinary,4096,1,21,0.445208,0.449584,0.441334,0.448125,0.448,0.450917,-0.9829113582864535
1,u64,ordinary,131072,1,21,12.827542,13.083125,12.789084,13.293792,12.985125,13.455083,-1.99245498475078
1,u64,zero,4096,1,21,0.385834,0.396041,0.383042,0.391417,0.384375,0.399917,-2.645438193627303
1,u64,zero,131072,1,21,11.409416,11.36875,11.076291,11.506917,11.080458,11.540584,0.35642490378122726
2,field,ordinary,4096,1,21,0.340875,0.3405,0.340292,0.342541,0.338583,0.342333,0.11001100110010764
2,field,ordinary,131072,1,21,9.359792,9.421667,9.316042,9.739542,9.272291,9.63175,-0.6610723828050835
2,field,zero,4096,1,21,0.30225,0.301958,0.301792,0.303708,0.294041,0.305042,0.09660876757651149
2,field,zero,131072,1,21,8.305208,8.31975,8.2515,8.521292,8.253167,8.620333,-0.1750949524683687
2,u128,ordinary,4096,1,21,0.782,0.780708,0.779292,0.784375,0.778208,0.783834,0.16521739130435087
2,u128,ordinary,131072,1,21,22.652042,22.808834,22.552667,23.370458,22.57075,23.344666,-0.6921760077965633
2,u128,zero,4096,1,21,0.594917,0.594708,0.592,0.596667,0.592042,0.596708,0.035130951040229785
2,u128,zero,131072,1,21,17.127375,17.39775,17.016584,17.598458,16.965,17.588209,-1.57861318503274
2,u32,ordinary,4096,1,21,0.440709,0.423541,0.427542,0.4445,0.422125,0.428625,3.895541048628459
2,u32,ordinary,131072,1,21,12.268375,12.626167,12.211625,12.629583,12.577792,13.043458,-2.9163764557245786
2,u32,zero,4096,1,21,0.385459,0.373375,0.362708,0.387416,0.371417,0.374417,3.1349637704658595
2,u32,zero,131072,1,21,10.748417,10.712,10.727625,11.10825,10.679458,11.075375,0.3388126828350657
2,u64,ordinary,4096,1,21,0.432167,0.440208,0.429291,0.460459,0.4395,0.442833,-1.8606233238539716
2,u64,ordinary,131072,1,21,12.884583,12.799166,12.805167,13.239292,12.759292,13.224833,0.6629395767018598
2,u64,zero,4096,1,21,0.398209,0.382959,0.395875,0.401,0.381792,0.385375,3.8296472455419117
2,u64,zero,131072,1,21,11.438209,11.207458,11.037167,11.608791,11.01625,11.591083,2.0173700270732953
