session,input,protocol,rows,threads,samples,original_ms,final_ms,original_p10_ms,original_p90_ms,final_p10_ms,final_p90_ms,saved_percent
1,field,ordinary,4096,10,21,0.319833,0.319583,0.319209,0.320417,0.318958,0.320542,0.07816579277309943
1,field,ordinary,32768,10,21,1.506708,1.123833,1.413042,1.5365,1.0545,1.227375,25.411360396307714
1,field,ordinary,131072,10,21,3.873917,2.317708,3.763042,4.000417,2.21525,2.370084,40.17145953307725
1,field,ordinary,524288,10,21,12.932417,6.5465,12.723625,13.282333,6.395708,6.835833,49.37914544512445
1,field,skip-1,4096,10,21,0.44525,0.445959,0.445083,0.446125,0.444958,0.447416,-0.15923638405390683
1,field,skip-1,32768,10,21,3.159542,3.079292,3.092833,3.294875,3.036041,3.145416,2.539925090408668
1,field,skip-1,131072,10,21,11.096875,10.995959,10.955291,11.273959,10.874667,11.243834,0.9094091805125326
1,field,skip-1,524288,10,21,42.221458,42.044167,41.6445,42.803625,41.730833,42.846791,0.41990733716490425
1,field,skip-2,4096,10,21,0.495209,0.497083,0.494792,0.496125,0.496125,0.498291,-0.3784260786859672
1,field,skip-2,32768,10,21,3.837416,3.81875,3.8,3.986042,3.795917,3.903583,0.4864210708455885
1,field,skip-2,131072,10,21,14.19025,14.22,14.073625,14.609917,14.105542,14.528708,-0.20965099275911392
1,field,skip-2,524288,10,21,55.449667,55.26175,54.729708,56.169,54.685625,56.136084,0.33889653476187886
1,field,skip-3,4096,10,21,0.621584,0.604958,0.603291,0.621916,0.604209,0.607333,2.6747792735977716
1,field,skip-3,32768,10,21,4.719125,4.699916,4.643125,4.966792,4.65125,4.8085,0.4070457976849573
1,field,skip-3,131072,10,21,18.544041,18.750958,18.243166,18.888042,18.331375,19.03425,-1.1158139695657487
1,field,skip-3,524288,10,21,72.428667,73.012916,71.719958,73.3735,72.095125,73.716417,-0.8066543596612075
1,field,skip-4,4096,10,21,0.855084,0.831125,0.854792,0.858333,0.830042,0.832792,2.801946943224287
1,field,skip-4,32768,10,21,6.435292,6.58125,6.426208,6.884084,6.436666,6.81225,-2.2680866695714785
