pass,order,protocol,skip_vars,exponent,multiplications,row_vars,column_vars,integer_witness_values,parallel,rayon_threads,prove_ms,outer_total_ms,skip_message_ms,reconstruct_prove_ms,prefix_fold_ms,cubic_tail_ms,matrix_bind_ms,inner_sumcheck_ms,verify_ms,reconstruct_verify_ms,outer_proof_fields,proof_fields,outer_proof_field_bytes,proof_field_bytes,repetitions,warmups,shape_seed,verified_samples,session,implementation
latency,1,standard,0,15,32768,15,17,131072,true,10,3.193708000,0.971208000,NA,NA,NA,NA,0.273875000,1.880041000,0.077333000,NA,63,114,1008,1824,21,1,0x107313b300314548,21,1,baseline
latency,1,skip-k1,1,15,32768,15,17,131072,true,10,3.123625000,1.033417000,0.132417000,0.002125000,0.204000000,0.643667000,0.164583000,1.906250000,0.082333000,0.000750000,60,111,960,1776,21,1,0x107313b300314548,21,1,baseline
latency,1,skip-k2,2,15,32768,15,17,131072,true,10,3.152084000,0.853250000,0.148583000,0.005417000,0.152584000,0.460083000,0.142667000,1.946125000,0.082042000,0.004041000,58,109,928,1744,21,1,0x107313b300314548,21,1,baseline
latency,1,skip-k3,3,15,32768,15,17,131072,true,10,2.714750000,0.602667000,0.168125000,0.007167000,0.142500000,0.262916000,0.132583000,1.914583000,0.082833000,0.005375000,58,109,928,1744,21,1,0x107313b300314548,21,1,baseline
latency,1,skip-k4,4,15,32768,15,17,131072,true,10,3.191291000,0.994375000,0.636333000,0.011666000,0.193834000,0.145708000,0.176708000,1.881917000,0.087250000,0.011166000,62,113,992,1808,21,1,0x107313b300314548,21,1,baseline
latency,1,standard,0,17,131072,17,19,524288,true,10,6.393459000,1.873541000,NA,NA,NA,NA,0.570542000,3.810625000,0.090583000,NA,71,128,1136,2048,21,1,0xd49c273c069e3d16,21,1,baseline
latency,1,skip-k1,1,17,131072,17,19,524288,true,10,6.125791000,1.902416000,0.173375000,0.002167000,0.527958000,1.149291000,0.326834000,3.723292000,0.093667000,0.000875000,68,125,1088,2000,21,1,0xd49c273c069e3d16,21,1,baseline
latency,1,skip-k2,2,17,131072,17,19,524288,true,10,5.626125000,1.393083000,0.199166000,0.005500000,0.333042000,0.822500000,0.269042000,3.748833000,0.095000000,0.004334000,66,123,1056,1968,21,1,0xd49c273c069e3d16,21,1,baseline
latency,1,skip-k3,3,17,131072,17,19,524288,true,10,5.482792000,1.194250000,0.297583000,0.007291000,0.262959000,0.601875000,0.249042000,3.920083000,0.095125000,0.005750000,66,123,1056,1968,21,1,0xd49c273c069e3d16,21,1,baseline
latency,1,skip-k4,4,17,131072,17,19,524288,true,10,5.619584000,1.217208000,0.481791000,0.012833000,0.218208000,0.451750000,0.235708000,3.824250000,0.098958000,0.011458000,70,127,1120,2032,21,1,0xd49c273c069e3d16,21,1,baseline
latency,1,standard,0,19,524288,19,21,2097152,true,10,17.149625000,4.848000000,NA,NA,NA,NA,1.332250000,9.536375000,0.102417000,NA,79,142,1264,2272,21,1,0xeb2d3aa907eb35fc,21,1,baseline
latency,1,skip-k1,1,19,524288,19,21,2097152,true,10,17.343167000,5.020542000,0.290083000,0.002500000,1.689459000,2.950542000,0.943333000,10.521750000,0.107250000,0.001208000,76,139,1216,2224,21,1,0xeb2d3aa907eb35fc,21,1,baseline
latency,1,skip-k2,2,19,524288,19,21,2097152,true,10,14.405166000,3.530959000,0.516125000,0.006292000,1.069333000,1.869500000,0.720416000,9.256000000,0.108208000,0.004958000,74,137,1184,2192,21,1,0xeb2d3aa907eb35fc,21,1,baseline
latency,1,skip-k3,3,19,524288,19,21,2097152,true,10,14.604666000,2.934750000,0.807333000,0.007834000,0.731417000,1.197250000,0.649459000,9.208958000,0.107500000,0.006292000,74,137,1184,2192,21,1,0xeb2d3aa907eb35fc,21,1,baseline
latency,1,skip-k4,4,19,524288,19,21,2097152,true,10,13.737542000,3.070084000,1.467792000,0.013667000,0.542042000,0.900625000,0.553459000,9.315916000,0.113583000,0.012209000,78,141,1248,2256,21,1,0xeb2d3aa907eb35fc,21,1,baseline
latency,1,standard,0,15,32768,15,17,131072,true,10,3.223750000,0.881250000,NA,NA,NA,NA,0.250959000,1.939458000,0.076541000,NA,63,114,1008,1824,21,1,0x107313b300314548,21,1,final
latency,1,skip-k1,1,15,32768,15,17,131072,true,10,3.325000000,1.076667000,0.186083000,0.002125000,0.223708000,0.647583000,0.174416000,1.938708000,0.080750000,0.000750000,60,111,960,1776,21,1,0x107313b300314548,21,1,final
latency,1,skip-k2,2,15,32768,15,17,131072,true,10,2.935541000,0.819708000,0.153125000,0.005459000,0.164167000,0.458000000,0.155000000,1.885042000,0.081625000,0.003958000,58,109,928,1744,21,1,0x107313b300314548,21,1,final
latency,1,skip-k3,3,15,32768,15,17,131072,true,10,2.849125000,0.613583000,0.175208000,0.007250000,0.138750000,0.266250000,0.149750000,1.936500000,0.081333000,0.005416000,58,109,928,1744,21,1,0x107313b300314548,21,1,final
latency,1,skip-k4,4,15,32768,15,17,131072,true,10,3.226000000,0.997750000,0.637916000,0.011584000,0.193750000,0.147542000,0.173459000,1.914125000,0.087083000,0.011125000,62,113,992,1808,21,1,0x107313b300314548,21,1,final
latency,1,standard,0,17,131072,17,19,524288,true,10,6.646916000,1.923750000,NA,NA,NA,NA,0.598708000,3.883042000,0.087875000,NA,71,128,1136,2048,21,1,0xd49c273c069e3d16,21,1,final
latency,1,skip-k1,1,17,131072,17,19,524288,true,10,6.294958000,1.978459000,0.162167000,0.002125000,0.563000000,1.181583000,0.328833000,3.875917000,0.094041000,0.000917000,68,125,1088,2000,21,1,0xd49c273c069e3d16,21,1,final
latency,1,skip-k2,2,17,131072,17,19,524288,true,10,5.705667000,1.506083000,0.198667000,0.005458000,0.359333000,0.843250000,0.269667000,3.854917000,0.092208000,0.004333000,66,123,1056,1968,21,1,0xd49c273c069e3d16,21,1,final
latency,1,skip-k3,3,17,131072,17,19,524288,true,10,5.721917000,1.209667000,0.281209000,0.007291000,0.274333000,0.604917000,0.243625000,3.924291000,0.092625000,0.006042000,66,123,1056,1968,21,1,0xd49c273c069e3d16,21,1,final
latency,1,skip-k4,4,17,131072,17,19,524288,true,10,5.640667000,1.237542000,0.457958000,0.012833000,0.239416000,0.460333000,0.240375000,3.934125000,0.097834000,0.011458000,70,127,1120,2032,21,1,0xd49c273c069e3d16,21,1,final
latency,1,standard,0,19,524288,19,21,2097152,true,10,15.470000000,4.785958000,NA,NA,NA,NA,1.143667000,9.031458000,0.099417000,NA,79,142,1264,2272,21,1,0xeb2d3aa907eb35fc,21,1,final
latency,1,skip-k1,1,19,524288,19,21,2097152,true,10,15.242375000,4.959792000,0.335916000,0.002416000,1.788625000,2.911792000,0.938083000,8.884125000,0.104916000,0.001250000,76,139,1216,2224,21,1,0xeb2d3aa907eb35fc,21,1,final
latency,1,skip-k2,2,19,524288,19,21,2097152,true,10,13.600333000,3.432750000,0.455167000,0.006125000,1.062541000,1.814500000,0.707959000,8.945667000,0.107084000,0.004834000,74,137,1184,2192,21,1,0xeb2d3aa907eb35fc,21,1,final
latency,1,skip-k3,3,19,524288,19,21,2097152,true,10,12.888666000,2.839583000,0.776000000,0.007917000,0.749708000,1.206792000,0.608916000,8.835542000,0.106459000,0.006542000,74,137,1184,2192,21,1,0xeb2d3aa907eb35fc,21,1,final
latency,1,skip-k4,4,19,524288,19,21,2097152,true,10,12.819959000,2.839542000,1.414166000,0.013500000,0.538667000,0.852958000,0.565125000,8.878833000,0.111666000,0.012125000,78,141,1248,2256,21,1,0xeb2d3aa907eb35fc,21,1,final
latency,1,standard,0,15,32768,15,17,131072,true,10,3.215708000,0.973583000,NA,NA,NA,NA,0.254250000,1.837250000,0.079666000,NA,63,114,1008,1824,21,1,0x107313b300314548,21,2,baseline
latency,1,skip-k1,1,15,32768,15,17,131072,true,10,3.162583000,1.062250000,0.145125000,0.002333000,0.217292000,0.638167000,0.175834000,1.911958000,0.083333000,0.000792000,60,111,960,1776,21,1,0x107313b300314548,21,2,baseline
latency,1,skip-k2,2,15,32768,15,17,131072,true,10,2.992583000,0.807667000,0.150542000,0.005584000,0.166375000,0.463917000,0.178084000,1.947291000,0.083625000,0.004125000,58,109,928,1744,21,1,0x107313b300314548,21,2,baseline
latency,1,skip-k3,3,15,32768,15,17,131072,true,10,2.694958000,0.611834000,0.178542000,0.007500000,0.136458000,0.269958000,0.161458000,1.866500000,0.083458000,0.005584000,58,109,928,1744,21,1,0x107313b300314548,21,2,baseline
