series_id,label,metric,median_ns,median_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,n,warmups,excluded_samples,representative_run_id,geometry_scale,root_boundary,pcs_derived
u64-ordinary-n131072-t10-baseline,u64-ordinary-n131072-t10-baseline,end-to-end,5674541,5.674541,5.364500,5.458959,5.488917,5.556458,5.674541,5.691083,5.806042,5.834208,5.922292,21,1,0,u64-ordinary-n131072-t10-baseline-17,1,declared-root,false
u64-ordinary-n131072-t10-baseline,u64-ordinary-n131072-t10-baseline,proving,5674541,5.674541,5.364500,5.458959,5.488917,5.556458,5.674541,5.691083,5.806042,5.834208,5.922292,21,1,0,u64-ordinary-n131072-t10-baseline-17,1,declared-root,false
u64-ordinary-n131072-t10-baseline,u64-ordinary-n131072-t10-baseline,sumcheck,5674541,5.674541,5.364500,5.458959,5.488917,5.556458,5.674541,5.691083,5.806042,5.834208,5.922292,21,1,0,u64-ordinary-n131072-t10-baseline-17,1,declared-root,false
u64-ordinary-n131072-t10-first-par+prefix,u64-ordinary-n131072-t10-first-par+prefix,end-to-end,3054375,3.054375,2.782375,2.847583,2.871208,3.011000,3.054375,3.114708,3.404958,3.446917,3.447500,21,1,0,u64-ordinary-n131072-t10-first-par+prefix-14,1,declared-root,false
u64-ordinary-n131072-t10-first-par+prefix,u64-ordinary-n131072-t10-first-par+prefix,proving,3054375,3.054375,2.782375,2.847583,2.871208,3.011000,3.054375,3.114708,3.404958,3.446917,3.447500,21,1,0,u64-ordinary-n131072-t10-first-par+prefix-14,1,declared-root,false
u64-ordinary-n131072-t10-first-par+prefix,u64-ordinary-n131072-t10-first-par+prefix,sumcheck,3054375,3.054375,2.782375,2.847583,2.871208,3.011000,3.054375,3.114708,3.404958,3.446917,3.447500,21,1,0,u64-ordinary-n131072-t10-first-par+prefix-14,1,declared-root,false
u64-skip-3-n131072-t10-baseline,u64-skip-3-n131072-t10-baseline,end-to-end,15288875,15.288875,14.778833,14.970041,15.096541,15.245500,15.288875,15.306542,15.417959,15.504125,15.551375,21,1,0,u64-skip-3-n131072-t10-baseline-1,1,declared-root,false
u64-skip-3-n131072-t10-baseline,u64-skip-3-n131072-t10-baseline,proving,15288875,15.288875,14.778833,14.970041,15.096541,15.245500,15.288875,15.306542,15.417959,15.504125,15.551375,21,1,0,u64-skip-3-n131072-t10-baseline-1,1,declared-root,false
u64-skip-3-n131072-t10-baseline,u64-skip-3-n131072-t10-baseline,sumcheck,15288875,15.288875,14.778833,14.970041,15.096541,15.245500,15.288875,15.306542,15.417959,15.504125,15.551375,21,1,0,u64-skip-3-n131072-t10-baseline-1,1,declared-root,false
u64-skip-3-n131072-t10-first-par+prefix,u64-skip-3-n131072-t10-first-par+prefix,end-to-end,3413209,3.413209,2.895667,3.025417,3.107042,3.397291,3.413209,3.435959,3.482000,3.726042,3.966500,21,1,0,u64-skip-3-n131072-t10-first-par+prefix-13,1,declared-root,false
u64-skip-3-n131072-t10-first-par+prefix,u64-skip-3-n131072-t10-first-par+prefix,proving,3413209,3.413209,2.895667,3.025417,3.107042,3.397291,3.413209,3.435959,3.482000,3.726042,3.966500,21,1,0,u64-skip-3-n131072-t10-first-par+prefix-13,1,declared-root,false
u64-skip-3-n131072-t10-first-par+prefix,u64-skip-3-n131072-t10-first-par+prefix,sumcheck,3413209,3.413209,2.895667,3.025417,3.107042,3.397291,3.413209,3.435959,3.482000,3.726042,3.966500,21,1,0,u64-skip-3-n131072-t10-first-par+prefix-13,1,declared-root,false
