session,input,protocol,rows,threads,samples,original_ms,final_ms,original_p10_ms,original_p90_ms,final_p10_ms,final_p90_ms,saved_percent
1,field,ordinary,4096,10,21,0.332084,0.323125,0.329208,0.339709,0.321166,0.36,2.6978113971163897
1,field,ordinary,32768,10,21,1.34425,1.077125,1.304041,1.4885,0.981375,1.301334,19.87167565557002
1,field,ordinary,131072,10,21,3.771625,2.848333,3.632334,4.650458,2.571458,3.850709,24.479952275212934
1,field,ordinary,524288,10,21,12.921333,7.492208,12.651375,13.449792,7.212459,8.273459,42.01675632072944
1,field,skip-1,4096,10,21,0.466334,0.461041,0.454,0.504625,0.458417,0.501083,1.135023395248902
1,field,skip-1,32768,10,21,3.089292,1.118209,3.037083,3.184334,1.057041,1.32575,63.80371295429504
1,field,skip-1,131072,10,21,10.972459,2.969167,10.880042,11.09075,2.691417,3.483125,72.93982142015751
1,field,skip-1,524288,10,21,42.410209,9.051666,42.034583,44.916625,8.654792,11.089792,78.65687009465103
1,field,skip-2,4096,10,21,0.510583,0.508167,0.505,0.528709,0.502209,0.535209,0.4731845752796282
1,field,skip-2,32768,10,21,3.879584,1.118875,3.798542,3.931542,1.057208,1.185959,71.1599233319861
1,field,skip-2,131072,10,21,14.342125,2.904042,14.241625,14.539417,2.774791,3.369667,79.75166162615372
1,field,skip-2,524288,10,21,56.021792,9.516042,55.422375,59.268834,9.02375,10.492667,83.01367796303268
1,field,skip-3,4096,10,21,0.621875,0.608542,0.606042,0.652042,0.606292,0.629291,2.1440000000000015
1,field,skip-3,32768,10,21,4.768666,1.113292,4.661667,4.887708,1.077417,1.24025,76.65401602880135
1,field,skip-3,131072,10,21,18.640333,3.393916,18.536875,18.912042,3.09675,4.2475,81.79262140864114
1,field,skip-3,524288,10,21,72.865209,10.755417,72.405584,73.124291,10.437125,11.569208,85.2392971246401
1,field,skip-4,4096,10,21,0.863416,0.841792,0.843709,0.9115,0.831541,0.913084,2.50447061439677
1,field,skip-4,32768,10,21,6.559583,6.74875,6.485625,6.614,6.638125,6.923875,-2.883826609100004
1,field,skip-4,131072,10,21,26.186375,4.229417,26.021583,26.291125,4.030084,5.077958,83.84878777608584
1,field,skip-4,524288,10,21,103.514209,14.681542,102.954541,103.98675,14.225584,15.601625,85.81688239534341
1,field,zero,4096,10,21,0.284209,0.285292,0.283583,0.293042,0.284833,0.295625,-0.38105760197602034
1,field,zero,32768,10,21,1.302084,0.9995,1.274708,1.3935,0.896917,1.193417,23.23843930191908
1,field,zero,131072,10,21,3.550583,2.323125,3.417292,3.754667,2.154417,2.767875,34.570604320473564
1,field,zero,524288,10,21,12.22175,6.702583,11.958458,12.498583,6.122166,8.178458,45.1585656718555
1,u128,ordinary,4096,10,21,0.756167,0.744416,0.742375,0.770292,0.73225,0.777792,1.554021796772409
1,u128,ordinary,32768,10,21,3.371167,1.78825,3.236584,3.490666,1.451125,2.196958,46.95457092454928
1,u128,ordinary,131072,10,21,11.221167,4.74475,10.973458,12.29175,4.194375,6.0745,57.71607355990691
1,u128,ordinary,524288,10,21,42.811417,14.403291,42.373125,44.316167,13.798,16.156125,66.35642543670069
1,u128,skip-1,4096,10,21,0.591042,0.581042,0.577584,0.610667,0.573625,0.621708,1.6919271388496915
1,u128,skip-1,32768,10,21,4.160541,1.34175,4.05725,4.242667,1.166917,1.556334,67.7505882047551
1,u128,skip-1,131072,10,21,14.999416,3.578958,14.863666,15.279583,3.206416,4.324709,76.13935102539993
1,u128,skip-1,524288,10,21,58.205125,10.943125,57.821666,58.502125,10.414209,11.844291,81.19903530831692
1,u128,skip-2,4096,10,21,0.669792,0.705333,0.667625,0.701542,0.697583,0.752709,-5.306274186613158
1,u128,skip-2,32768,10,21,5.357875,1.585417,5.306791,5.440792,1.418291,1.707083,70.40959335557474
1,u128,skip-2,131072,10,21,19.923,4.896667,19.783291,20.06225,4.296083,5.52125,75.42203985343573
1,u128,skip-2,524288,10,21,77.803625,14.528375,77.554125,78.118084,13.75975,15.732291,81.32686619678711
1,u128,skip-3,4096,10,21,0.856458,0.879417,0.846833,0.884375,0.866125,0.926458,-2.6806918728063733
1,u128,skip-3,32768,10,21,6.672,1.319083,6.531125,6.753625,1.269125,1.501666,80.22957134292565
1,u128,skip-3,131072,10,21,25.836625,5.808917,25.766084,25.996208,5.131292,7.275709,77.5167344806065
1,u128,skip-3,524288,10,21,101.75675,17.243792,101.533542,101.965209,16.554125,21.947166,83.05390846307493
1,u128,skip-4,4096,10,21,1.154291,1.21075,1.124667,1.183291,1.162584,1.287292,-4.891227602051829
1,u128,skip-4,32768,10,21,8.886709,9.3575,8.812583,9.002125,9.213959,9.558375,-5.297697944199586
1,u128,skip-4,131072,10,21,35.511917,6.940917,35.380875,36.49575,6.179,7.514666,80.45468229721308
1,u128,skip-4,524288,10,21,141.848333,22.704333,140.480583,162.959209,20.991875,24.50375,83.9939373838112
1,u128,zero,4096,10,21,0.57575,0.579125,0.556833,0.591958,0.556917,0.612625,-0.5861919235779389
1,u128,zero,32768,10,21,3.179375,1.358958,3.089958,3.261041,1.20675,1.786,57.25707096520543
1,u128,zero,131072,10,21,10.509875,3.780916,10.352875,10.845834,3.435291,4.056625,64.02510971824118
1,u128,zero,524288,10,21,40.18375,12.90725,39.734958,40.569792,11.156708,18.31725,67.87942887361184
1,u32,ordinary,4096,10,21,0.448166,0.417166,0.412292,1.024583,0.412542,0.428042,6.917079832026529
1,u32,ordinary,32768,10,21,1.71225,1.217875,1.614542,1.802625,1.051416,1.377625,28.87282815009491
1,u32,ordinary,131072,10,21,4.834708,3.172,4.649,5.211542,2.940917,3.806,34.39107387664364
1,u32,ordinary,524288,10,21,17.204,11.377958,16.875583,17.699167,8.758583,38.213292,33.864461753080676
1,u32,skip-1,4096,10,21,0.531458,0.385333,0.485208,0.540667,0.372334,0.414583,27.495117205875165
1,u32,skip-1,32768,10,21,2.499708,1.201542,2.459542,2.615917,1.075541,1.303125,51.932705740030435
1,u32,skip-1,131072,10,21,8.286833,2.589084,8.215167,8.494792,2.292167,2.924792,68.75665287329913
1,u32,skip-1,524288,10,21,31.332625,7.892,31.172792,31.644583,7.517458,8.362458,74.81219655231568
1,u32,skip-2,4096,10,21,0.49875,0.399375,0.455625,0.502083,0.387333,0.43225,19.924812030075188
1,u32,skip-2,32768,10,21,3.021542,0.992,2.965083,3.068708,0.903666,1.089917,67.16908121747107
1,u32,skip-2,131072,10,21,10.433083,2.383709,10.256708,10.663875,2.226167,2.695708,77.15240068539664
1,u32,skip-2,524288,10,21,40.078584,9.1885,39.83775,40.570542,7.580833,10.208375,77.07379083053434
1,u32,skip-3,4096,10,21,0.49625,0.47125,0.48975,0.5335,0.470042,0.487583,5.037783375314864
1,u32,skip-3,32768,10,21,3.548208,0.909958,3.416709,3.604208,0.797334,0.988208,74.35443468928541
1,u32,skip-3,131072,10,21,13.117875,2.981,13.050167,13.34475,2.658667,4.348333,77.27528277255273
1,u32,skip-3,524288,10,21,51.302958,10.470625,51.129083,51.587667,8.770667,12.525334,79.59060177387822
1,u32,skip-4,4096,10,21,0.618709,0.618417,0.599125,0.649791,0.599125,0.650958,0.047195046459647116
1,u32,skip-4,32768,10,21,4.640084,4.5455,4.464458,4.784042,4.459292,4.629583,2.038411373587201
1,u32,skip-4,131072,10,21,18.018334,3.342917,17.913542,18.147417,2.962,3.763375,81.44713601157576
1,u32,skip-4,524288,10,21,70.735916,13.46125,70.486583,71.830584,11.865084,17.380708,80.9697099278392
1,u32,zero,4096,10,21,0.654875,0.375375,0.587833,0.674375,0.36775,0.401291,42.67990074441688
1,u32,zero,32768,10,21,1.686125,1.251917,1.605667,1.80225,1.151,1.413042,25.751827414930684
1,u32,zero,131072,10,21,4.610708,2.727541,4.445625,4.900958,2.415792,3.157458,40.84333685846079
1,u32,zero,524288,10,21,16.407333,16.512666,16.04275,17.250208,9.840792,35.193166,-0.6419873357845551
1,u64,ordinary,4096,10,21,0.43025,0.455584,0.429125,0.446375,0.453375,0.457167,-5.8882045322486976
1,u64,ordinary,32768,10,21,1.866042,1.141834,1.751542,1.9795,1.066625,1.401,38.80984458013271
1,u64,ordinary,131072,10,21,5.142333,3.14375,5.02375,5.347875,2.720166,5.360958,38.86529713264388
1,u64,ordinary,524288,10,21,18.958875,9.600042,18.193291,21.604209,8.713667,13.951458,49.36386257095952
1,u64,skip-1,4096,10,21,0.388042,0.3885,0.382209,0.3975,0.380833,0.436083,-0.11802846083670548
1,u64,skip-1,32768,10,21,2.588166,1.0565,2.494375,2.634083,0.967625,1.184125,59.17958894444947
1,u64,skip-1,131072,10,21,8.624292,2.790542,8.5825,8.736125,2.483084,4.609791,67.64323378661112
1,u64,skip-1,524288,10,21,32.771042,7.951583,32.48825,33.177292,7.534208,8.746208,75.7359469985727
1,u64,skip-2,4096,10,21,0.41575,0.434458,0.401292,0.425833,0.4195,0.441417,-4.499819603126887
1,u64,skip-2,32768,10,21,3.169625,1.0265,3.13075,3.270084,0.94,1.160042,67.61446543360807
1,u64,skip-2,131072,10,21,11.156417,2.625458,11.086958,11.258667,2.370542,2.883042,76.46683518552597
1,u64,skip-2,524288,10,21,43.266583,7.853458,43.033791,43.611042,7.528416,8.66325,81.84867522355532
1,u64,skip-3,4096,10,21,0.492084,0.488584,0.47725,0.510958,0.482042,0.517167,0.7112606790710574
1,u64,skip-3,32768,10,21,3.789792,0.960708,3.691208,3.847542,0.870084,1.131,74.65011272386452
1,u64,skip-3,131072,10,21,14.410875,2.79425,14.30975,14.552334,2.5495,4.2075,80.61012950289278
1,u64,skip-3,524288,10,21,56.419709,9.277167,56.129459,56.661584,8.595208,10.009375,83.55686839859455
1,u64,skip-4,4096,10,21,0.670542,0.657291,0.645,0.692584,0.652208,0.695375,1.976162566998041
1,u64,skip-4,32768,10,21,5.137417,5.119041,5.035167,5.191625,5.013333,5.1815,0.3576894770270789
1,u64,skip-4,131072,10,21,20.160167,3.743667,20.036625,20.324708,3.240459,4.655875,81.43037704003146
1,u64,skip-4,524288,10,21,79.245833,11.694083,78.986666,79.449542,11.132875,13.267125,85.24328339131725
1,u64,zero,4096,10,21,0.385875,0.3945,0.373333,0.418709,0.393833,0.407125,-2.235179786200203
1,u64,zero,32768,10,21,1.737959,1.093584,1.678375,1.8975,1.005834,1.271125,37.0765363279571
1,u64,zero,131072,10,21,4.993625,2.603875,4.838541,5.355125,2.489,3.664208,47.8560164209367
1,u64,zero,524288,10,21,17.789375,8.411917,17.454459,18.605542,7.87475,10.689333,52.713813723079085
2,field,ordinary,4096,10,21,0.326375,0.328208,0.325459,0.328625,0.322167,0.332375,-0.5616238988893185
2,field,ordinary,32768,10,21,1.508791,1.107,1.343708,1.767333,0.970708,1.17725,26.62999713015255
2,field,ordinary,131072,10,21,3.75875,2.403041,3.648791,4.109208,2.222375,3.257666,36.06808114399735
2,field,ordinary,524288,10,21,13.450542,6.726333,13.054666,13.606417,6.437375,7.939708,49.99210440739117
2,field,skip-1,4096,10,21,0.457167,0.470666,0.453709,0.470917,0.467292,0.488166,-2.9527503078743633
2,field,skip-1,32768,10,21,3.157875,1.155708,3.083583,3.359875,1.078708,1.28325,63.4023512646954
2,field,skip-1,131072,10,21,11.05575,2.823625,10.978375,11.368875,2.657833,2.989625,74.46012256065848
2,field,skip-1,524288,10,21,43.134042,9.445708,42.570542,43.693458,8.944583,11.5725,78.10150043439008
2,field,skip-2,4096,10,21,0.50525,0.513625,0.49775,0.554708,0.510375,0.536958,-1.657595249876298
2,field,skip-2,32768,10,21,3.951667,1.08425,3.886708,4.017958,1.040958,1.169666,72.56221235240723
2,field,skip-2,131072,10,21,14.47025,2.770834,14.326042,14.664125,2.677667,3.038666,80.85151258616817
2,field,skip-2,524288,10,21,56.87775,9.756333,56.2555,57.757667,9.128209,10.865333,82.84683729577911
2,field,skip-3,4096,10,21,0.618,0.625167,0.614583,0.639583,0.619583,0.6455,-1.1597087378640847
2,field,skip-3,32768,10,21,4.826708,1.065875,4.684,4.916667,1.018833,1.16375,77.91714352722394
2,field,skip-3,131072,10,21,18.873958,3.285709,18.473166,19.005416,3.093625,3.949459,82.59130914670892
2,field,skip-3,524288,10,21,74.883083,11.131833,74.203792,75.513125,10.676541,12.449458,85.13438208734007
2,field,skip-4,4096,10,21,0.853125,0.855333,0.845333,0.87425,0.847833,0.88075,-0.2588131868131782
2,field,skip-4,32768,10,21,6.640042,6.700542,6.533667,6.714667,6.658125,6.747458,-0.9111388150857991
2,field,skip-4,131072,10,21,26.360625,4.117083,26.123833,26.78025,3.854292,4.937958,84.38169428835621
2,field,skip-4,524288,10,21,105.435125,14.454583,103.308458,106.589,14.06,16.041083,86.29054311833936
2,field,zero,4096,10,21,0.289333,0.290625,0.289041,0.294875,0.29025,0.295959,-0.4465442932537922
2,field,zero,32768,10,21,1.427208,1.107041,1.33375,1.738833,0.931208,1.175333,22.433100150783915
2,field,zero,131072,10,21,3.670375,2.211459,3.522334,3.762333,2.123875,2.392292,39.748418077171955
2,field,zero,524288,10,21,12.965584,6.113666,12.78525,13.397083,5.902458,7.658833,52.84696778795309
2,u128,ordinary,4096,10,21,0.746709,0.755584,0.745875,0.761208,0.747,0.779542,-1.1885486849629423
2,u128,ordinary,32768,10,21,3.392833,1.738083,3.20675,3.538166,1.407041,2.039791,48.77192599812605
2,u128,ordinary,131072,10,21,11.250875,4.470042,11.13575,11.650708,4.017708,6.097,60.269383492395036
2,u128,ordinary,524288,10,21,43.18575,13.254375,42.564667,45.135083,12.9615,14.338291,69.30845244090933
2,u128,skip-1,4096,10,21,0.589917,0.595208,0.580834,0.613166,0.588083,0.609084,-0.8969058359057369
2,u128,skip-1,32768,10,21,4.111666,1.388458,4.0635,4.271625,1.289,1.563083,66.23125516518122
2,u128,skip-1,131072,10,21,15.039792,3.606875,14.845791,15.363792,3.293916,5.168708,76.01778668215624
2,u128,skip-1,524288,10,21,58.278333,10.535375,57.68625,58.771166,10.301292,10.914833,81.92231236264085
2,u128,skip-2,4096,10,21,0.684708,0.720875,0.680542,0.7015,0.696833,0.743375,-5.282105656717895
2,u128,skip-2,32768,10,21,5.328292,1.35075,5.274583,5.418292,1.251125,1.432042,74.64947491616451
2,u128,skip-2,131072,10,21,19.787917,3.790458,19.668417,20.183083,3.574542,4.101042,80.84458308572853
2,u128,skip-2,524288,10,21,77.8805,14.105209,77.1465,79.335583,12.451416,15.447166,81.8886512028043
2,u128,skip-3,4096,10,21,0.846042,0.901459,0.842042,0.868083,0.884625,0.926375,-6.55014762860473
2,u128,skip-3,32768,10,21,6.600958,1.349708,6.527875,6.681959,1.303542,1.44225,79.55284672315746
2,u128,skip-3,131072,10,21,25.968542,4.357792,25.843583,26.416416,4.154666,4.751042,83.21895776821047
2,u128,skip-3,524288,10,21,102.7115,15.264459,101.295375,105.762166,14.498792,15.952959,85.1385102933946
2,u128,skip-4,4096,10,21,1.138459,1.204208,1.135792,1.172208,1.163,1.239792,-5.7752628772753445
2,u128,skip-4,32768,10,21,8.968083,9.463,8.807042,9.102667,9.407416,9.660542,-5.518648745779897
