series_id,label,metric,median_ns,median_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,n,warmups,excluded_samples,representative_run_id,geometry_scale,root_boundary,pcs_derived
u128-ordinary-baseline-session1,u128-ordinary-baseline-session1,end-to-end,2670792,2.670792,2.595500,2.599042,2.622500,2.666250,2.670792,2.687041,2.709250,2.720792,2.737625,21,1,0,u128-ordinary-baseline-session1-2,1,declared-root,false
u128-ordinary-baseline-session1,u128-ordinary-baseline-session1,proving,2670792,2.670792,2.595500,2.599042,2.622500,2.666250,2.670792,2.687041,2.709250,2.720792,2.737625,21,1,0,u128-ordinary-baseline-session1-2,1,declared-root,false
u128-ordinary-baseline-session1,u128-ordinary-baseline-session1,sumcheck,2670792,2.670792,2.595500,2.599042,2.622500,2.666250,2.670792,2.687041,2.709250,2.720792,2.737625,21,1,0,u128-ordinary-baseline-session1-2,1,declared-root,false
u128-ordinary-baseline-session2,u128-ordinary-baseline-session2,end-to-end,2619500,2.619500,2.581292,2.586292,2.599000,2.605167,2.619500,2.648000,2.668291,2.681625,2.701916,21,1,0,u128-ordinary-baseline-session2-8,1,declared-root,false
u128-ordinary-baseline-session2,u128-ordinary-baseline-session2,proving,2619500,2.619500,2.581292,2.586292,2.599000,2.605167,2.619500,2.648000,2.668291,2.681625,2.701916,21,1,0,u128-ordinary-baseline-session2-8,1,declared-root,false
u128-ordinary-baseline-session2,u128-ordinary-baseline-session2,sumcheck,2619500,2.619500,2.581292,2.586292,2.599000,2.605167,2.619500,2.648000,2.668291,2.681625,2.701916,21,1,0,u128-ordinary-baseline-session2-8,1,declared-root,false
u128-ordinary-generic-session1,u128-ordinary-generic-session1,end-to-end,3219083,3.219083,3.154875,3.163417,3.177458,3.207541,3.219083,3.239833,3.274709,3.288709,3.365292,21,1,0,u128-ordinary-generic-session1-1,1,declared-root,false
u128-ordinary-generic-session1,u128-ordinary-generic-session1,proving,3219083,3.219083,3.154875,3.163417,3.177458,3.207541,3.219083,3.239833,3.274709,3.288709,3.365292,21,1,0,u128-ordinary-generic-session1-1,1,declared-root,false
u128-ordinary-generic-session1,u128-ordinary-generic-session1,sumcheck,3219083,3.219083,3.154875,3.163417,3.177458,3.207541,3.219083,3.239833,3.274709,3.288709,3.365292,21,1,0,u128-ordinary-generic-session1-1,1,declared-root,false
u128-ordinary-generic-session2,u128-ordinary-generic-session2,end-to-end,3228958,3.228958,3.129250,3.180125,3.207167,3.213375,3.228958,3.285542,3.294833,3.415375,3.608000,21,1,0,u128-ordinary-generic-session2-11,1,declared-root,false
u128-ordinary-generic-session2,u128-ordinary-generic-session2,proving,3228958,3.228958,3.129250,3.180125,3.207167,3.213375,3.228958,3.285542,3.294833,3.415375,3.608000,21,1,0,u128-ordinary-generic-session2-11,1,declared-root,false
u128-ordinary-generic-session2,u128-ordinary-generic-session2,sumcheck,3228958,3.228958,3.129250,3.180125,3.207167,3.213375,3.228958,3.285542,3.294833,3.415375,3.608000,21,1,0,u128-ordinary-generic-session2-11,1,declared-root,false
