session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
1,production,32,ordinary,4096,10,21,0.228916,0.225917,0.225958,0.244709,0.221833,0.238917,1.3100875430288816,8bae746bd5cf8ce2a0f428447f7ab25c20b45e08876b836ef376c8f6424d1b90
1,production,32,ordinary,32768,10,21,0.843542,0.898917,0.795916,0.984584,0.853417,0.982667,-6.564581253808344,65b43e77c0870f564fbd571e56bf0758915a88a585e0c6ee14f7025110463659
1,production,32,ordinary,131072,10,21,1.727625,1.823834,1.619,2.014875,1.654625,2.202292,-5.56885898270747,c4da81217d99a6dceb8d923716c729771e4c6d194299e818920773f7d81d69cb
1,production,32,ordinary,524288,10,21,5.118459,5.180875,4.794291,5.777292,4.615208,5.897916,-1.219429519705062,0382fd3d25f8ced27fd3938342f3b888b13d5564b9c64178ccb19858745018c3
1,production,32,skip-1,4096,10,21,0.230625,0.234625,0.230041,0.246042,0.233,0.239834,-1.7344173441734334,6d866468b5d4f6ebc6a4dc0026da6353ccfb442aa020d32f4f6e7b4a15e69910
1,production,32,skip-1,32768,10,21,0.950083,0.953875,0.839333,1.129583,0.872667,1.064041,-0.3991230239884347,0ac1d78192b57fe08e567c3fd1e6917fd97e5bfdd2e5a8e5da842c4bb3ea8742
1,production,32,skip-1,131072,10,21,1.990416,2.016333,1.768917,2.273042,1.773375,2.327125,-1.3020896134275484,ab581d4945469de1d9ae3a6b7c0a4b894783164f6b24efc81fcfec4f56ca4efe
1,production,32,skip-1,524288,10,21,5.585042,4.905625,4.938208,6.295333,4.719333,5.417,12.164939851839973,24809c7818ffff4f8df1575b8e783b70566dd05b7adb7582e94ed33a46089da6
1,production,32,skip-2,4096,10,21,0.154709,0.155792,0.154166,0.158083,0.155375,0.162875,-0.7000239158678534,d6494b56a98e1a35aad0d2a13c13e3e389b10c4dee26ce9759414b9183d0323c
1,production,32,skip-2,32768,10,21,0.7995,0.741334,0.637916,0.915417,0.662917,0.883209,7.275297060662911,a007bb5b83685a8926668f33802be8fd4e1b44320c613b1ab398489a0cfa2004
1,production,32,skip-2,131072,10,21,1.603125,1.624334,1.418292,1.770708,1.513791,1.808833,-1.3229785575048725,2454921d11c1720c47dfb97a37b5b894ced64c3bbd7834eabb6ffb5e8122b400
1,production,32,skip-2,524288,10,21,3.68,3.799875,3.232958,3.91125,3.588666,4.0985,-3.257472826086949,0fece4defea8873e0736264203d69c1c913a682bc51c7bfc185bba16a5dd7fb1
1,production,32,skip-3,4096,10,21,0.139042,0.138791,0.137083,0.143334,0.13725,0.146792,0.18052099365659657,ba7c17a0402e518208c74d4136bf190e5d7b06d6cd72d634d927c24b67269ab6
