session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
1,production,32,skip-2,4096,10,101,0.161416,0.160417,0.159041,0.163791,0.159958,0.162625,0.6188977548694075,d6494b56a98e1a35aad0d2a13c13e3e389b10c4dee26ce9759414b9183d0323c
1,production,32,skip-2,131072,10,101,1.279917,1.29925,1.217916,1.464584,1.232334,1.445959,-1.5104885707432514,2454921d11c1720c47dfb97a37b5b894ced64c3bbd7834eabb6ffb5e8122b400
1,production,32,skip-3,4096,10,101,0.143625,0.142167,0.141458,0.145208,0.14175,0.147,1.0151436031331618,ba7c17a0402e518208c74d4136bf190e5d7b06d6cd72d634d927c24b67269ab6
1,production,32,skip-3,131072,10,101,1.058541,1.1175,0.995458,1.163083,1.028541,1.231417,-5.569836217964164,13812615cd0c2ff4f109941538d3ffba64e912170774047c3fd75c5460ab381e
1,production,64,skip-2,4096,10,101,0.807625,0.820417,0.758375,0.873417,0.743917,0.886375,-1.5839034205231473,c13758a50c6bae7c9bf3d5e34d6035c10bb13ddfea8176ef052a8868ca101184
1,production,64,skip-2,131072,10,101,14.060708,14.148,13.897458,14.362791,13.959125,14.613916,-0.620822223176809,fb4e9c5406efacafd559361b5c667f69906577f4eede4b894e04c67adbb51940
1,production,64,skip-3,4096,10,101,1.103209,1.08875,1.046583,1.192417,1.025791,1.25125,1.3106310771576424,2142031833f54913c65d241c21c12a79bbeec6af92cdf3d9a69e6850dba8fec6
1,production,64,skip-3,131072,10,101,25.017709,25.011125,24.874375,25.317959,24.8965,25.203917,0.026317357836402877,cb0e781f4561f4144660d1f59fdd21ef1d46e565fb4734e4736d7390b8e3028c
2,production,32,skip-2,4096,10,101,0.159,0.155291,0.158667,0.161,0.154875,0.15725,2.3327044025157284,d6494b56a98e1a35aad0d2a13c13e3e389b10c4dee26ce9759414b9183d0323c
2,production,32,skip-2,131072,10,101,1.335917,1.283667,1.237542,1.55075,1.208,1.387833,3.911171128146429,2454921d11c1720c47dfb97a37b5b894ced64c3bbd7834eabb6ffb5e8122b400
2,production,32,skip-3,4096,10,101,0.141958,0.137708,0.141583,0.1465,0.137292,0.139292,2.9938432494117984,ba7c17a0402e518208c74d4136bf190e5d7b06d6cd72d634d927c24b67269ab6
2,production,32,skip-3,131072,10,101,1.345125,1.055541,1.127166,1.73875,1.008166,1.186625,21.52840814050738,13812615cd0c2ff4f109941538d3ffba64e912170774047c3fd75c5460ab381e
2,production,64,skip-2,4096,10,101,0.807209,0.762542,0.749458,0.867,0.70525,0.867166,5.533511147670556,c13758a50c6bae7c9bf3d5e34d6035c10bb13ddfea8176ef052a8868ca101184
2,production,64,skip-2,131072,10,101,14.022917,14.06275,13.903375,14.481125,13.889167,14.433333,-0.2840564484550612,fb4e9c5406efacafd559361b5c667f69906577f4eede4b894e04c67adbb51940
2,production,64,skip-3,4096,10,101,1.108459,1.078666,1.038833,1.189459,1.034083,1.180166,2.687785475150639,2142031833f54913c65d241c21c12a79bbeec6af92cdf3d9a69e6850dba8fec6
2,production,64,skip-3,131072,10,101,24.985583,24.988416,24.8685,25.260667,24.874,25.269708,-0.011338538708494106,cb0e781f4561f4144660d1f59fdd21ef1d46e565fb4734e4736d7390b8e3028c
