session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
1,generic,32,ordinary,4096,10,5,0.233417,0.361625,0.23194179999999998,0.2433422,0.36064979999999996,0.3720416,-54.92659060822476,8bae746bd5cf8ce2a0f428447f7ab25c20b45e08876b836ef376c8f6424d1b90
1,generic,32,ordinary,32768,10,5,0.9265,1.06825,0.9103422,0.958008,1.0376916,1.1882418000000001,-15.2995143011333,65b43e77c0870f564fbd571e56bf0758915a88a585e0c6ee14f7025110463659
1,generic,32,ordinary,131072,10,5,1.764167,2.449042,1.636625,1.8183083999999998,2.4050418,2.6147334,-38.82143810648311,c4da81217d99a6dceb8d923716c729771e4c6d194299e818920773f7d81d69cb
1,generic,32,skip-1,4096,10,5,0.238459,0.371167,0.2378,0.2414164,0.367375,0.37405879999999997,-55.65233436355936,6d866468b5d4f6ebc6a4dc0026da6353ccfb442aa020d32f4f6e7b4a15e69910
1,generic,32,skip-1,32768,10,5,0.940875,2.402125,0.918825,1.035017,2.3637086000000003,2.4231168,-155.30755945263718,0ac1d78192b57fe08e567c3fd1e6917fd97e5bfdd2e5a8e5da842c4bb3ea8742
1,generic,32,skip-1,131072,10,5,1.683084,8.438084,1.5793998,1.7434664,8.2746918,8.603108599999999,-401.3465756908152,ab581d4945469de1d9ae3a6b7c0a4b894783164f6b24efc81fcfec4f56ca4efe
1,generic,32,skip-2,4096,10,5,0.1595,0.379083,0.159175,0.1635422,0.3775004,0.3798336,-137.66959247648902,d6494b56a98e1a35aad0d2a13c13e3e389b10c4dee26ce9759414b9183d0323c
1,generic,32,skip-2,32768,10,5,0.764,2.84875,0.7409171999999999,0.8284836,2.824175,2.8831754,-272.87303664921467,a007bb5b83685a8926668f33802be8fd4e1b44320c613b1ab398489a0cfa2004
1,generic,32,skip-2,131072,10,5,1.338333,10.242542,1.251992,1.3854832,10.234492,10.3880496,-665.3208880002212,2454921d11c1720c47dfb97a37b5b894ced64c3bbd7834eabb6ffb5e8122b400
1,generic,32,skip-3,4096,10,5,0.14325,0.440334,0.14216720000000002,0.14617460000000002,0.43914179999999997,0.4440082,-207.38848167539268,ba7c17a0402e518208c74d4136bf190e5d7b06d6cd72d634d927c24b67269ab6
