metric,unit,log2_n,f2z,binius64,plonky3-whir,f2z_over_binius64,f2z_over_plonky3-whir
prover,ms,15,16.306959,43.052667,1312.649833,0.37876768470580463,0.012422931531352276
prover,ms,16,24.581542,63.996875,2888.542375,0.38410534889398895,0.00851001605957053
prover,ms,17,43.011459,108.632584,5939.351958,0.3959351551464522,0.0072417764268146775
prover,ms,18,71.718042,193.761709,12084.845791,0.3701352675414315,0.0059345434141502154
prover,ms,19,130.142625,398.322625,26282.963792,0.3267266703717872,0.004951596251850896
prover,ms,20,244.660959,2271.604166,63640.003834,0.10770404574086345,0.0038444522982459123
verifier,ms,15,4.844,1.752125,3.929167,2.764642933580652,1.2328312845954372
verifier,ms,16,7.90325,3.107375,4.683125,2.5433846896496237,1.6876017616442012
verifier,ms,17,14.864084,5.567666,5.079667,2.669715460661613,2.9261926027828205
verifier,ms,18,25.379333,10.457458,5.200584,2.4269122572617547,4.880092889567787
verifier,ms,19,45.391709,29.044084,5.228292,1.562855588766373,8.681938384466667
verifier,ms,20,80.309708,269.463958,6.76975,0.2980350641179256,11.863024188485543
proof,bytes,15,157000.0,326704,195694,0.48055732406092366,0.8022729363189469
proof,bytes,16,185764.0,358240,216318,0.5185462259937472,0.8587542414408417
proof,bytes,17,205848.0,402784,226439,0.5110630015094939,0.9090660177796228
proof,bytes,18,231592.0,434832,237712,0.5326010965154359,0.9742545601400013
proof,bytes,19,265292.0,474624,248889,0.5589519282632147,1.0659048812924636
proof,bytes,20,295800.0,522160,269351,0.5664930289566417,1.0981952916454738
