run,revision,protocol,exponent,multiplications,rayon_threads,repetitions,warmups,outer_total_ms,skip_message_ms,prefix_fold_ms,cubic_tail_ms,inner_sumcheck_ms,prove_ms,verify_ms,outer_proof_field_bytes,proof_field_bytes,verified_samples,shape_seed
baseline-1,a3450385,standard,15,32768,10,7,1,1.200209000,NA,NA,NA,2.671792000,4.182125000,0.080458000,1008,1824,7,0x107313b300314548
baseline-1,a3450385,skip-k1,15,32768,10,7,1,1.303125000,0.268542000,0.386042000,0.658458000,2.507875000,4.731250000,0.084875000,960,1776,7,0x107313b300314548
baseline-1,a3450385,skip-k2,15,32768,10,7,1,1.515333000,0.282666000,0.314375000,0.510042000,2.942958000,5.992459000,0.089209000,928,1744,7,0x107313b300314548
baseline-1,a3450385,skip-k3,15,32768,10,7,1,0.709291000,0.249666000,0.175542000,0.267083000,2.235458000,3.248375000,0.087167000,928,1744,7,0x107313b300314548
baseline-1,a3450385,skip-k4,15,32768,10,7,1,1.234000000,0.787792000,0.204083000,0.154500000,2.214042000,3.837375000,0.095250000,992,1808,7,0x107313b300314548
baseline-1,a3450385,standard,17,131072,10,7,1,2.499041000,NA,NA,NA,4.614666000,7.889042000,0.090917000,1136,2048,7,0xd49c273c069e3d16
baseline-1,a3450385,skip-k1,17,131072,10,7,1,2.303833000,0.197166000,0.741291000,1.339875000,5.177042000,8.541500000,0.096917000,1088,2000,7,0xd49c273c069e3d16
baseline-1,a3450385,skip-k2,17,131072,10,7,1,1.726959000,0.237292000,0.483958000,0.991250000,4.566000000,6.973958000,0.096584000,1056,1968,7,0xd49c273c069e3d16
baseline-1,a3450385,skip-k3,17,131072,10,7,1,1.581709000,0.448208000,0.403375000,0.747709000,4.769042000,7.355209000,0.096708000,1056,1968,7,0xd49c273c069e3d16
baseline-1,a3450385,skip-k4,17,131072,10,7,1,1.557792000,0.689792000,0.391458000,0.492500000,4.719500000,6.879916000,0.101875000,1120,2032,7,0xd49c273c069e3d16
candidate-1,working-tree,standard,15,32768,10,7,1,0.972583000,NA,NA,NA,2.032209000,3.383042000,0.078458000,1008,1824,7,0x107313b300314548
candidate-1,working-tree,skip-k1,15,32768,10,7,1,1.192375000,0.188834000,0.261583000,0.670208000,2.080250000,3.551584000,0.083792000,960,1776,7,0x107313b300314548
candidate-1,working-tree,skip-k2,15,32768,10,7,1,0.954208000,0.147000000,0.312750000,0.461834000,2.009708000,3.237750000,0.086583000,928,1744,7,0x107313b300314548
candidate-1,working-tree,skip-k3,15,32768,10,7,1,0.582833000,0.155083000,0.144375000,0.266292000,2.081458000,2.919500000,0.088041000,928,1744,7,0x107313b300314548
candidate-1,working-tree,skip-k4,15,32768,10,7,1,1.035917000,0.664417000,0.196750000,0.149583000,2.136833000,3.399333000,0.092000000,992,1808,7,0x107313b300314548
candidate-1,working-tree,standard,17,131072,10,7,1,1.924375000,NA,NA,NA,3.930917000,6.772791000,0.085542000,1136,2048,7,0xd49c273c069e3d16
candidate-1,working-tree,skip-k1,17,131072,10,7,1,2.086250000,0.178291000,0.569833000,1.319709000,4.069542000,6.540125000,0.092875000,1088,2000,7,0xd49c273c069e3d16
candidate-1,working-tree,skip-k2,17,131072,10,7,1,1.496250000,0.192666000,0.417792000,0.851250000,4.149875000,6.120750000,0.094000000,1056,1968,7,0xd49c273c069e3d16
candidate-1,working-tree,skip-k3,17,131072,10,7,1,1.206750000,0.315667000,0.279250000,0.608958000,4.123459000,5.805583000,0.094375000,1056,1968,7,0xd49c273c069e3d16
candidate-1,working-tree,skip-k4,17,131072,10,7,1,1.221000000,0.492875000,0.204167000,0.458000000,4.282167000,5.757666000,0.099417000,1120,2032,7,0xd49c273c069e3d16
baseline-2,a3450385,standard,15,32768,10,7,1,1.088666000,NA,NA,NA,1.961291000,3.449208000,0.075000000,1008,1824,7,0x107313b300314548
baseline-2,a3450385,skip-k1,15,32768,10,7,1,0.937875000,0.117458000,0.211917000,0.594125000,1.751750000,3.007667000,0.078792000,960,1776,7,0x107313b300314548
baseline-2,a3450385,skip-k2,15,32768,10,7,1,0.830750000,0.187292000,0.184625000,0.450209000,1.864916000,2.924250000,0.081000000,928,1744,7,0x107313b300314548
baseline-2,a3450385,skip-k3,15,32768,10,7,1,0.594750000,0.167541000,0.131375000,0.261583000,1.926875000,2.761792000,0.080208000,928,1744,7,0x107313b300314548
baseline-2,a3450385,skip-k4,15,32768,10,7,1,1.026667000,0.655000000,0.202167000,0.147958000,2.063542000,3.323917000,0.086292000,992,1808,7,0x107313b300314548
baseline-2,a3450385,standard,17,131072,10,7,1,2.038166000,NA,NA,NA,4.123250000,6.898083000,0.085708000,1136,2048,7,0xd49c273c069e3d16
baseline-2,a3450385,skip-k1,17,131072,10,7,1,1.974958000,0.166042000,0.554125000,1.247167000,4.090500000,6.435250000,0.090916000,1088,2000,7,0xd49c273c069e3d16
baseline-2,a3450385,skip-k2,17,131072,10,7,1,1.675417000,0.343792000,0.356750000,0.980333000,4.147375000,6.291083000,0.093000000,1056,1968,7,0xd49c273c069e3d16
